study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_notes,corrected_link_url
a000047,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/tvyxz/,yes,NA,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,"Irrelevant or error, delete",
a000048,evelyn,2020-05-08,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/cpmfk/,yes,NA,https://osf.io/cpmfk/,yes,NA,OSF,yes,NA,other,Data files exceed 100MB,Data files exceed 100MB,TRUE,,
a000048,steve,2020-07-23,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/cpmfk/,yes,NA,https://osf.io/cpmfk/,yes,NA,OSF,yes,NA,yes,NA,"Data was > 100MB, but could not tell that initially, so downloaded anyway",TRUE,,
a000048,evelyn,2020-05-08,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/ufxny/,yes,NA,https://osf.io/ufxny/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,materials,
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,2,http://re3data.org/,yes,NA,https://www.re3data.org/,yes,NA,re3data,no,NA,NA,NA,This is a registry of repositories; it doesn't make sense for the data to be hosted here directly,TRUE,should be kept,
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000071,oliver,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder cleaned url,https://osf.io/856cs/
a000077,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,http://bit.ly/2mLcXyu,yes,NA,https://osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000077,oliver,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,osf.io/ygy5e/,yes,NA,https://osf.io/ygy5e/,yes,NA,OSF,yes,NA,partial,"Lots of stratified files.Tested 1 batch of zip files - connection to host was successful, documents downloaded.",NA,FALSE,resolved url entered,http://bit.ly/2mLcXyu
a000099,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4dau5/,yes,NA,https://osf.io/4dau5/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000099,steve,2020-08-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4dau5/,yes,NA,https://osf.io/4dau5/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000099,sophia,2020-04-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6e7tb/,yes,NA,https://osf.io/6e7tb/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,materials,
a000100,kongmanas,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/Z6SDM,yes,NA,https://osf.io/z6sdm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000100,phuong,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/Z6SDM,yes,NA,https://osf.io/z6sdm/,yes,NA,OSF,yes,NA,yes,NA,The data link was put in the heater of the 1st page,TRUE,,
a000100,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/z6sdm/,yes,NA,https://osf.io/z6sdm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,resolved url entered,https://doi.org/10.17605/OSF.IO/Z6SDM
a000110,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/4d2ve/,yes,NA,https://osf.io/4d2ve/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000110,michelle,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4d2ve/,yes,NA,https://osf.io/4d2ve/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000110,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/9wn85/,yes,NA,https://osf.io/9wn85/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,materials,
a000118,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,osf.io/b5sar,yes,NA,https://osf.io/b5sar/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.,FALSE,,osf.io/b5sar/
a000118,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,osf.io/b5sar/,yes,NA,https://osf.io/b5sar/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000118,phuong,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,osf.io/c8c6c/,yes,NA,https://osf.io/c8c6c/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,materials,
a000127,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/6rfmv/,no,Link was invalid (lead to Page not found),NA,NA,NA,NA,NA,NA,NA,NA,Link was invalid (lead to Page not found) - apparently resolved to https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,FALSE,materials,
a000127,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ezqft/,no,Link was invalid (lead to Page not found),NA,NA,NA,NA,NA,NA,NA,NA,Link was invalid (lead to Page not found) - apparently resolved to https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,TRUE,,
a000127,sophia,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ezqft/,yes,NA,https://osf.io/ezqft/,yes,NA,OSF,yes,NA,yes,NA,There was a separate link for the materials which was not inlcuded here.,TRUE,,
a000128,steve,2020-08-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/dbuh4,yes,NA,https://osf.io/dbuh4/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000128,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/dbuh4/,yes,NA,https://osf.io/dbuh4/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,coder pasted resolved url,https://osf.io/dbuh4
a000128,kongmanas,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tvyxz/wiki,yes,NA,https://osf.io/tvyxz/wiki/home/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,"Irrelevant or error, delete",
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,1,https://osf.io/8x6dw/,yes,NA,https://osf.io/8x6dw,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,2,https://osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF Registries,yes,NA,yes,NA,"This is not directly linked from the article, but very indirectly via the non-registered version of the linked OSF project",TRUE,,
a000146,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder cleaned url,https://osf.io/j8wdv
a000148,evelyn,2020-04-28,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000148,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies,TRUE,,
a000148,evelyn,2020-04-28,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hqyzp/?view_only=,yes,NA,https://osf.io/hqyzp/?view_only=,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,"coder left off the view only slug, but link still worked, went to same place, just not anonymised - OK to resolve these two as effectively the same link despite this difference",https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7
a000148,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies,TRUE,,
a000153,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jesp.2019.103821,yes,NA,https://www.sciencedirect.com/user/shib/login?targetURL=%2Fscience%2Farticle%2Fpii%2FS0022103119300204%3Fvia%253Dihub,yes,NA,Science Direct,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,coder missed actual open data link and provided supplementary info link instead,
a000153,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/du9ws/,yes,NA,https://osf.io/du9ws/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000153,sophia,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/du9ws/,yes,NA,https://osf.io/du9ws/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000160,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,other,"Not a familiar page, i don't know if it is a repository",CHILDES,other,The link lead to the homepage of CHILDES and the user interface was not friendly in locating the file,no,NA,"The link lead to the homepage of the repository, which made the user manually find the data to the document, after looking for it for 10 minutes, I could not locate the file",TRUE,,
a000160,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,TALKBANK,other,"Cannot seem to find specific data to the article, tried going on 'Browse Database' but no indication of which data was used",no,NA,Cannot find appropriate data via website given in article,TRUE,,
a000160,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,2,https://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,Childes Talkbank,other,Require to search for journal with the provided link,no,NA,Require to search for journal with the provided link,FALSE,coder pasted resolved url,http://childes.talkbank.org/
a000160,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,1,https://journals.sagepub.com/doi/suppl/10.1177/0956797616677753,yes,NA,https://journals.sagepub.com/doi/suppl/10.1177/0956797616677753,yes,NA,Sage Pub,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,"link not relevant - supplementary documents, not data files",
a000186,steve,2020-08-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/92ahy,yes,NA,https://osf.io/92ahy/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000186,phuong,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/92ahy/,yes,NA,https://osf.io/92ahy/,yes,NA,OSF,yes,NA,other,files are larger than 100MB,NA,FALSE,coder pasted resolved url,https://osf.io/92ahy
a000186,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/b45vq/,yes,NA,https://osf.io/b45vq/,yes,NA,OSF,yes,NA,other,Data files exceeded 100MB,Data files exceeded 100MB,FALSE,this is the data link for a000167 - coder got confused?,
a000187,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/C4WN8,yes,NA,https://osf.io/c4wn8/,yes,NA,OSF,yes,NA,yes,NA,"The repository has lots of additional material which may be relevant to admin details of the project, but only the folder with the data files have been downloaded",TRUE,,
a000187,sophia,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/c4wn8/,yes,NA,https://osf.io/c4wn8/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,coder either inferred the url or pasted resolved url instead,https://doi.org/10.17605/OSF.IO/C4WN8
a000228,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/7wfxj/,yes,NA,https://osf.io/7wfxj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,"This should be included, it is the actual data for this study",
a000228,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/7wfxj/,yes,NA,https://osf.io/7wfxj/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000228,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/8juyc/,yes,NA,https://osf.io/8juyc/,yes,NA,OSF,yes,NA,yes,NA,NA,TRUE,"In the PDF, but for the wrong study",
a000228,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8juyc/,yes,NA,https://osf.io/8juyc/,yes,NA,OSF,yes,NA,yes,NA,Not have any problems,TRUE,"In the PDF, but for the wrong study",
a000228,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/8juyc/,yes,NA,https://osf.io/8juyc/,yes,NA,OSF,yes,NA,yes,NA,This is a link for another study in Cognitive Science - 10.1111/cogs.12748,TRUE,,
a000243,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://datadryad.org//resource/doi:10.5061/dryad.q88sm,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm,yes,NA,DRYAD,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,looks wrong but is ok,
a000243,phuong,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm,yes,NA,DRYAD,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,resolved url pasted instead,https://datadryad.org//resource/doi:10.5061/dryad.q88sm
a000244,steve,2020-08-08,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000244,adrian,2020-04-14,yes,NA,no,NA,other,"Link listed as ""Open data"". The actual link URL is not written out",1,1,Open data,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Dataverse,yes,NA,yes,NA,"There was just a link called ""Open Data"" under its ""Supplement"" section",FALSE,put the literal link text instead,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK
a000245,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990,yes,NA,https://osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000245,oliver,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,osf.io/29ytr,yes,NA,https://osf.io/29ytr/files,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder cleaned url,https://osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990
a000247,evelyn,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/47tnc/,yes,NA,https://osf.io/47tnc/,yes,NA,OSF,yes,NA,other,Data files exceeded 100MB,Data files exceeded 100MB,TRUE,,
a000247,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/47tnc/,yes,NA,https://osf.io/47tnc/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000247,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/47tnc/,yes,NA,https://osf.io/47tnc/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000247,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/gvm2z/,yes,NA,https://osf.io/gvm2z/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,should be included,
a000247,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/gvm2z/,yes,NA,https://osf.io/gvm2z/,yes,NA,OSF,yes,NA,yes,NA,This is the parent project of the first link,TRUE,,
a000253,evelyn,2020-04-23,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/ev3w5,yes,NA,https://osf.io/ev3w5,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,should be included - analysis code,https://osf.io/ev3w5/
a000253,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/ev3w5/,yes,NA,https://osf.io/ev3w5,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000253,evelyn,2020-04-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ewr45,yes,NA,https://osf.io/ewr45,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,,https://osf.io/ewr45/
a000253,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ewr45,yes,NA,https://osf.io/ewr45,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,,https://osf.io/ewr45/
a000253,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ewr45/,yes,NA,https://osf.io/ewr45,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000259,oliver,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ,other,Harvard version of Dataverse,NA,yes,NA,partial,"Tried to download all files as part of 1 zip. Site didn't allow me to download all 12 files as 3 files had restricted access. Proceeded to download without those 3 files which was a success (host ok, files ok)",NA,FALSE,coder pasted resolved url instead,https://doi.org/10.7910/DVN/SZ9YXZ
a000259,sophia,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/SZ9YXZ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,"4 out of the 12 files required permission to access. Otherwise, I didn't have problems with this article.",TRUE,,
a000272,evelyn,2020-05-30,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/p6jfq/,yes,NA,https://osf.io/p6jfq/,yes,NA,OSF,yes,NA,other,Data files exceeded 100MB,Data files exceeded 100MB,TRUE,,
a000272,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/p6jfq/,yes,NA,https://osf.io/p6jfq,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000272,steve,2020-08-31,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/p6jfq/,yes,NA,https://osf.io/p6jfq,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000272,evelyn,2020-05-30,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/vhme2/,yes,NA,https://osf.io/vhme2/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,"explicitly materials, but keep - it includes some code",
a000272,steve,2020-08-31,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/vhme2/,yes,NA,https://osf.io/vhme2,yes,NA,OSF Registries,yes,NA,yes,NA,"Contains code for calculating indices, so relevant despite being labelled a link to materials",TRUE,,
a000273,kongmanas,2020-04-12,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/37u8s/,yes,NA,https://osf.io/37u8s/,yes,NA,OSF,yes,NA,yes,NA,"The two links in the article just connected to the same destination. So, there is one data file got upload to Google Drive.",TRUE,,
a000273,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/37u8s/,yes,NA,https://osf.io/37u8s/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000273,kongmanas,2020-04-12,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/tqmeh/,yes,NA,https://osf.io/tqmeh/,yes,NA,OSF,yes,NA,yes,NA,"The two links in the article just connected to the same destination. So, there is one data file got upload to Google Drive.",TRUE,,
a000273,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/tqmeh/,yes,NA,https://osf.io/tqmeh/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
a000273,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tqmeh/ and https://osf.io/37u8s/,yes,NA,https://osf.io/tqmeh/ and https://osf.io/37u8s/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,original coding data needs cleaning,
a000280,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,yes,NA,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,yes,NA,Inter-University Consortium for Political and Social Research,yes,NA,no,NA,Unable to download files without login/appropriate access,TRUE,,
a000280,oliver,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,icpsr.umich.edu/icpsrweb/ICPSR/series/203,yes,NA,https://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/36346,yes,NA,ICPSR,yes,NA,yes,NA,NA,FALSE,coder cleaned url before pasting,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203
