study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url_cleaned,use_code,review_notes,corrected_resolved_url,Publication Title,DOI,Publication Year,Author,Title
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,1,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,scholarbank.nus.edu.sg/handle/10635/150104,TRUE,NA,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.25540/3wd8-dffw.,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,scholarbank.nus.edu.sg/handle/10635/150104,TRUE,NA,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
a000037,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,http://hdl.handle.net/11633/aabxbkd7,yes,NA,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?0,yes,NA,Donders Institute,yes,NA,no,NA,Unable to download the files,NA,http://hdl.handle.net/11633/aabxbkd7,hdl.handle.net/11633/aabxbkd7,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?0,FALSE,"this repo puts a number at the end of the url (""?0"") which increments each time the page is visited - visitor ID tracking? To avoid confusion remove the number after the ""?"" from resolved_url",https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,Cortex,10.1016/j.cortex.2019.03.011,2019,"Utzerath, Christian; Schmits, Iris C.; Kok, Peter; Buitelaar, Jan; de Lange, Floris P.",No evidence for altered up- and downregulation of brain activity in visual cortex during illusory shape perception in autism
a000037,phuong,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,http://hdl.handle.net/11633/aabxbkd7.,yes,NA,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?1,yes,NA,Donders,yes,NA,other,an account was required to download,NA,NA,http://hdl.handle.net/11633/aabxbkd7.,hdl.handle.net/11633/aabxbkd7,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?1,FALSE,"this repo puts a number at the end of the url (""?0"") which increments each time the page is visited - visitor ID tracking? To avoid confusion remove the number after the ""?"" from resolved_url",https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,Cortex,10.1016/j.cortex.2019.03.011,2019,"Utzerath, Christian; Schmits, Iris C.; Kok, Peter; Buitelaar, Jan; de Lange, Floris P.",No evidence for altered up- and downregulation of brain activity in visual cortex during illusory shape perception in autism
a000062,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Dataverse,yes,NA,yes,NA,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813',NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Here, the repo link contained two different data sets, and intuition via cross-referencing data set and article publishing dates helped identify which data set to download.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Havard Dataverse,yes,NA,yes,NA,"Linkes to two sets of data, both were included in the 'data' file of the google docs",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,HARVARD,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The link points to a page containing datatsets from 2 different research papers,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,"I had to click on a second link to get the specific data for this paper. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,NA,NA,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000062,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,thedata.harvard.edu/dvn/dv/PainData,yes,NA,http://thedata.harvard.edu/dvn/dv/PainData,other,Harvard version of Dataverse,Dataverse,other,Yes. Replication data also present.,yes,NA,NA,NA,thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,FALSE,coder re-pasted link_url,https://dataverse.harvard.edu/dataverse/PainData,Psychological Science,10.1177/0956797614563339,2015,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain
a000072,oliver,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,osf.io/56yz7/,yes,NA,https://osf.io/56yz7/,yes,NA,OSF,yes,NA,other,File > 100MB,NA,NA,osf.io/56yz7/,osf.io/56yz7,osf.io/56yz7,TRUE,NA,NA,Cortex,10.1016/j.cortex.2019.08.012,2019,"Wurm, Moritz F.; Porter, Katharine B.; Caramazza, Alfonso",Individuation of parts of a single object and multiple distinct objects relies on a common neural mechanism in inferior intraparietal sulcus
a000072,phuong,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/56yz7,yes,NA,https://osf.io/56yz7.,yes,NA,OSF,yes,NA,other,files are larger than 100MB,NA,NA,https://osf.io/56yz7,osf.io/56yz7,osf.io/56yz7.,FALSE,coder added a full stop to url during data entry,https://osf.io/56yz7/,Cortex,10.1016/j.cortex.2019.08.012,2019,"Wurm, Moritz F.; Porter, Katharine B.; Caramazza, Alfonso",Individuation of parts of a single object and multiple distinct objects relies on a common neural mechanism in inferior intraparietal sulcus
a000073,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6zdnh,yes,NA,https://osf.io/6zdnh,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/6zdnh,osf.io/6zdnh,osf.io/6zdnh,TRUE,NA,NA,Psychological Science,10.1177/0956797616685770,2017,"Bahník, Štěpán; Vranka, Marek A.","If It’s Difficult to Pronounce, It Might Not Be Risky: The Effect of Fluency on Judgment of Risk Does Not Generalize to New Stimuli"
a000073,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,1,osf.io/6zdnh/,yes,NA,https://osf.io/6zdnh/files/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,NA,osf.io/6zdnh/,osf.io/6zdnh,osf.io/6zdnh/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,https://osf.io/6zdnh,Psychological Science,10.1177/0956797616685770,2017,"Bahník, Štěpán; Vranka, Marek A.","If It’s Difficult to Pronounce, It Might Not Be Risky: The Effect of Fluency on Judgment of Risk Does Not Generalize to New Stimuli"
a000077,oliver,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,osf.io/ygy5e/,yes,NA,https://osf.io/ygy5e/,yes,NA,OSF,yes,NA,partial,"Lots of stratified files.Tested 1 batch of zip files - connection to host was successful, documents downloaded.",NA,http://bit.ly/2mLcXyu,http://bit.ly/2mLcXyu,bit.ly/2mLcXyu,osf.io/ygy5e,FALSE,coder ignored the actual links provided and edited link_url resulting in an incorrect resolved_url - drop,NA,The Journal of Social Psychology,10.1080/00224545.2017.1412933,2018,"Redford, Liz; Ratliff, Kate A.",Empathy and humanitarianism predict preferential moral responsiveness to in-groups and out-groups
a000077,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,http://bit.ly/2mLcXyu,yes,NA,https://osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,http://bit.ly/2mLcXyu,http://bit.ly/2mLcXyu,bit.ly/2mLcXyu,osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b,TRUE,NA,NA,The Journal of Social Psychology,10.1080/00224545.2017.1412933,2018,"Redford, Liz; Ratliff, Kate A.",Empathy and humanitarianism predict preferential moral responsiveness to in-groups and out-groups
a000104,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,1,thedata.harvard.edu/dvn/dv/kenswan.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA,thedata.harvard.edu/dvn/dv/kenswan.,thedata.harvard.edu/dvn/dv/kenswan,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095,FALSE,recode this article - two step url follow,NA,Psychological Science,10.1177/0956797614566657,2015,"Chambers, John R.; Swan, Lawton K.; Heesacker, Martin",Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines
a000104,steve,2020-11-04,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/kenswan,other,"link works, but is to a list of the user's data projects on the site. Fortunately there is only one data repo in the list, so it is a two-step url hop",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095,yes,NA,Harvard Dataverse,yes,NA,yes,NA,link chain to data files was 2 steps,NA,http://thedata.harvard.edu/dvn/dv/kenswan,thedata.harvard.edu/dvn/dv/kenswan,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095,NA,NA,NA,Psychological Science,10.1177/0956797614566657,2015,"Chambers, John R.; Swan, Lawton K.; Heesacker, Martin",Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines
a000104,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/kenswan,yes,NA,https://dataverse.harvard.edu/dataverse/kenswan,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/kenswan,thedata.harvard.edu/dvn/dv/kenswan,dataverse.harvard.edu/dataverse/kenswan,FALSE,recode this article - two step url follow,NA,Psychological Science,10.1177/0956797614566657,2015,"Chambers, John R.; Swan, Lawton K.; Heesacker, Martin",Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines
a000119,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3ymbu/,yes,NA,https://osf.io/3ymbu,yes,NA,OSF,no,NA,NA,NA,There is no available data file.,NA,https://osf.io/3ymbu/,osf.io/3ymbu,osf.io/3ymbu,TRUE,NA,NA,Psychological Science,10.1177/0956797615625223,2016,"Hsu, Nina S.; Novick, Jared M.",Dynamic Engagement of Cognitive Control Modulates Recovery From Misinterpretation During Real-Time Language Processing
a000119,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/3ymbu/,yes,NA,https://osf.io/3ymbu/files/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,NA,osf.io/3ymbu/,osf.io/3ymbu,osf.io/3ymbu/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,NA,Psychological Science,10.1177/0956797615625223,2016,"Hsu, Nina S.; Novick, Jared M.",Dynamic Engagement of Cognitive Control Modulates Recovery From Misinterpretation During Real-Time Language Processing
a000148,evelyn,2020-04-28,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hqyzp/?view_only=,yes,NA,https://osf.io/hqyzp/?view_only=,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,osf.io/hqyzp/?view_only=,FALSE,coder left off view slug when entering link_url and resolved_url,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,Journal of Experimental Social Psychology,10.1016/j.jesp.2019.103854,2019,"Benson, Alex J.; Azizi, Esti; Evans, M. Blair; Eys, Mark; Bray, Steven R.",How innuendo shapes impressions of task and intimacy groups
a000148,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,TRUE,NA,NA,Journal of Experimental Social Psychology,10.1016/j.jesp.2019.103854,2019,"Benson, Alex J.; Azizi, Esti; Evans, M. Blair; Eys, Mark; Bray, Steven R.",How innuendo shapes impressions of task and intimacy groups
a000154,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/usdq8/,yes,NA,https://osf.io/usdq8/,yes,NA,OSF,yes,NA,yes,NA,Files were not as obvious,NA,https://osf.io/usdq8/,osf.io/usdq8,osf.io/usdq8,TRUE,NA,NA,Clinical Psychological Science,10.1177/2167702619841976,2019,"Miranda, Robert; Wemm, Stephanie E.; Treloar Padovano, Hayley; Carpenter, Ryan W.; Emery, Noah N.; Gray, Joshua C.; Mereish, Ethan H.",Weaker Memory Performance Exacerbates Stress-Induced Cannabis Craving in Youths’ Daily Lives
a000154,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,1,osf.io/usdq8,yes,NA,https://osf.io/usdq8/files/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/usdq8,osf.io/usdq8,osf.io/usdq8/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,https://osf.io/usdq8/,Clinical Psychological Science,10.1177/2167702619841976,2019,"Miranda, Robert; Wemm, Stephanie E.; Treloar Padovano, Hayley; Carpenter, Ryan W.; Emery, Noah N.; Gray, Joshua C.; Mereish, Ethan H.",Weaker Memory Performance Exacerbates Stress-Induced Cannabis Craving in Youths’ Daily Lives
a000164,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,osf.io/28gxz,yes,NA,https://osf.io/28gxz/,yes,NA,OSF,yes,NA,other,"one of the files was able to be downloaded, but the other was over 100MB",NA,NA,osf.io/28gxz,osf.io/28gxz,osf.io/28gxz,TRUE,NA,NA,Psychological Science,10.1177/0956797619830326,2019,"Olsson-Collentine, Anton; van Assen, Marcel A. L. M.; Hartgerink, Chris H. J.",The Prevalence of Marginally Significant Results in Psychology Over Time
a000164,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,1,osf.io/28gxz/,yes,NA,https://osf.io/28gxz/files/,yes,NA,OSF,yes,NA,other,File >100 MB,NA,NA,osf.io/28gxz/,osf.io/28gxz,osf.io/28gxz/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,https://osf.io/28gxz/,Psychological Science,10.1177/0956797619830326,2019,"Olsson-Collentine, Anton; van Assen, Marcel A. L. M.; Hartgerink, Chris H. J.",The Prevalence of Marginally Significant Results in Psychology Over Time
a000181,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jkbm9/,yes,NA,https://osf.io/jkbm9/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.,NA,https://osf.io/jkbm9/,osf.io/jkbm9,osf.io/jkbm9,TRUE,NA,NA,Journal of Experimental Social Psychology,10.1016/j.jesp.2019.103823,2019,"Vandermeer, James; Hosey, Christine; Epley, Nicholas; Keysar, Boaz",Escalation of negative social exchange: Reflexive punishment or deliberative deterrence?
