study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,use_code,review_note
a000062,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Havard Dataverse,yes,NA,yes,NA,"Linkes to two sets of data, both were included in the 'data' file of the google docs",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,HARVARD,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,http://thedata.harvard.edu/dvn/dv/PainData,other,Harvard version of Dataverse,Dataverse,other,Yes. Replication data also present.,yes,NA,NA,NA,thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,FALSE,"iter01: coder means yes, just wanted to add some detail as a comment."
a000062,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The link points to a page containing datatsets from 2 different research papers,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,"I had to click on a second link to get the specific data for this paper. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000074,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,https://osf.io/t9c52/,1,yes,NA,https://osf.io/t9c52/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/t9c52/,osf.io/t9c52,NA,https://osf.io/t9c52/,osf.io/t9c52,TRUE,
a000074,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,1,https://osf.io/t9c52/,1,yes,NA,https://osf.io/t9c52,yes,NA,OSF,no,NA,NA,NA,There is no available data file; only said 'no response',NA,https://osf.io/t9c52/,osf.io/t9c52,NA,https://osf.io/t9c52,osf.io/t9c52,FALSE,iter01: given the notes comment it looks like coder may have had a connection error - files clearly there
a000074,oliver,2020-04-04,yes,NA,yes,NA,yes,NA,1,osf.io/t9c52/,1,yes,NA,https://osf.io/t9c52,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/t9c52/,osf.io/t9c52,NA,https://osf.io/t9c52,osf.io/t9c52,TRUE,
a000119,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,1,https://osf.io/3ymbu/,1,yes,NA,https://osf.io/3ymbu,yes,NA,OSF,no,NA,NA,NA,There is no available data file.,NA,https://osf.io/3ymbu/,osf.io/3ymbu,https://osf.io/3ymbu,https://osf.io/3ymbu,osf.io/3ymbu,FALSE,"iter02: steve recoded, found there were files"
a000119,steve,2020-11-22,yes,NA,yes,NA,yes,NA,1,https://osf.io/3ymbu/,1,yes,NA,https://osf.io/3ymbu,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA,https://osf.io/3ymbu/,osf.io/3ymbu,https://osf.io/3ymbu,https://osf.io/3ymbu,osf.io/3ymbu,TRUE,"iter02: steve recoded, found there were files"
a000391,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,2,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS DATABASE,yes,NA,other,Need to fill in a form to download data,Did not download data as form is required to be filled out,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,www.iris-database.org/iris/app/home/detail?id=york:934328,FALSE,"iter01: steve coded, I have the correct way to handle the registration form required"
a000391,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS Database,yes,NA,yes,NA,I didn't have any problems with this article,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,www.iris-database.org/iris/app/home/detail?id=york:934328,FALSE,"iter01: steve coded, I have the correct way to handle the registration form required"
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Straightforward, no issues",https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,www.iris-database.org/iris/app/home/detail?id=york:934328,TRUE,
a000393,andy,2020-11-05,yes,NA,yes,NA,yes,NA,1,http://osf.io/9ge7n,1,yes,NA,https://osf.io/9ge7n,yes,NA,OSF,other,- with data files,yes,NA,Link to main OSF page https://osf.io/vkjsf/,NA,http://osf.io/9ge7n,osf.io/9ge7n,NA,https://osf.io/9ge7n,osf.io/9ge7n,FALSE,"iter02: steve coded, andy went to reg from link instead of files link? They are the same anyway"
a000393,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,http://osf.io/9ge7n,1,yes,NA,https://osf.io/9ge7n,yes,NA,OSF,yes,NA,yes,NA,No problems with this article,NA,http://osf.io/9ge7n,osf.io/9ge7n,NA,https://osf.io/9ge7n,osf.io/9ge7n,TRUE,"iter02: steve coded, andy went to reg from link instead of files link? They are the same anyway"
a000393,steve,2020-07-24,yes,NA,yes,NA,yes,NA,1,http://osf.io/9ge7n,1,yes,NA,https://osf.io/9ge7n,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA,http://osf.io/9ge7n,osf.io/9ge7n,NA,https://osf.io/9ge7n,osf.io/9ge7n,TRUE,"iter02: steve coded, andy went to reg from link instead of files link? They are the same anyway"
a000518,andy,2020-11-09,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,Link to IRIS homepage only,https://iris-database.org/iris/app/home/index;jsessionid=59ED1A2954384E1119412245521AD575,yes,NA,IRIS,yes,NA,yes,NA,Had to search repository for correct files.,NA,https://iris-database.org,iris-database.org,https://iris-database.org/iris/app/home/detail?id=york:934567,https://iris-database.org/iris/app/home/detail?id=york:934567,iris-database.org/iris/app/home/detail?id=york:934567,FALSE,iter02: steve has correct coding
a000518,steve,2020-09-01,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:934567,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Link was to home page of repository, had to search and then complete info form to download data",NA,https://iris-database.org,iris-database.org,https://iris-database.org/iris/app/home/detail?id=york:934567,https://iris-database.org/iris/app/home/detail?id=york:934567,iris-database.org/iris/app/home/detail?id=york:934567,TRUE,iter02: steve has correct coding
a000569,michelle,2020-05-01,yes,NA,yes,NA,yes,NA,1,osf.io/vh5jt,1,yes,NA,https://osf.io/vh5jt,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,osf.io/vh5jt,osf.io/vh5jt,NA,https://osf.io/vh5jt,osf.io/vh5jt,TRUE,"iter01: coder who coded ""no"" likely missed subtle ""files"" link. Recode this to ensure a second coder?"
a000569,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,https://osf.io/vh5jt,1,yes,NA,https://osf.io/vh5jt,yes,NA,OSF,no,NA,NA,NA,OSF page was empty,NA,https://osf.io/vh5jt,osf.io/vh5jt,NA,https://osf.io/vh5jt,osf.io/vh5jt,FALSE,"iter01: coder who coded ""no"" likely missed subtle ""files"" link. Recode this to ensure a second coder?"
a000569,steve,2020-11-24,yes,NA,yes,NA,yes,NA,1,http://www.osf.io/vh5jt,1,yes,NA,https://osf.io/vh5jt,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA,http://www.osf.io/vh5jt,osf.io/vh5jt,NA,https://osf.io/vh5jt,osf.io/vh5jt,TRUE,"iter02: steve recoded, confirmed ""yes"" value"
a000605,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,1,yes,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,yes,NA,ICPSR,other,Requires login to download files,no,NA,Requires login to download files,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,TRUE,
a000605,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,1,yes,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,yes,NA,ICPSR,yes,NA,other,an account was required to access the data,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,FALSE,iter01: other coder has correctly coded this case of an account being required
a000605,steve,2020-11-24,yes,NA,yes,NA,yes,NA,1,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,1,yes,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,yes,NA,openICPSR,other,"Account required, may need to be from an approved institution",no,NA,"Article had links to materials, preregs, that were clearly labeled - these were ignored. Apart from needing an account (but may not need approval), straightforward",https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,www.openicpsr.org/openicpsr/project/101920/version/V3/view,TRUE,"iter02: steve coded, confirmed ""other"" value"
a000793,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,https://doi.org/10.1016/j.evolhumbehav.2018.03.007,2,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,yes,NA,Science Direct,yes,NA,yes,NA,I didn't have any problems with this article,https://doi.org/10.1016/j.evolhumbehav.2018.03.007,https://doi.org/10.1016/j.evolhumbehav.2018.03.007,doi.org/10.1016/j.evolhumbehav.2018.03.007,NA,https://www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,FALSE,"iter01: steve coded, I have judged there are not files here - due to a possible link mix-up?"
a000793,steve,2020-08-26,yes,NA,yes,NA,yes,NA,3,https://doi.org/10.1016/j.evolhumbehav.2018.03.007,2,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,no,NA,NA,no,NA,NA,NA,"PDF said this was a link to supp data, but destination had supp info in pdf - links possibly mixed up",https://doi.org/10.1016/j.evolhumbehav.2018.03.007,https://doi.org/10.1016/j.evolhumbehav.2018.03.007,doi.org/10.1016/j.evolhumbehav.2018.03.007,NA,https://www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub,TRUE,
a000814,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,2,http://discover.ukdataservice.ac.uk/series/?sn=200001,1,yes,NA,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,yes,NA,UK Data Service,yes,NA,other,an account was required to access the data,2 links were for data of 2 studies,http://discover.ukdataservice.ac.uk/series/?sn=200001,http://discover.ukdataservice.ac.uk/series/?sn=200001,discover.ukdataservice.ac.uk/series/?sn=200001,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,FALSE,iter02: steve coded this correctly
a000814,steve,2020-11-24,yes,NA,yes,NA,yes,NA,2,http://discover.ukdataservice.ac.uk/series/?sn=200001,1,yes,NA,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,yes,NA,UK Data Service,other,An account is required for access,no,NA,Account required to access data,http://discover.ukdataservice.ac.uk/series/?sn=200001,http://discover.ukdataservice.ac.uk/series/?sn=200001,discover.ukdataservice.ac.uk/series/?sn=200001,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,beta.ukdataservice.ac.uk/datacatalogue/series/series?id=200001,TRUE,iter02: steve coded this correctly
a000814,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,2,http://discover.ukdataservice.ac.uk/series/?sn=2000032,2,yes,NA,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,yes,NA,UK Data Service,yes,NA,other,an account was required to access the data,2 links were for data of 2 studies,http://discover.ukdataservice.ac.uk/series/?sn=2000032,http://discover.ukdataservice.ac.uk/series/?sn=2000032,discover.ukdataservice.ac.uk/series/?sn=2000032,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,FALSE,iter02: steve coded this correctly
a000814,steve,2020-11-24,yes,NA,yes,NA,yes,NA,2,http://discover.ukdataservice.ac.uk/series/?sn=2000032,2,yes,NA,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,yes,NA,UK Data Service,other,An account is required for access,no,NA,Account required to access data,http://discover.ukdataservice.ac.uk/series/?sn=2000032,http://discover.ukdataservice.ac.uk/series/?sn=2000032,discover.ukdataservice.ac.uk/series/?sn=2000032,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,https://beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,beta.ukdataservice.ac.uk/datacatalogue/series/series?id=2000032,TRUE,iter02: steve coded this correctly
a000848,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,http://doi.org/10.3886/E109001V5,1,yes,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,yes,NA,Open ICPSR,other,Unable to download files without login,no,NA,Unable to download files without login,NA,http://doi.org/10.3886/E109001V5,doi.org/10.3886/E109001V5,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,www.openicpsr.org/openicpsr/project/109001/version/V5/view,TRUE,
a000848,michelle,2020-04-24,yes,NA,yes,NA,yes,NA,1,http://doi.org/10.3886/E109001V5,1,yes,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,yes,NA,ICPSR,yes,NA,other,Login is required to download data,"Login seems to be required to access data, but there was a supplementary data link: at https://doi.org/10.1016/j.jesp.2019.103869",NA,http://doi.org/10.3886/E109001V5,doi.org/10.3886/E109001V5,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,www.openicpsr.org/openicpsr/project/109001/version/V5/view,FALSE,iter01: other coder has correctly coded this case of an account being required
a000848,steve,2020-11-24,yes,NA,no,NA,yes,NA,1,http://doi.org/10.3886/E109001V5,1,yes,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,yes,NA,openICPSR,other,"Account required, may need to be from an approved institution",no,NA,"Apart from needing an account (but may not need approval), straightforward",NA,http://doi.org/10.3886/E109001V5,doi.org/10.3886/E109001V5,NA,https://www.openicpsr.org/openicpsr/project/109001/version/V5/view,www.openicpsr.org/openicpsr/project/109001/version/V5/view,TRUE,"iter02: steve recoded, confirmed ""other"" value"
a000920,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,https://osf.io/zpjbg,1,yes,NA,https://osf.io/zpjbg,yes,NA,OSF,other,"On the link given in the article, the files have been removed because it contained data that couldn't be made public. However, a new link is provided: https://osf.io/q82nf, which has the data with the sensitive data removed",yes,NA,"No issues, but had to go through a new link to access data",NA,https://osf.io/zpjbg,osf.io/zpjbg,https://osf.io/q82nf,https://osf.io/q82nf,osf.io/q82nf,FALSE,"iter01: steve coded, issue with two-step link has been dealt with at link_work according to finalised coding"
a000920,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,osf.io/zpjbg,1,other,"Link withdrawn - registration removed due to containing sensitive user info. Link redirected to landing page containing new link that lead to original dateset, but without the sensitive user info.",https://osf.io/q82nf/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/zpjbg,osf.io/zpjbg,https://osf.io/q82nf,https://osf.io/q82nf,osf.io/q82nf,TRUE,
a000920,steve,2020-11-04,yes,NA,yes,NA,yes,NA,1,https://osf.io/zpjbg/,1,other,the initial link lead to a page with a notice that the original repo had been retracted and replaced with a corrected version (to remove sensitive information). resolved_url has the destination of the second url with the corrected url (https://osf.io/q82nf/).,https://osf.io/q82nf,yes,NA,OSF Registries,yes,NA,yes,NA,link chain to data files was 2 steps,NA,https://osf.io/zpjbg/,osf.io/zpjbg,https://osf.io/q82nf,https://osf.io/q82nf,osf.io/q82nf,TRUE,
a000955,kongmanas,2020-04-06,yes,NA,yes,NA,yes,NA,1,http://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7.,1,yes,NA,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7.,yes,NA,ICPSR,no,NA,NA,NA,There is no available data file.,NA,http://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7.,www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7,https://www.icpsr.umich.edu/web/ICPSR/series/203/studies?archive=ICPSR&sortBy=7,https://www.icpsr.umich.edu/web/ICPSR/series/203/studies?archive=ICPSR&sortBy=7,www.icpsr.umich.edu/web/ICPSR/series/203/studies?archive=ICPSR&sortBy=7,FALSE,"iter01: steve coded, I have the correct way to handle this case, where an account is required"
