study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,review_coding,review_note
a001154,sophia,2020-04-05,yes,NA,other,states that all data required could be found on the American Journal of Political Science network in the Harvard Dataverse Network,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no links,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a001265,steve,2020-07-10,yes,NA,no,NA,other,Online article has direct links to files,2,1,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,no,NA,NA,yes,NA,yes,NA,"Online article, data files were hosted on journal website itself",FALSE,"Online article, data files were hosted on journal website itself"
a001265,steve,2020-07-10,yes,NA,no,NA,other,Online article has direct links to files,2,2,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,no,NA,NA,yes,NA,yes,NA,"Online article, data files were hosted on journal website itself",FALSE,"Online article, data files were hosted on journal website itself"
a001356,steve,2020-07-10,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No link to data, repository found in online version or in PDF version",FALSE,"No link to data, repository found in online version or in PDF version"
a001359,adrian,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There is a statement but no link. Full statement reads ""The data, code, and any additional materials required to replicate all analyses in this article are available on the American Journal ofPolitical Science Dataverse within the Harvard Dataverse Network, at:""",FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a001359,evelyn,2020-05-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Article does not have links despite containing a data availability statement,FALSE,The article has badges in PDF and on web page - but is a theoretical paper so maybe data is technically available?
a001526,aniruddah,2020-05-15,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article mentions data files available in Harvard Dataverse, but no link to repository.",TRUE,this article needs to be removed from data set due to no badge
a001526,oliver,2020-04-07,no,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,this article needs to be removed from data set due to no badge
a001526,phuong,2020-04-23,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,this article needs to be removed from data set due to no badge
a001600,evelyn,2020-05-08,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Article did not have data availability statement or link,TRUE,"This article has inconsistent badge information, remove from data set"
a001600,phuong,2020-04-10,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,There weren't data statement and link,TRUE,"This article has inconsistent badge information, remove from data set"
