study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code
a000219,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1016/j.jesp.2017.07.005,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub,no,NA,NA,yes,NA,yes,NA,"Straightforward, no issues",NA
a000244,adrian,2020-04-14,yes,NA,no,NA,other,"Link listed as ""Open data"". The actual link URL is not written out",1,1,Open data,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Dataverse,yes,NA,yes,NA,"There was just a link called ""Open Data"" under its ""Supplement"" section",NA
a000244,sophia,2020-04-04,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Couldn't find any references to open data,NA
a000244,steve,2020-08-08,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA
a000267,evelyn,2020-05-08,yes,NA,yes,NA,other,provides doi,1,1,doi:10.7910/DVN/W2HZSO,other,article and data materials appear in google search,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,Did not have a direct link tot the files. Instead doi was provided to which the first google result is the article.,NA
a000267,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,doi:10.7910/DVN/W2HZSO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000390,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,doi:10.7910/DVN/SURSEO,no,missing http://,NA,NA,NA,NA,NA,NA,NA,NA,"The link is missing the ""http://"" such that when you click or copy directly from the paper, the link does not work.",NA
a000390,oliver,2020-04-25,yes,NA,yes,NA,other,Article gave DOI number. I found link via Googling DOI number.,1,1,doi:10.7910/DVN/SURSEO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SURSEO,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA
a000400,kongmanas,2020-04-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There was no link to the repository, only supplementary information at the end of the article",NA
a000400,sophia,2020-04-26,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000400,steve,2020-08-09,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,1,1,https://doi.org/10.1002/jnr.24441,yes,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441,no,NA,NA,other,"Some files exist, but in the body of the text, it is noted that raw data is available upon request",yes,NA,"There are data files included as supplementary material, but raw data was not included - it is available on request",NA
a000440,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,doi:10.1037/0033-2909.130.5.813,yes,NA,https://osf.io/zfpmd/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000440,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,10.17605/OSF.IO/ZFPMD,yes,NA,https://osf.io/zfpmd/,yes,NA,OSF,yes,NA,yes,NA,The URL link to data repositary was in the reference section,NA
a000440,michelle,2020-04-03,yes,NA,yes,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Text says open data can be accessed online but no link specified,NA
a000440,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,http://dx.doi.org/10.17605/OSF.IO/ZFPMD,yes,NA,https://osf.io/zfpmd/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA
a000484,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,University of Hamburg OA,yes,NA,yes,NA,New repository type.,NA
a000484,michelle,2020-04-07,yes,NA,other,"Does not explicitly have a statement saying data is available, but there is a the text 'Open Data' with a hyperlink",yes,NA,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,UNI HAMBURG,yes,NA,yes,NA,"No explicit statement saying data was available, but hyperlinks existed that linked to a site where data could be downloaded",NA
a000484,sophia,2020-04-26,yes,NA,yes,NA,other,"the article has the phrase ""open data"" which itself is a hyperlink",1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,University of Hamburg Open Access Portal,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000502,evelyn,2020-05-30,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8q769/,yes,NA,https://osf.io/8q769/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,http://osf.io/5itqa,yes,NA,https://osf.io/5itqa,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,http://osf.io/8q769,yes,NA,https://osf.io/8q769,yes,NA,OSF,yes,NA,yes,NA,NA,NA
a000502,oliver,2020-04-25,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000502,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,1,http://osf.io/5itqa,yes,NA,https://osf.io/5itqa,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA
a000502,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,2,http://osf.io/8q769,yes,NA,https://osf.io/8q769,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA
a000518,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,yes,NA,https://iris-database.org/iris/app/home/index,yes,NA,IRIS Digital Repository,yes,NA,yes,NA,"Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.",NA
a000518,oliver,2020-04-29,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No OSF link to data. Only has one OSF link - but is the general homepage at osf.io/tvyxz/,NA
a000518,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,yes,NA,https://iris-database.org/iris/app/home/index;jsessionid=E0FED325AB6FFD40DEB3B1C78D48FCB9,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Link was to home page of repository, had to search and then complete info form to download data",NA
a000532,aniruddah,2020-04-21,yes,NA,yes,NA,other,"This article does not have any explicitly mentioned link to the data, however supplementary materials have been mentioned, which have been downloaded individually and zipped into one file, although the materials were not from a recognized repository, rather a journal database.",1,1,https://doi.org/10.1002/jnr.24485,yes,NA,https://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.24485,no,NA,NA,yes,NA,yes,NA,"This article does not have any explicitly mentioned link to the data, however supplementary materials have been mentioned, which have been downloaded individually and zipped into one file, although the materials were not from a recognized repository, rather a journal database.",NA
a000532,oliver,2020-04-29,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No OSF link to data. Same as above - but they are separate studies with same issue - just a coincidence. Only has one OSF link - but is the general homepage at osf.io/tvyxz/,NA
a000532,steve,2020-08-09,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,1,1,https://doi.org/10.1002/jnr.24485,yes,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24485,no,NA,NA,other,"Files exist, and mentions that data have been provided as supplementary files, but all files are images or Word documents - not the kind of data files expected for a study like this",yes,NA,The open peer review shows that editors recommended data be shared as supplemental files on website - still not clear if that actually happened though,NA
a000573,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1016/j.jesp.2017.06.015,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103116307910?via%3Dihub,yes,NA,Science Direct,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000573,sophia,2020-04-27,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Says it's on the JESP website.,NA
a000573,steve,2020-08-09,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF,1,1,https://data.mendeley.com/datasets/3w48v2nbgc/2,yes,NA,https://data.mendeley.com/datasets/3w48v2nbgc/2,yes,NA,Mendeley,yes,NA,yes,NA,"Straightforward, no issues",NA
a000597,evelyn,2020-05-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data badge and availability was not found,NA
a000597,matthew,2020-04-15,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Page did not contain any relevance to open data,NA
a000597,sophia,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000597,steve,2020-08-08,yes,NA,no,NA,other,"Link on article website, not in PDF",1,1,https://aisel.aisnet.org/trr/vol2/iss1/4/,yes,NA,https://aisel.aisnet.org/trr/vol2/iss1/4/,no,NA,NA,yes,NA,yes,NA,Data source was another article in the same journal,NA
a000672,oliver,2020-04-27,no,NA,other,"""Supplemental material"" at bottom - but no mention of ""open"" data/pratices. Link itself does not lead to a data file.",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000672,sophia,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/73puw/,yes,NA,https://osf.io/73puw/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000672,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/73puw/,yes,NA,https://osf.io/73puw/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA
a000678,matthew,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There was a visible hyperlink in the document, however it was unclickable.",NA
a000678,sophia,2020-04-17,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000678,steve,2020-08-08,yes,NA,other,"Standard JBPA link to ""Open data"" is there on the first page, but no URL attached. There is a link in a footnote later on.",yes,NA,1,1,https://dataverse.harvard.edu/dataverse/JBPA,yes,NA,https://dataverse.harvard.edu/dataverse/JBPA,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Link led to the journal's dataverse page, had to follow a link from that page to get to article data",NA
a000685,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/MZKJDR,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MZKJDR,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000685,michelle,2020-04-23,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Only contains links for the code and materials required to replicate the analyses in the article. Access to data can be made available upon request via contacting the corresponding author,NA
a000692,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jesp.2018.03.018,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103117303244?via%3Dihub,yes,NA,Science Direct,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000692,michelle,2020-04-23,yes,NA,yes,NA,other,Says data is available via 'online supplements' - there is a link to supplementary data which I will use,1,1,https://doi.org/10.1016/j.jesp.2018.03.018,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103117303244?via%3Dihub,other,Makes reference to Mendeley (which is the repository),MENDELEY,yes,NA,yes,NA,NA,NA
a000720,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,https://figshare.com/articles/Raw_data/6025748,yes,NA,https://figshare.com/articles/Raw_data/6025748,yes,NA,Figshare,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000720,nguyenlam,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,10.6084/m9.figshare.7854731,other,"Need to access ''figsgare.com'' first, then search for the given code",https://figshare.com/search?q=10.6084%2Fm9.figshare.7854731&searchMode=1,yes,NA,Figshare,yes,NA,yes,NA,"Note in ""Link_works_noneither""",NA
a000720,oliver,2020-04-27,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000720,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,10.6084/m9.figshare.7854731,yes,NA,https://figshare.com/articles/Attachment/7854731,yes,NA,Figshare,yes,NA,yes,NA,"Straightforward, no issues",NA
a000750,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fb7d,yes,NA,https://osf.io/4fb7d,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000750,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000750,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,1,https://osf.io/4fb7d/,yes,NA,https://osf.io/4fb7d,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA
a000750,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,2,https://osf.io.yiupc,other,"There was a typo in the URL as supplied, easily fixed",https://osf.io/yiupc/,yes,NA,OSF,yes,NA,yes,NA,"Unclear if this data was for the present article, or the article they were responding to",NA
a000799,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6s8tc/,yes,NA,https://osf.io/6s8tc/,yes,NA,OSF,yes,NA,yes,NA,Data badge not prominent,NA
a000799,oliver,2020-04-21,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000799,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6s8tc,yes,NA,https://osf.io/6s8tc,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA
a000808,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000808,kongmanas,2020-04-13,yes,NA,yes,NA,other,The article does not contain the URL to an online repository but it allows to click 'Open Data' which automatically connects to repository destination,1,1,N/A,other,"There is no URL given in the artile, but can click 'Open Data' to connect to repositary destination.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"There is no URL given in the artile, but can click 'Open Data' to connect to repositary destination.",NA
a000808,michelle,2020-05-04,yes,NA,other,"Does not explicitly have a statement saying data is available, but there is the text 'Open Data' with a hyperlink",yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000831,michelle,2020-04-21,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Under open practices, it says: 'Materials and data for the experiment
are available at (will be available upon publication).' But there is a link to supplementary data: at http://dx.doi.org/10.1016/j.jesp.2017.09.002.",NA
a000831,oliver,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,dx.doi.org/10.1016/j.jesp.2017.09.002,other,Redirects,https://www.sciencedirect.com/science/article/abs/pii/S0022103117302135?via%3Dihub,yes,NA,DOI / ScienceDirect,other,"Makes reference to ""supplementary"" data but cannot be found",no,NA,NA,NA
a000831,steve,2020-08-09,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data availability statement in PDF and online says ""will be available upon publication"" - data could be found by searching online though: https://data.mendeley.com/datasets/bfgy9bk7n3/2",NA
a000845,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org,yes,NA,https://www.iris-database.org/iris/app/home/index,yes,NA,IRIS Digital Repository,yes,NA,yes,NA,"Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.",NA
a000845,evelyn,2020-05-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data links provided,NA
a000845,sophia,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org,yes,NA,https://www.iris-database.org/iris/app/home/index;jsessionid=922D67DCE96ADC3EEBE163426726A9DC,yes,NA,IRIS Database,other,the link led to the IRIS homepage,no,NA,I didn't have any problems with this article,NA
a000851,michelle,2020-04-24,yes,NA,other,"No explicit reference to Open Data, rather it says that 'materials are available at https://www.iris-database.org/iris/app/home/detail?id5york%3a936220&ref5search/. However, text mentions 'The online databases were ERIC, LLBA,
PsycINFO, ProQuest, Cambridge Core, Google, and Google Scholar.'",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000851,sophia,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:936220&amp;ref=search/,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:936220&amp;ref=search/,yes,NA,IRIS,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000851,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:936220&amp;ref=search/,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:936220&amp;ref=search/,yes,NA,IRIS,yes,NA,yes,NA,"Straightforward, no issues",NA
a000996,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4b2pc/,yes,NA,https://osf.io/4b2pc/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000996,sophia,2020-04-24,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000996,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.1016/j.cortex.2019.08.018,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0010945219303077?via%3Dihub,no,NA,NA,yes,NA,yes,NA,"Straightforward, no issues",NA
a001016,kongmanas,2020-04-19,yes,NA,no,NA,other,There is a link in the first page which is not described as the link to data repositary,1,1,https://doi.org/10.1016/j.jrp.2019.01.001,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0092656618301776?via%3Dihub,other,The data file is in the ScienceDirect website,NA,yes,NA,yes,NA,"There is no data statement about the open data, but there is a link URL in the first page (which is not described as the link to data repositary). This URL leads  the ScienceDirect website which contains data files.",NA
a001016,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,osf.io/cgzav/,yes,NA,https://osf.io/srcfa/,yes,NA,OSF,yes,NA,yes,NA,NA,NA
a001016,steve,2020-08-09,yes,NA,no,NA,other,Links are on journal web page for article not in PDF,2,1,https://data.mendeley.com/datasets/hv7mxpct6f/3,yes,NA,https://data.mendeley.com/datasets/hv7mxpct6f/3,yes,NA,Mendeley,yes,NA,yes,NA,No indication of data availability in PDF,NA
a001016,steve,2020-08-09,yes,NA,no,NA,other,Links are on journal web page for article not in PDF,2,2,https://data.mendeley.com/datasets/46ynjsp243/1,yes,NA,https://data.mendeley.com/datasets/46ynjsp243/1,yes,NA,Mendeley,yes,NA,yes,NA,No indication of data availability in PDF,NA
a001051,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jesp.2019.03.007,yes,NA,https://www.sciencedirect.com/science/article/pii/S0022103118304426?via%3Dihub,yes,NA,Science Direct,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001051,michelle,2020-05-04,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No explit statement or link to open data. Supplementary data link however: at https://doi.org/10.1016/j.jesp.2019.03.007,NA
a001051,sophia,2020-04-05,yes,NA,other,has a reference and link to supplementary data,yes,NA,1,1,https://doi.org/10.1016/j.jesp.2019.03.007,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103118304426?via%3Dihub,yes,NA,Science Direct,no,NA,NA,NA,"The link to supplementary data leads to a short article, which didn't link to any other sites that seemed to contain data.",NA
a001051,steve,2020-08-09,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No reference to data in PDF or on journal web page, but online search reveals possible open data - https://osf.io/hszyq/",NA
a001122,matthew,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentions an availability to data in the online version of the article, but no access to data in the document itself",NA
a001122,michelle,2020-05-07,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/4XI0UG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4XI0UG,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001122,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/4XI0UG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/4XI0UG,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA
a001125,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://www.elsevier.com/journals/journal-of-experimental-social-psychology/0022-1031/guide-for-authors,yes,NA,https://www.elsevier.com/journals/journal-of-experimental-social-psychology/0022-1031/guide-for-authors,no,NA,"Elsevier, which in itself is not a data repository.",no,NA,NA,NA,"The link to elsevier has no hint as to where to find the data. Upon further checking, the data does exist in Mendeley Data repository, but as the link did not redirect anywhere in Mendeley, files were not downloaded.",NA
a001125,oliver,2020-04-28,yes,NA,yes,NA,other,Only link with data statement leads to general page - not data linked to study,1,1,elsevier.com/journals/journal-of-experimental-social-psychology/ 0022-1031/guide-for-authors.,other,"Works, but does not lead to data",Could not resolve,other,Could not resolve,NA,no,NA,NA,NA,NA,NA
a001125,sophia,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://www.elsevier.com/journals/journal-of-experimental-social-psychology/0022-1031/guide-for-authors,yes,NA,https://www.elsevier.com/journals/journal-of-experimental-social-psychology/0022-1031/guide-for-authors,yes,NA,Elsevier,no,NA,NA,NA,lead to a information page for authors,NA
a001125,steve,2020-08-09,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF,1,1,https://data.mendeley.com/datasets/k29ty5nh48/1,yes,NA,https://data.mendeley.com/datasets/k29ty5nh48/1,yes,NA,Mendeley,yes,NA,yes,NA,"Straightforward, no issues",NA
a001144,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QG1DCI,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QG1DCI,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001144,oliver,2020-04-26,yes,NA,other,"Page mentions ""open data"" under ""supplements""",other,Open data badge icon is hyperlink,1,1,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QG1DCI,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QG1DCI,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA
a001186,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://midus.colectica.org,yes,NA,https://midus.colectica.org/Account/Login,other,Subscription based repository,Midus,other,Needed login,no,NA,Link led to login page which required login. Could not access any files.,NA
a001186,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,1,1,http://midus.colectica.org/,no,Login required,NA,NA,NA,NA,NA,NA,NA,NA,Login required,NA
