study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_note
a000880,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,NA,NA,NA,NA,NA,NA,NA,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The site can’t be reached,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The link provided does not work,NA,NA,NA,NA,NA,NA,NA,NA,The link provided does not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",NA,NA,NA,NA,NA,NA,NA,NA,Main issue here is that the link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",NA,NA,NA,NA,NA,NA,NA,NA,"Note in ""link_work"" column: The link does not work",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a000880,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site cannot be reached' warning,NA,NA,NA,NA,NA,NA,NA,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,NA,NA
a001149,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,2,2,DDBJ database accession no. DRP005397,other,Needed to navigate to Bioinformation and DDBJ Center website and search by accession number,https://ddbj.nig.ac.jp/DRASearch/study?acc=DRP005397,yes,NA,DDBJ,yes,NA,partial,"Total download size exceeded 100MB, downloaded metadata and two data files","The data availability statement reads ""The data have been deposited in the DDBJ database with accession number DRP005397."" but there is no hyperlink in article",DDBJ database accession no. DRP005397,DDBJ database accession no. DRP005397,DDBJ database accession no. DRP005397,NA,NA
a001293,steve,2020-07-10,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.14284/PANGAEA.329,no,Invalid DOI,NA,NA,NA,NA,NA,NA,NA,NA,This might be a drafting error? DOI is very similar to the one that works,NA,https://doi.org/10.14284/PANGAEA.329,doi.org/10.14284/PANGAEA.329,NA,NA
a001548,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.11922/sciencedb.642,no,500 error,NA,NA,NA,NA,NA,NA,NA,NA,"Link resolved to http://www.sciencedb.cn/dataSet/handle/642, but server returned 500 error. Can't find data by searching on scidb.cn, either.",NA,https://doi.org/10.11922/sciencedb.642,doi.org/10.11922/sciencedb.642,NA,NA
a001614,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,no,Asks for a login - may be a not found error,NA,NA,NA,NA,NA,NA,NA,NA,"DOI could not be found, either - searching by author on dataverse does not return this study",NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,NA,NA
