study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,use_code,review_note
a000292,michelle,2020-05-01,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS DATABASE,yes,NA,other,Need to fill in a form to download data,Did not download data as form is required to be filled out,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,TRUE,link works on check
a000292,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,other,"The link cannot be accessed directly by clicking the hyberlink in the article. However, if I copy the link and open it in new internet window, the link works.",https://www.iris-database.org/iris/app/home/%20detail?id=york:934328,yes,NA,IRIS,yes,NA,yes,NA,Note in link_works_noother,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,link works on check - coder 's comment confirms this
a000295,sophia,2020-04-16,yes,NA,yes,NA,yes,NA,2,https://www.iris-database.org,2,yes,NA,https://www.iris-database.org/iris/app/home/index;jsessionid=DEF914500691025AF1156FF411BEC760,yes,NA,IRIS Database,no,NA,NA,NA,This links to the general homepage of the repository,https://www.iris-database.org,https://www.iris-database.org,iris-database.org,FALSE,link works on check
a000295,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,https://www.iris-database.org,2,other,"link works, but is to the generic homepage. Searching required to find actual data",https://www.iris-database.org/iris/app/home/detail?id=york:935345,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,Had to search from IRIS homepage,https://www.iris-database.org,https://www.iris-database.org,iris-database.org,TRUE,This is the format to follow for links to repo home pages
a000300,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,2,https://osf.io/9tm36/,2,no,"""Resource deleted""",NA,NA,NA,NA,NA,NA,NA,NA,I didn't have any problems with this article,https://osf.io/9tm36/,https://osf.io/9tm36/,osf.io/9tm36,FALSE,"Not quite correct - link did work, no errors"
a000300,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,https://osf.io/9tm36/,2,yes,NA,https://osf.io/9tm36/,yes,NA,OSF,no,NA,NA,NA,"url works, but displays message ""resource deleted: user has deleted this content""",https://osf.io/9tm36/,https://osf.io/9tm36/,osf.io/9tm36,TRUE,This is the format to follow for this scenario
a000355,oliver,2020-04-22,yes,NA,yes,NA,yes,NA,1,osf.io/7d5b5,1,no,"""Page not found""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,osf.io/7d5b5,osf.io/7d5b5,FALSE,link works on check - recode this
a000355,phuong,2020-04-15,yes,NA,yes,NA,yes,NA,1,https://osf.io/7d5b5/,1,other,The hyperlink was not correct,https://osf.io/7d5b5/%20and%20https://osf.io/jbfbp/,yes,NA,OSF,yes,NA,yes,NA,The hyperlink was not correct,NA,https://osf.io/7d5b5/,osf.io/7d5b5,FALSE,link works on check - recode this
a000355,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://osf.io/7d5b5/,1,other,Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK,https://osf.io/7d5b5/,yes,NA,OSF,yes,NA,yes,NA,Separate link to materials looked irrelevant on check,NA,https://osf.io/7d5b5/,osf.io/7d5b5,TRUE,I have coded as well as possible
a000367,evelyn,2020-05-18,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.7910/DVN/YM4LDG,1,no,Doi cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,Doi cannot be found,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,this is an other case that I have coded to finalise
a000367,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.7910/DVN/YM4LDG,1,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,this is an other case that I have coded to finalise
a000367,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.7910/DVN/YM4LDG,1,no,"""DOI Not Found' error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,this is an other case that I have coded to finalise
a000367,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.7910/DVN/YM4LDG,1,other,Link provided does not work but searching on Harvard Dataverse located the data repository,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Link provided did not work, had to search for correct repo",NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,TRUE,I have coded this situation as well as possible
a000390,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,doi:10.7910/DVN/SURSEO,1,no,missing http://,NA,NA,NA,NA,NA,NA,NA,NA,"The link is missing the ""http://"" such that when you click or copy directly from the paper, the link does not work.",NA,doi:10.7910/DVN/SURSEO,doi:10.7910/DVN/SURSEO,FALSE,coder did not parse doi correctly
a000390,oliver,2020-04-25,yes,NA,yes,NA,other,Article gave DOI number. I found link via Googling DOI number.,1,doi:10.7910/DVN/SURSEO,1,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SURSEO,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA,doi:10.7910/DVN/SURSEO,doi:10.7910/DVN/SURSEO,TRUE,coder figured out what to do with doi
a000419,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,https://zenodo.org/record/18545,1,yes,NA,https://zenodo.org/record/18545,yes,NA,Zenodo,yes,NA,yes,NA,I didn't have any problems with this article,http://dx.doi.org/10.5281/zenodo.18545,http://dx.doi.org/10.5281/zenodo.18545,dx.doi.org/10.5281/zenodo.18545,TRUE,link works on check
a000419,oliver,2020-04-27,yes,NA,yes,NA,yes,NA,1,dx.doi.org/10.5281/zenodo.18545,1,yes,NA,https://zenodo.org/record/18545,no,NA,NA,yes,NA,yes,NA,NA,http://dx.doi.org/10.5281/zenodo.18545,http://dx.doi.org/10.5281/zenodo.18545,dx.doi.org/10.5281/zenodo.18545,TRUE,link works on check
a000419,phuong,2020-04-17,yes,NA,yes,NA,yes,NA,1,"http://dx.doi.org/10.5281/
zenodo.18545",1,other,The hyperlink was not correct,https://zenodo.org/record/18545#.XpmYS9MzZp8,yes,NA,OSF,yes,NA,yes,NA,The hyperlink was not correct,http://dx.doi.org/10.5281/zenodo.18545,http://dx.doi.org/10.5281/zenodo.18545,dx.doi.org/10.5281/zenodo.18545,FALSE,link works on check - coder possibly affected by malformed url with line break
a000493,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,https://www.iris‐database.org/iris/app/home/detail?id=york:934328,1,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,this is an other case that I have coded to finalise
a000493,nguyenlam,2020-04-17,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,no,The link does not work.,NA,NA,NA,NA,NA,NA,NA,NA,The link does not work.,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,this is an other case that I have coded to finalise
a000493,steve,2020-09-02,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,2,https://www.iris-database.org/iris/app/home/detail?id=york:934328,1,other,Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK - minor edit required to replace the hyphen in the url text,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,Link works but is likely irrelevant - need to register/agree to download data,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,TRUE,this is an other case that I have coded to finalise
a000501,aniruddah,2020-05-01,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/search?query5Jung1in1press,1,yes,NA,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,yes,NA,IRIS Digital Repository,no,NA,NA,NA,"The redirected link does not contain any hint of the data files, and seems like account needs to be created anyway, so would not have been possible to get data.",https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,iris-database.org/iris/app/home/search?query=Jung+in+press,FALSE,this is an other case that I have coded to finalise
a000501,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,iris-database.org/iris/app/home/search?query=Jung+in+press,1,other,Link did not lead to dataset,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,yes,NA,IRIS,no,NA,NA,NA,NA,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,iris-database.org/iris/app/home/search?query=Jung+in+press,FALSE,this is an other case that I have coded to finalise
a000501,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,1,other,"Link works, but is a search of the IRIS archive which returns no results. Searching the IRIS archive more carefully finds the correct links.","https://www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313",yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"There are seven data sets associated with this article on IRIS, but no indication of this in article or elsewhere",https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,https://www.iris-database.org/iris/app/home/search?query=Jung+in+press,iris-database.org/iris/app/home/search?query=Jung+in+press,TRUE,this is an other case that I have coded to finalise
a000518,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,yes,NA,https://iris-database.org/iris/app/home/index,yes,NA,IRIS Digital Repository,yes,NA,yes,NA,"Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.",NA,https://iris-database.org,iris-database.org,FALSE,this is an other case that I have coded to finalise
a000518,steve,2020-09-01,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:934567,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Link was to home page of repository, had to search and then complete info form to download data",NA,https://iris-database.org,iris-database.org,TRUE,this is an other case that I have coded to finalise
a000562,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,2,https://10.0.23.196/m9.figshare.9225476,2,no,"The error message, ""the site can't be reached"" appears",NA,NA,NA,NA,NA,NA,NA,NA,"The error message, ""the site can't be reached"" appears",https://10.6084/m9.figshare.9225476,https://10.6084/m9.figshare.9225476,10.6084/m9.figshare.9225476,FALSE,"coder directly pasted malformed url, does not work"
a000562,steve,2020-07-24,yes,NA,yes,NA,yes,NA,3,https://10.6084/m9.figshare.9225476,2,other,"This URL is malformed; the doi.org/ part is missing, it worked once corrected",https://figshare.com/articles/EEG_data_from_Subject_1_to_Subject_15/9225476,yes,NA,figshare,yes,NA,other,Total download size exceeded 100MB,Very large data set (2.62GB),https://10.6084/m9.figshare.9225476,https://10.6084/m9.figshare.9225476,10.6084/m9.figshare.9225476,TRUE,This is the format to follow for this scenario (garbled but fixable url)
a000562,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,2,https://10.0.23.196/m9.figshare.9249530,1,no,"The error message, ""the site can't be reached"" appears",NA,NA,NA,NA,NA,NA,NA,NA,"The error message, ""the site can't be reached"" appears",https://10.6084/m9.figshare.9249530,https://10.6084/m9.figshare.9249530,10.6084/m9.figshare.9249530,FALSE,"coder directly pasted malformed url, does not work"
a000562,steve,2020-07-24,yes,NA,yes,NA,yes,NA,3,https://10.6084/m9.figshare.9249530,1,other,"This URL is malformed; the doi.org/ part is missing, it worked once corrected",https://figshare.com/articles/Experimental_Paradigm_and_Behavioural_Data_Read_Me/9249530,yes,NA,figshare,yes,NA,yes,NA,"Straightforward, no issues",https://10.6084/m9.figshare.9249530,https://10.6084/m9.figshare.9249530,10.6084/m9.figshare.9249530,TRUE,This is the format to follow for this scenario (garbled but fixable url)
a000566,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/physics,1,yes,NA,https://dataverse.harvard.edu/dataverse/physics,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,http://thedata.harvard.edu/dvn/dv/physics,http://thedata.harvard.edu/dvn/dv/physics,thedata.harvard.edu/dvn/dv/physics,TRUE,link works on check
a000566,michelle,2020-05-08,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/physics,1,yes,NA,https://dataverse.harvard.edu/dataverse/physics,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,http://thedata.harvard.edu/dvn/dv/physics,http://thedata.harvard.edu/dvn/dv/physics,thedata.harvard.edu/dvn/dv/physics,TRUE,link works on check
a000566,phuong,2020-04-17,yes,NA,yes,NA,yes,NA,1,https://dataverse.harvard.edu/dataverse/physics,1,other,The hyperlink wasn't included,https://dataverse.harvard.edu/dataverse/physics,yes,NA,Havard Dataverse,yes,NA,yes,NA,NA,http://thedata.harvard.edu/dvn/dv/physics,http://thedata.harvard.edu/dvn/dv/physics,thedata.harvard.edu/dvn/dv/physics,FALSE,coder's comment is confusing - url most definitely is in the article and works
a000575,michelle,2020-05-06,yes,NA,yes,NA,yes,NA,1,http://hdl.handle.net/2374.MIA/6254,1,no,Error - cannot connect to server,NA,NA,NA,NA,NA,NA,NA,NA,Error - cannot connect to server when data link is accessed,http://hdl.handle.net/2374.MIA/6254,http://hdl.handle.net/2374.MIA/6254,hdl.handle.net/2374.MIA/6254,FALSE,link works on check
a000575,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,https://sc.lib.miamioh.edu/handle/2374.MIA/6254,1,yes,NA,https://sc.lib.miamioh.edu/handle/2374.MIA/6254,yes,NA,Miami University Libraries,yes,NA,yes,NA,I didn't have any problems with this article,http://hdl.handle.net/2374.MIA/6254,http://hdl.handle.net/2374.MIA/6254,hdl.handle.net/2374.MIA/6254,TRUE,link works on check
a000581,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,https://osf.io/n8v3c/,2,yes,NA,https://accounts.osf.io/login?service=https://osf.io/n8v3c/,yes,NA,OSF,other,Require login,no,NA,Study 3 data. Could not access as login required,https://osf.io/n8v3c/,https://osf.io/n8v3c/,osf.io/n8v3c,TRUE,"link works, just requires account"
a000581,oliver,2020-04-21,yes,NA,yes,NA,yes,NA,1,osf.io/n8v3c/,1,other,Link led to sign-in page requiring OSF membership,(resolved url not entered by coder),yes,NA,OSF,other,Link led to sign-in page requiring OSF membership,no,NA,NA,https://osf.io/n8v3c/,https://osf.io/n8v3c/,osf.io/n8v3c,FALSE,coder prematurely opted for other - should have waited until files_exist
a000581,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,https://osf.io/n8v3c/,2,yes,NA,https://accounts.osf.io/login?service=https://osf.io/n8v3c/,yes,NA,OSF,other,OSF account with access required,no,NA,This OSF project not made public,https://osf.io/n8v3c/,https://osf.io/n8v3c/,osf.io/n8v3c,TRUE,"link works, just requires account"
a000588,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7.,1,no,Link did not lead to an unreachable site,NA,NA,NA,NA,NA,NA,NA,NA,Link did not lead to an unreachable site,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7.,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,FALSE,"coder included a full stop at end of link, which is why it did not work"
a000588,michelle,2020-04-23,yes,NA,yes,NA,yes,NA,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,1,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,TRUE,"coder copied link correctly, link works on check"
a000617,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,figshare.com/s/cccac39f891998509c85,1,other,"Error message - file can't be previewed, but can download directly",https://figshare.com/s/cccac39f891998509c85,other,Figshare,NA,yes,NA,yes,NA,NA,NA,figshare.com/s/cccac39f891998509c85,figshare.com/s/cccac39f891998509c85,FALSE,coder coded as other on basis of irrelevant error message
a000617,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,https://figshare.com/s/cccac39f891998509c85,1,yes,NA,https://figshare.com/s/cccac39f891998509c85,yes,NA,Figshare,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://figshare.com/s/cccac39f891998509c85,figshare.com/s/cccac39f891998509c85,TRUE,link works on check
a000688,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,yes,NA,https://iris-database.org/iris/app/home/index;jsessionid=5905D5F3E14607BE2F189A7E919C416B,yes,NA,IRIS,yes,NA,other,an account was required to access the data,NA,NA,https://iris-database.org,iris-database.org,FALSE,this is an other case that I have coded to finalise
a000688,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,yes,NA,https://iris-database.org/iris/app/home/index;jsessionid=7C12F018F2CB4D304C0F4F45AB231D2D,yes,NA,IRIS repository,other,led to the IRIS homepage,no,NA,I didn't have any problems with this article,NA,https://iris-database.org,iris-database.org,FALSE,this is an other case that I have coded to finalise
a000688,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,"link works, but is to the generic homepage. Searching required to find actual data",https://iris-database.org/iris/app/home/detail?id=york:936142,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Article just links to the IRIS homepage, searching required to find data/materials",NA,https://iris-database.org,iris-database.org,TRUE,this is an other case that I have coded to finalise
a000694,phuong,2020-04-17,yes,NA,yes,NA,yes,NA,1,https://osf.io/7nwa6,1,other,The hyperlink was not correct,https://osf.io/7nwa6,yes,NA,OSF,yes,NA,yes,NA,NA,NA,https://osf.io/7nwa6,osf.io/7nwa6,FALSE,this is an other case that I have coded to finalise
a000694,sophia,2020-04-27,yes,NA,yes,NA,yes,NA,1,https://osf.io/7nwa6/,1,yes,NA,https://osf.io/7nwa6/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/7nwa6/,osf.io/7nwa6,FALSE,this is an other case that I have coded to finalise
a000694,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://osf.io/7nwa6/,1,other,"The embedded link in the PDF is broken and includes a lot of the paragraph text following the actual url. The link as it appears in the text is correct, though.",https://osf.io/7nwa6,yes,NA,OSF Registries,yes,NA,yes,NA,"Apart from url issue, straightforward",NA,https://osf.io/7nwa6/,osf.io/7nwa6,TRUE,this is an other case that I have coded to finalise
a000720,nguyenlam,2020-04-09,yes,NA,yes,NA,yes,NA,1,10.6084/m9.figshare.7854731,1,other,"Need to access ''figsgare.com'' first, then search for the given code",https://figshare.com/search?q=10.6084%2Fm9.figshare.7854731&searchMode=1,yes,NA,Figshare,yes,NA,yes,NA,"Note in ""Link_works_noneither""",10.6084/m9.figshare.7854731,10.6084/m9.figshare.7854731,10.6084/m9.figshare.7854731,FALSE,coder figured it out
