"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other","is_repository","repository_name","all_notes","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","flag_credentials_required","final_download_success","final_download_success2"
"a000295","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","www.iris-database.org/iris/app/home/detail?id=york:935345","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","evelyn: I didn't have any problems with this article; sophia: I didn't have any problems with this article; sophia: This links to the general homepage of the repository; steve: Had to search from IRIS homepage; steve: Straightforward, no issues",2018,"Arroyo, Diana C.; Yilmaz, Yucel","An Open for Replication Study: The Role of Feedback Timing in Synchronous Computer-Mediated Communication","Language Learning","1467-9922","10.1111/lang.12300","942-972","4",68,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000300","yes",,"yes",,"yes",,"osf.io/9tm36","yes",,"osf.io/9tm36","no",,,,"yes","Open Science Framework","oliver: (no note made); sophia: I didn't have any problems with this article; sophia: I didn't have any problems with this article; steve: Straightforward, no issues; steve: url works, but displays message ""resource deleted: user has deleted this content""",2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik","Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage","Cortex","0010-9452","10.1016/j.cortex.2019.06.009","223-239",,120,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000330","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/WD3IUA","other","The link in the PDF is for a different study - correct link can be found on JBPA dataverse page","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB","yes",,"yes",,"yes","Harvard Dataverse","andy: Link to different article repository. Search for author's name on Harvard Dataverse found the correct repository and files at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB. Appears to be an overlap in volume and issue number between the 2 papers.; oliver: (no note made); steve: The link in the PDF is for a different study - correct link can be found on JBPA dataverse page - https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB",2019,"Tuxhorn, Kim-Lee; D'Attoma, John W.; Steinmo, Sven","Trust in institutions: Narrowing the ideological gap over the federal budget","Journal of Behavioral Public Administration","2576-6465","10.30636/jbpa.21.47",,"1",2,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000334","yes",,"yes",,"yes",,"dx.doi.org/10.7910","other","The url (DOI) as printed is incomplete - but other clues indicated there was likely a repo on Harvard Dataverse, and a search of that site for the title found the repo","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KUWA5X","yes",,"yes",,"yes","Harvard Dataverse","oliver: (no note made); sophia: Leads to a DOI Name Values page; steve: Apart from problem url, straightforward",2017,"Bateman, David A.; Clinton, Joshua D.; Lapinski, John S.","A House Divided? Roll Calls, Polarization, and Policy Differences in the U.S. House, 1877–2011","American Journal of Political Science","1540-5907","10.1111/ajps.12281","698-714","3",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000367","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/YM4LDG","other","Link provided does not work but searching on Harvard Dataverse located the data repository","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK","yes",,"yes",,"yes","Harvard Dataverse","evelyn: Doi cannot be found; kongmanas: The provided link didn't work; sophia: (no note made); steve: Link provided did not work, had to search for correct repo",2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.","Putting Politics First: The Impact of Politics on American Religious and Secular Orientations","American Journal of Political Science","1540-5907","10.1111/ajps.12365","551-565","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a000371","yes",,"yes",,"no",,,,,,,,,,,,"oliver: (no note made); sophia: article says all data is available on the American Journal of Political Science on the Harvard Dataverse Network",2018,"Kogelmann, Brian; Ogden, Benjamin G.","Enough and as Good: A Formal Model of Lockean First Appropriation","American Journal of Political Science","1540-5907","10.1111/ajps.12369","682-694","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a000417","yes",,"yes",,"yes",,"doi.org/10.1016/j.jrp.2018.02.003","yes",,"www.sciencedirect.com/science/article/pii/S0092656618300151","no",,,,"no",,"evelyn: Unable to download files without login/appropriate access; kongmanas: The data file is in the ScienceDirect website and the registration is needed to download the data file; steve: A number of strange problems with this article - journal misnamed in body of text when referring to data availability - supplementary material is not raw data just summary tables - incomplete acknowledgement template in footnote",2018,"Hawes, Samuel W.; Byrd, Amy L.; Kelley, Shannon E.; Gonzalez, Raul; Edens, John F.; Pardini, Dustin A.","Psychopathic features across development: Assessing longitudinal invariance among Caucasian and African American youths","Journal of Research in Personality","0092-6566","10.1016/j.jrp.2018.02.003","180-188",,73,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000494","yes",,"yes",,"no",,,,,,,,,,,,"andy: No links to data; steve: No link to data found - the only ""data"" in this paper would be response rates to a survey with N = 30 respondents.",2018,"Brönnimann, Stefan; Brugnara, Yuri; Allan, Rob J.; Brunet, Manola; Compo, Gilbert P.; Crouthamel, Richard I.; Jones, Philip D.; Jourdain, Sylvie; Luterbacher, Jürg; Siegmund, Peter; Valente, Maria Antónia; Wilkinson, Clive W.","A roadmap to climate data rescue services","Geoscience Data Journal","2049-6060","10.1002/gdj3.56","28-39","1",5,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a000501","yes",,"yes",,"yes",,"iris-database.org/iris/app/home/search?query=Jung+in+press","other","Link works, but is a search of the IRIS archive which returns no results. Searching the IRIS archive more carefully finds the correct links.","www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","aniruddah: The redirected link does not contain any hint of the data files, and seems like account needs to be created anyway, so would not have been possible to get data.; oliver: (no note made); steve: There are seven data sets associated with this article on IRIS, but no indication of this in article or elsewhere",2018,"Jung, Jookyoung; Révész, Andrea","THE EFFECTS OF READING ACTIVITY CHARACTERISTICS ON L2 READING PROCESSES AND NOTICING OF GLOSSED CONSTRUCTIONS","Studies in Second Language Acquisition","0272-2631, 1470-1545","10.1017/S0272263118000165","755-780","4",40,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000518","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:934567","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","andy: Had to search repository for correct files.; aniruddah: Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.; oliver: No OSF link to data. Only has one OSF link - but is the general homepage at osf.io/tvyxz/; steve: Link was to home page of repository, had to search and then complete info form to download data",2018,"Plonsky, Luke; Ghanbar, Hessameddin","Multiple Regression in L2 Research: A Methodological Synthesis and Guide to Interpreting R2 Values","The Modern Language Journal","1540-4781","10.1111/modl.12509","713-731","4",102,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000540","yes",,"no",,"no",,,,,,,,,,,,"andy: 2019 article is Stage 1 Registered Report with links only to the pre-registration. Links to data are from the 2020 Stage 2 Full article.; sophia: (no note made); steve: This is Stage 1 of a registered report (stage 2 published in 2020) - data is not applicable for this article",2019,"Fisher, Alexandra N.; Sakaluk, John K.","Are single people a stigmatized 'group'? Evidence from examinations of social identity, entitativity, and perceived responsibility","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.02.006","208-216",,82,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a000581","yes",,"yes",,"yes",,"osf.io/n8v3c","yes",,"osf.io/n8v3c","other","OSF account with access required","no",,"yes","Open Science Framework","adrian: Study 1 and 2 data. Could not access as login required; adrian: Study 3 data. Could not access as login required; oliver: (no note made); steve: Registration required - ""safeguarded data""; steve: This OSF project not made public. Coding updated to clarify the resolved_url (use url when logged in, which returns the permission needed message, rather than the login redirection url).",2019,"Liu, Jinyu; Thomas, Jason Michael; Higgs, Suzanne","The relationship between social identity, descriptive social norms and eating intentions and behaviors","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.02.002","217-230",,82,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000582","yes",,"yes",,"no",,,,,,,,,,,,"kongmanas: There is no link provided in the article; oliver: (no note made)",2017,"Landa, Dimitri; Tyson, Scott A.","Coercive Leadership","American Journal of Political Science","1540-5907","10.1111/ajps.12303","559-574","3",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a000655","yes",,"yes",,"yes",,"db.humanconnectome.org","yes",,"db.humanconnectome.org/app/template/Login.vm","other","Link directs to log in screen - seems as if login is required to access data","no",,"yes","ConnectomeDB, CCF","adrian: Could not access as login needed; michelle: Login seems to be required to access data, but there was a supplementary data link: https://doi.org/10.1016/j.cortex.2019.04.015.",2019,"Przeździk, Izabela; Faber, Myrthe; Fernández, Guillén; Beckmann, Christian F.; Haak, Koen V.","The functional organisation of the hippocampus along its long axis is gradual and predicts recollection","Cortex","0010-9452","10.1016/j.cortex.2019.04.015","324-335",,119,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000688","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:936142","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","phuong: (no note made); sophia: I didn't have any problems with this article; steve: Article just links to the IRIS homepage, searching required to find data/materials",2019,"Dewaele, Jean-Marc; Magdalena, Andrea Franco; Saito, Kazuya","The Effect of Perception of Teacher Characteristics on Spanish EFL Learners’ Anxiety and Enjoyment","The Modern Language Journal","1540-4781","10.1111/modl.12555","412-427","2",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000696","yes",,"yes",,"yes",,"citsci.geog.mcgill.ca","yes",,"citsci.geog.mcgill.ca","no",,,,"no",,"andy: The linked site is the project website; steve: The linked site is the generic program website; the paper is more a description of a data transcription project, not reporting results",2019,"Slonosky, Victoria; Sieber, Renée; Burr, Gordon; Podolsky, Lori; Smith, Robert; Bartlett, Madeleine; Park, Eun; Cullen, Jeremy; Fabry, Frédéric","From books to bytes: A new data rescue tool","Geoscience Data Journal","2049-6060","10.1002/gdj3.62","58-73","1",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000773","yes",,"no",,"no",,,,,,,,,,,,"adrian: Article has data badge but no statement or any links given. The following disclaimer was found in the footnotes: ""Given the potentially identifying information inherent in personal narratives, the transcripts cannot be made public, though interested scholars should contact Dan McAdams (dmca@northwestern.edu) to discuss access; sophia: (no note made)",2018,"Adler, Jonathan M.; Waters, Theodore E. A.; Poh, Justin; Seitz, Sophia","The nature of narrative coherence: An empirical approach","Journal of Research in Personality","0092-6566","10.1016/j.jrp.2018.01.001","30-34",,74,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a000777","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/LWED0F","other","Link provided does not work but searching on Harvard Dataverse located the data repository","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DSDNX6","yes",,"yes",,"yes","Harvard Dataverse","oliver: (no note made); sophia: (no note made); steve: Link provided did not work, had to search for correct repo",2017,"Christenson, Dino P.; Kriner, Douglas L.","Constitutional Qualms or Politics as Usual? The Factors Shaping Public Support for Unilateral Action","American Journal of Political Science","1540-5907","10.1111/ajps.12262","335-349","2",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a000785","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","kongmanas: The registration is needed to download the data file; matthew: Required a login.; steve: IRIS repo just links to files hosted on Github",2019,"Norouzian, Reza; Miranda, Michael De; Plonsky, Luke","A Bayesian Approach to Measuring Evidence in L2 Research: An Empirical Investigation","The Modern Language Journal","1540-4781","10.1111/modl.12543","248-261","1",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000793","yes",,"yes",,"yes",,"doi.org/10.1016/j.evolhumbehav.2018.03.007","yes",,"www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub","no",,,,"no",,"evelyn: I didn't have any problems with this article; evelyn: I didn't have any problems with this article; nguyenlam: There was a link to ""supplementary material ""- this link was ignored, since it just contains additional analysis, instead of data.; steve: PDF said this was a link to supp data, but destination had supp info in pdf - links possibly mixed up; steve: PDF said this was a link to supp info, but destination had data files - links possibly mixed up; steve: PDF said this was prereg info, but had data files",2018,"Jünger, Julia; Kordsmeyer, Tobias L.; Gerlach, Tanja M.; Penke, Lars","Fertile women evaluate male bodies as more attractive, regardless of masculinity","Evolution and Human Behavior","1090-5138","10.1016/j.evolhumbehav.2018.03.007","412-423","4",39,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000831","yes",,"yes",,"no",,,,,,,,,,,,"michelle: Under open practices, it says: 'Materials and data for the experiment are available at (will be available upon publication).' But there is a link to supplementary data: at http://dx.doi.org/10.1016/j.jesp.2017.09.002.; oliver: (no note made); steve: Data availability statement in PDF and online says ""will be available upon publication"" - data could be found by searching online though: https://data.mendeley.com/datasets/bfgy9bk7n3/2",2018,"Ben-Avi, Nili; Toker, Sharon; Heller, Daniel","“If stress is good for me, it's probably good for you too”: Stress mindset and judgment of others' strain","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2017.09.002","98-110",,74,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a000845","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:935657","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","aniruddah: Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.; evelyn: No data links provided; sophia: I didn't have any problems with this article; steve: Article just links to the IRIS homepage, searching required to find data/materials",2019,"Ven, Marco van de; Segers, Eliane; Verhoeven, Ludo","Enhanced Second Language Vocabulary Learning Through Phonological Specificity Training in Adolescents","Language Learning","1467-9922","10.1111/lang.12330","222-250","1",69,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000849","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/NQOWDE","other","Link leads to https://ezid.cdlib.org/ with a ""No such identifier."" message - searching Harvard Dataverse locates the correct data repo","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KL7J6Z","yes",,"yes",,"yes","Harvard Dataverse","kongmanas: The provided link didn't work; michelle: Redirected to homepage, no data pertaining to article to download; steve: Link provided did not work, had to search for correct repo",2017,"Alt, James; Iversen, Torben","Inequality, Labor Market Segmentation, and Preferences for Redistribution","American Journal of Political Science","1540-5907","10.1111/ajps.12264","21-36","1",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a000880","yes",,"yes",,"yes",,"pisa2006.acer.edu.au/downloads.php","no","Site can' be reached",,,,,,,,"adrian: Link did not work; aniruddah: The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data.; evelyn: Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""; kongmanas: The provided link didn't work; matthew: The link provided does not work; michelle: Main issue here is that the link did not work; nguyenlam: Note in ""link_work"" column: The link does not work; oliver: (no note made); phuong: (no note made); sophia: There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",2014,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.","Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction","Psychological Science","0956-7976","10.1177/0956797614548726","2047-2057","11",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
