"study_id","final_files_exist","final_files_exist_failure_note","link_url_cleaned","resolved_url_cleaned","files_exist","files_exist_other","all_notes","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_work","link_work_noother","download_success","download_success_other","is_repository","repository_name","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","flag_credentials_required","final_download_success","final_download_success2","article_has_links_logical","link_works_logical","link_success","n_links","link_category","files_exist_logical","files_exist_success"
"a000300","no","Link led to notice that data has been deleted from repository","osf.io/9tm36","osf.io/9tm36","no",,"oliver: (no note made); sophia: I didn't have any problems with this article; sophia: I didn't have any problems with this article; steve: Straightforward, no issues; steve: url works, but displays message ""resource deleted: user has deleted this content""","yes",,"yes",,"yes",,"yes",,,,"yes","Open Science Framework",2019,"Lucas, Nadia; Bourgeois, Alexia; Carrera, Emmanuel; Landis, Theodor; Vuilleumier, Patrik","Impaired visual search with paradoxically increased facilitation by emotional features after unilateral pulvinar damage","Cortex","0010-9452","10.1016/j.cortex.2019.06.009","223-239",,120,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,2,"2",FALSE,0.5
"a000330","no","Link led to data explicitly for a different article","doi.org/10.7910/DVN/WD3IUA","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB","yes",,"andy: Link to different article repository. Search for author's name on Harvard Dataverse found the correct repository and files at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB. Appears to be an overlap in volume and issue number between the 2 papers.; oliver: (no note made); steve: The link in the PDF is for a different study - correct link can be found on JBPA dataverse page - https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB","yes",,"yes",,"yes",,"other","The link in the PDF is for a different study - correct link can be found on JBPA dataverse page","yes",,"yes","Harvard Dataverse",2019,"Tuxhorn, Kim-Lee; D'Attoma, John W.; Steinmo, Sven","Trust in institutions: Narrowing the ideological gap over the federal budget","Journal of Behavioral Public Administration","2576-6465","10.30636/jbpa.21.47",,"1",2,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000334","no","Link led to DOI metadata","dx.doi.org/10.7910","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KUWA5X","yes",,"oliver: (no note made); sophia: Leads to a DOI Name Values page; steve: Apart from problem url, straightforward","yes",,"yes",,"yes",,"other","The url (DOI) as printed is incomplete - but other clues indicated there was likely a repo on Harvard Dataverse, and a search of that site for the title found the repo","yes",,"yes","Harvard Dataverse",2017,"Bateman, David A.; Clinton, Joshua D.; Lapinski, John S.","A House Divided? Roll Calls, Polarization, and Policy Differences in the U.S. House, 1877–2011","American Journal of Political Science","1540-5907","10.1111/ajps.12281","698-714","3",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000417","no","Link led to a document of supplemental material on journal website","doi.org/10.1016/j.jrp.2018.02.003","www.sciencedirect.com/science/article/pii/S0092656618300151","no",,"evelyn: Unable to download files without login/appropriate access; kongmanas: The data file is in the ScienceDirect website and the registration is needed to download the data file; steve: A number of strange problems with this article - journal misnamed in body of text when referring to data availability - supplementary material is not raw data just summary tables - incomplete acknowledgement template in footnote","yes",,"yes",,"yes",,"yes",,,,"no",,2018,"Hawes, Samuel W.; Byrd, Amy L.; Kelley, Shannon E.; Gonzalez, Raul; Edens, John F.; Pardini, Dustin A.","Psychopathic features across development: Assessing longitudinal invariance among Caucasian and African American youths","Journal of Research in Personality","0092-6566","10.1016/j.jrp.2018.02.003","180-188",,73,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000501","no","Link led to main page of repository (IRIS)","iris-database.org/iris/app/home/search?query=Jung+in+press","www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313","other","Registration form required before data can be downloaded","aniruddah: The redirected link does not contain any hint of the data files, and seems like account needs to be created anyway, so would not have been possible to get data.; oliver: (no note made); steve: There are seven data sets associated with this article on IRIS, but no indication of this in article or elsewhere","yes",,"yes",,"yes",,"other","Link works, but is a search of the IRIS archive which returns no results. Searching the IRIS archive more carefully finds the correct links.","yes",,"yes","IRIS",2018,"Jung, Jookyoung; Révész, Andrea","THE EFFECTS OF READING ACTIVITY CHARACTERISTICS ON L2 READING PROCESSES AND NOTICING OF GLOSSED CONSTRUCTIONS","Studies in Second Language Acquisition","0272-2631, 1470-1545","10.1017/S0272263118000165","755-780","4",40,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000518","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:934567","other","Registration form required before data can be downloaded","andy: Had to search repository for correct files.; aniruddah: Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.; oliver: No OSF link to data. Only has one OSF link - but is the general homepage at osf.io/tvyxz/; steve: Link was to home page of repository, had to search and then complete info form to download data","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2018,"Plonsky, Luke; Ghanbar, Hessameddin","Multiple Regression in L2 Research: A Methodological Synthesis and Guide to Interpreting R2 Values","The Modern Language Journal","1540-4781","10.1111/modl.12509","713-731","4",102,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000581","no","Link led to opaque login page","osf.io/n8v3c","osf.io/n8v3c","other","OSF account with access required","adrian: Study 1 and 2 data. Could not access as login required; adrian: Study 3 data. Could not access as login required; oliver: (no note made); steve: Registration required - ""safeguarded data""; steve: This OSF project not made public. Coding updated to clarify the resolved_url (use url when logged in, which returns the permission needed message, rather than the login redirection url).","yes",,"yes",,"yes",,"yes",,"no",,"yes","Open Science Framework",2019,"Liu, Jinyu; Thomas, Jason Michael; Higgs, Suzanne","The relationship between social identity, descriptive social norms and eating intentions and behaviors","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.02.002","217-230",,82,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0.5
"a000655","no","Link led to opaque login page","db.humanconnectome.org","db.humanconnectome.org/app/template/Login.vm","other","Link directs to log in screen - seems as if login is required to access data","adrian: Could not access as login needed; michelle: Login seems to be required to access data, but there was a supplementary data link: https://doi.org/10.1016/j.cortex.2019.04.015.","yes",,"yes",,"yes",,"yes",,"no",,"yes","ConnectomeDB, CCF",2019,"Przeździk, Izabela; Faber, Myrthe; Fernández, Guillén; Beckmann, Christian F.; Haak, Koen V.","The functional organisation of the hippocampus along its long axis is gradual and predicts recollection","Cortex","0010-9452","10.1016/j.cortex.2019.04.015","324-335",,119,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000688","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:936142","other","Registration form required before data can be downloaded","phuong: (no note made); sophia: I didn't have any problems with this article; steve: Article just links to the IRIS homepage, searching required to find data/materials","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Dewaele, Jean-Marc; Magdalena, Andrea Franco; Saito, Kazuya","The Effect of Perception of Teacher Characteristics on Spanish EFL Learners’ Anxiety and Enjoyment","The Modern Language Journal","1540-4781","10.1111/modl.12555","412-427","2",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000696","no","Link led to main page of research program unrelated to data","citsci.geog.mcgill.ca","citsci.geog.mcgill.ca","no",,"andy: The linked site is the project website; steve: The linked site is the generic program website; the paper is more a description of a data transcription project, not reporting results","yes",,"yes",,"yes",,"yes",,,,"no",,2019,"Slonosky, Victoria; Sieber, Renée; Burr, Gordon; Podolsky, Lori; Smith, Robert; Bartlett, Madeleine; Park, Eun; Cullen, Jeremy; Fabry, Frédéric","From books to bytes: A new data rescue tool","Geoscience Data Journal","2049-6060","10.1002/gdj3.62","58-73","1",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000785","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:936215, https://github.com/izeh/l/blob/master/d.r","other","Registration form required before data can be downloaded","kongmanas: The registration is needed to download the data file; matthew: Required a login.; steve: IRIS repo just links to files hosted on Github","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Norouzian, Reza; Miranda, Michael De; Plonsky, Luke","A Bayesian Approach to Measuring Evidence in L2 Research: An Empirical Investigation","The Modern Language Journal","1540-4781","10.1111/modl.12543","248-261","1",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000793","no","Link led to a document of supplemental material on journal website","doi.org/10.1016/j.evolhumbehav.2018.03.007","www.sciencedirect.com/science/article/abs/pii/S1090513818300072?via%3Dihub","no",,"evelyn: I didn't have any problems with this article; evelyn: I didn't have any problems with this article; nguyenlam: There was a link to ""supplementary material ""- this link was ignored, since it just contains additional analysis, instead of data.; steve: PDF said this was a link to supp data, but destination had supp info in pdf - links possibly mixed up; steve: PDF said this was a link to supp info, but destination had data files - links possibly mixed up; steve: PDF said this was prereg info, but had data files","yes",,"yes",,"yes",,"yes",,,,"no",,2018,"Jünger, Julia; Kordsmeyer, Tobias L.; Gerlach, Tanja M.; Penke, Lars","Fertile women evaluate male bodies as more attractive, regardless of masculinity","Evolution and Human Behavior","1090-5138","10.1016/j.evolhumbehav.2018.03.007","412-423","4",39,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,3,"3+",FALSE,0.6666666666666666
"a000845","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:935657","other","Registration form required before data can be downloaded","aniruddah: Redirects to home page of IRIS, but searching for authors leads to paper, and hence there are files that were downloaded.; evelyn: No data links provided; sophia: I didn't have any problems with this article; steve: Article just links to the IRIS homepage, searching required to find data/materials","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Ven, Marco van de; Segers, Eliane; Verhoeven, Ludo","Enhanced Second Language Vocabulary Learning Through Phonological Specificity Training in Adolescents","Language Learning","1467-9922","10.1111/lang.12330","222-250","1",69,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000935","no","Link led to opaque login page","osf.io/pg9ca","accounts.osf.io/login?service=https://osf.io/pg9ca","yes",,"adrian: Could not access as login needed; phuong: (no note made)","yes",,"yes",,"yes",,"yes",,"other","an account was required to download","yes","Open Science Framework",2019,"Guyll, Max; Yang, Yueran; Madon, Stephanie; Smalarz, Laura; Lannin, Daniel G.","Mobilization and resistance in response to interrogation threat.","Law and Human Behavior","1573-661X, 0147-7307","10.1037/lhb0000337","307-318","4",43,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000948","no","Link led to main page of repository (other)","osf.io/677jr","osf.io/37g64","other","Repo only contains a PDF of the article, no auxiliary data files","aniruddah: Link does not redirect to data directly, but rather have to open another link to get to the data files.; oliver: (no note made); sophia: The data file was a pdf with graphs but no raw data. Other than that, I didn't have any problems with this article.; steve: Links to a list of projects, not specific project, and then closest match only had a preprint document no data","yes",,"yes",,"yes",,"other","Link leads to a list of different OSF projects for the first author, need to select the relevant OSF project for the article","no",,"yes","Open Science Framework",2019,"Everaert, Jonas; Joormann, Jutta","Emotion Regulation Difficulties Related to Depression and Anxiety: A Network Approach to Model Relations Among Symptoms, Positive Reappraisal, and Repetitive Negative Thinking","Clinical Psychological Science","2167-7026","10.1177/2167702619859342","1304-1318","6",7,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a000965","no","Link led to opaque login page","osf.io/b6n8t","osf.io/b6n8t","other","OSF account and permission needed to view project","sophia: required an account; steve: OSF account and permission needed to view project; steve: OSF account and permission needed to view project; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues","yes",,"yes",,"yes",,"yes",,"no",,"yes","Open Science Framework",2019,"Charles, Sarah J.; Bartlett, James E.; Messick, Kyle J.; III, Thomas J. Coleman; Uzdavines, Alex","Researcher Degrees of Freedom in the Psychology of Religion","The International Journal for the Psychology of Religion","1050-8619","10.1080/10508619.2019.1660573","230-245","4",29,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,6,"3+",FALSE,0.6666666666666666
"a000965","no","Link led to opaque login page","osf.io/fs67k","osf.io/fs67k","other","OSF account and permission needed to view project","sophia: required an account; steve: OSF account and permission needed to view project; steve: OSF account and permission needed to view project; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues","yes",,"yes",,"yes",,"yes",,"no",,"yes","Open Science Framework",2019,"Charles, Sarah J.; Bartlett, James E.; Messick, Kyle J.; III, Thomas J. Coleman; Uzdavines, Alex","Researcher Degrees of Freedom in the Psychology of Religion","The International Journal for the Psychology of Religion","1050-8619","10.1080/10508619.2019.1660573","230-245","4",29,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,6,"3+",FALSE,0.6666666666666666
"a001027","no","Link led to no longer publicly available data due to update","doi.org/10.3886/ICPSR04652.v6","www.icpsr.umich.edu/web/NACDA/studies/4652/versions/V6","other","The v6 of the files is no longer available, superceded by v7. v6 may be available upon request for replication purposes according to note on page.","adrian: 2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017; aniruddah: Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here.; evelyn: Login required to access and download files; evelyn: The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""; kongmanas: The registration is needed to access to the link destination; kongmanas: The registration is needed to download the data file; matthew: Link did not lead to data; matthew: Link required login; michelle: I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links; michelle: I have put in the Document Only download in the data file, but other remaining ones could not be done; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success""; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success"" and ""is_repository_other"" columns.; oliver: (no note made); phuong: (no note made); phuong: (no note made); sophia: needed a login; sophia: the data was updated in the archive since use within the article.; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).; steve: There was a v7 of the data (behind a login), but v6 does not seem to be available, need to contact ICPSR)","yes",,"yes",,"yes",,"yes",,"no",,"yes","ICPSR",2014,"Hill, Patrick L.; Turiano, Nicholas A.","Purpose in Life as a Predictor of Mortality Across                     Adulthood","Psychological Science","0956-7976","10.1177/0956797614531799","1482-1486","7",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0
