Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Short Title,Series,Language,Rights,Library Catalog,Extra,Notes,file_att1,file_att2,file_att3,Automatic Tags,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id,pdf_to_copy,allowed_in_pool
AYAU74T8,journalArticle,2019,"Sexton, Renard; Wellhausen, Rachel L.; Findley, Michael G.",How Government Reactions to Violence Worsen Social Welfare: Evidence from Peru,American Journal of Political Science,1540-5907,10.1111/ajps.12415,http://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12415,"Dissident violence inflicts many costs on society, but some of the longest-lasting consequences for civilians may be indirect, due to the government's response. We explore how government policy responses affect social welfare, specifically through budgetary shifts. Using subnational violence and budgeting data for Peru, we demonstrate that attacks on soldiers during the budget negotiation period drive a shift from local social services, especially health, to defense. One soldier fatality implies a 0.13 percentage point reduction in the local health budget share (2008–12). Health budget cuts due to a single soldier fatality result in 76 predicted additional infant deaths 2 years later. We show that the effect on health budgeting operates through decreases in women's use of health facilities and postnatal services. We offer evidence that Peru's coercive response indirectly harms civilians due to butter-to-guns budgetary shifts. Our results identify a budgetary mechanism that translates dissident violence into a deterioration in social welfare.",2019,2020-01-29T00:40:44Z,2020-01-29T00:41:04Z,2020-01-29T00:40:44Z,353-367,2,63,NA,How Government Reactions to Violence Worsen Social Welfare,NA,en,"©2019, Midwest Political Science Association",Wiley Online Library,NA,NA,C:\Users\Steve\Zotero\storage\JH87CXVV\Sexton et al. - 2019 - How Government Reactions to Violence Worsen Social.pdf, C:\Users\Steve\Zotero\storage\SBCN6JQX\ajps.html,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000441,C:\Users\Steve\Zotero\storage\JH87CXVV\Sexton et al. - 2019 - How Government Reactions to Violence Worsen Social.pdf,TRUE
B3HWTGTK,journalArticle,2019,"Pustejovsky, James E.",Procedural sensitivities of effect sizes for single-case designs with directly observed behavioral outcome measures.,Psychological Methods,"1939-1463, 1082-989X",10.1037/met0000179,http://doi.apa.org/getdoi.cfm?doi=10.1037/met0000179,NA,2019-04,2020-02-05T04:32:12Z,2020-02-05T04:33:02Z,2020-02-05T04:32:11Z,217-235,2,24,Psychological Methods,NA,NA,en,NA,DOI.org (Crossref),NA,NA,C:\Users\Steve\Zotero\storage\DB895ZB6\Pustejovsky - 2019 - Procedural sensitivities of effect sizes for singl.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000442,C:\Users\Steve\Zotero\storage\DB895ZB6\Pustejovsky - 2019 - Procedural sensitivities of effect sizes for singl.pdf,TRUE
B3MPY7JC,journalArticle,2018,"Smith, Shawn R.; Briggs, Kristen; Bourassa, Mark A.; Elya, Jocelyn; Paver, Christopher R.",Shipboard automated meteorological and oceanographic system data archive: 2005–2017,Geoscience Data Journal,2049-6060,10.1002/gdj3.59,https://rmets.onlinelibrary.wiley.com/doi/10.1002/gdj3.59,"Abstract Since 2005, the Shipboard Automated Meteorological and Oceanographic System (SAMOS) initiative has been collecting, quality-evaluating, distributing, and archiving underway navigational, meteorological, and oceanographic observations from research vessels. Herein we describe the procedures for acquiring ship and instrumental metadata and the one-minute interval observations from 44 research vessels that have contributed to the SAMOS initiative from 2005 to 2017. The overall data processing workflow and quality control procedures are documented along with data file formats and version control procedures. The SAMOS data are disseminated to the user community via web, FTP, and Thematic Real-time Environmental Distributed Data Services from both the Marine Data Center at the Florida State University and the National Centers for Environmental Information, which serves as the long-term archive for the SAMOS initiative. They have been used to address topics ranging from air-sea interaction studies, the calibration, evaluation, and development of satellite observational products, the evaluation of numerical atmospheric and ocean models, and the development of new tools and techniques for geospatial data analysis in the informatics community. Maps provide users the geospatial coverage within the SAMOS dataset, with a focus on the Essential Climate/Ocean Variables, and recommendations are made regarding which versions of the dataset should be accessed by different user communities. Open Practices This article has earned an Open Data badge for making publicly available the digitally-shareable data necessary to reproduce the reported results. The data is available at http://dx.doi.org/10.7289/V5QJ7F8R. Learn more about the Open Practices badges from the Center for Open Science: https://osf.io/tvyxz/wiki.",2018-11-01,2019-04-02T18:59:23Z,2019-04-03T07:52:13Z,2019-04-02T18:59:23Z,73-86,2,5,Geoscience Data Journal,Shipboard automated meteorological and oceanographic system data archive,NA,NA,NA,rmets.onlinelibrary.wiley.com (Atypon),NA,NA,C:\Users\Steve\Zotero\storage\2D5QAPBY\Smith et al. - 2018 - Shipboard automated meteorological and oceanograph.pdf, C:\Users\Steve\Zotero\storage\TB7VDAXK\gdj3.html,NA,data stewardship; marine meteorology; open data access; quality control; thermosalinograph,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000443,C:\Users\Steve\Zotero\storage\2D5QAPBY\Smith et al. - 2018 - Shipboard automated meteorological and oceanograph.pdf,FALSE
B3YC48DX,journalArticle,2019,"Gale, Jessica; Staerklé, Christian",Multiculturalism in classically liberal societies: Group membership and compatibility between individual and collective justice,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2019.103877,http://www.sciencedirect.com/science/article/pii/S0022103118304712,"The degree to which classical liberal, individualist principles of Western societies are seen as (in)compatible with multiculturalism and minority rights is a key issue in diverse societies. Classical liberalism is grounded in individual justice principles, suggesting that individuals are responsible for their own fate and should be treated according to their personal characteristics, regardless of group membership. Multiculturalism, in turn, is grounded in collective justice principles, recognizing cultural differences and seeking greater equality between groups. The present research investigates how asymmetric group membership in dominant and subordinate groups shapes perceived compatibility between classical liberalism and multiculturalism. A correlational study (N = 141) first shows that cultural minorities perceive greater compatibility between the two justice principles compared to native majorities. A second (N = 202) and third (N = 164) experimental study involving the description of a fictitious society manipulated perspective-taking as a function of social status, cultural origin and numerical size of groups. The findings show that respondents taking the perspective of immigrant groups perceive greater compatibility between classical liberalism and multiculturalism as an abstract ideology compared to a native perspective, and that a low status perspective leads to greater compatibility between classical liberalism and multiculturalism as a concrete policy compared to a high status perspective. Overall, these studies suggest that membership in subordinate groups generally increases perceived compatibility between individual and collective forms of justice. Implications associated with growing civic integrationist policies in Europe are discussed.",2019-11-01,2020-02-06T01:58:36Z,2020-02-10T04:22:29Z,2020-02-06T01:58:36Z,103877,NA,85,Journal of Experimental Social Psychology,Multiculturalism in classically liberal societies,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\SXYQWTYB\Gale and Staerklé - 2019 - Multiculturalism in classically liberal societies.pdf, C:\Users\Steve\Zotero\storage\ZREBH5II\S0022103118304712.html,NA,Social justice; Group membership; Classical liberalism; Individual responsibility; Multiculturalism,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000444,C:\Users\Steve\Zotero\storage\SXYQWTYB\Gale and Staerklé - 2019 - Multiculturalism in classically liberal societies.pdf,TRUE
B4KXG9X9,journalArticle,2019,"Meijer, David; Veselič, Sebastijan; Calafiore, Carmelo; Noppeney, Uta",Integration of audiovisual spatial signals is not consistent with maximum likelihood estimation,Cortex,0010-9452,10.1016/j.cortex.2019.03.026,http://www.sciencedirect.com/science/article/pii/S0010945219301583,"Multisensory perception is regarded as one of the most prominent examples where human behaviour conforms to the computational principles of maximum likelihood estimation (MLE). In particular, observers are thought to integrate auditory and visual spatial cues weighted in proportion to their relative sensory reliabilities into the most reliable and unbiased percept consistent with MLE. Yet, evidence to date has been inconsistent. The current pre-registered, large-scale (N = 36) replication study investigated the extent to which human behaviour for audiovisual localization is in line with maximum likelihood estimation. The acquired psychophysics data show that while observers were able to reduce their multisensory variance relative to the unisensory variances in accordance with MLE, they weighed the visual signals significantly stronger than predicted by MLE. Simulations show that this dissociation can be explained by a greater sensitivity of standard estimation procedures to detect deviations from MLE predictions for sensory weights than for audiovisual variances. Our results therefore suggest that observers did not integrate audiovisual spatial signals weighted exactly in proportion to their relative reliabilities for localization. These small deviations from the predictions of maximum likelihood estimation may be explained by observers' uncertainty about the world's causal structure as accounted for by Bayesian causal inference.",2019-10-01,2020-01-30T07:35:33Z,2020-01-30T07:39:52Z,2020-01-30T07:35:33Z,74-88,NA,119,Cortex,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\IU7W4VZI\Meijer et al. - 2019 - Integration of audiovisual spatial signals is not .pdf, C:\Users\Steve\Zotero\storage\DDD4PLI6\S0010945219301583.html,NA,Maximum likelihood estimation; Multisensory integration; Multisensory perception; Optimality; Spatial ventriloquism,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000446,C:\Users\Steve\Zotero\storage\IU7W4VZI\Meijer et al. - 2019 - Integration of audiovisual spatial signals is not .pdf,TRUE
B4WIR3ML,journalArticle,2019,"Ma, Anyi; Axt, Jordan; Kay, Aaron C.",A control-based account of stereotyping,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2019.103819,http://www.sciencedirect.com/science/article/pii/S0022103118303287,"Drawing from compensatory control theory, we propose that because stereotypes provide psychological assurance that the world is orderly and predictable, stereotyping should increase among those lacking control. Four studies support this control-based account of stereotyping: lower personal control, both measured (Studies 1 and 3) and manipulated (Study 2a and 2b), was associated with greater gender (Studies 1, 2a, and 2b) and occupational stereotyping (Study 3). Furthermore, the association between control and stereotyping was mediated by need for structure (Studies 2a, 2b, and 3). We also explore the moderating role of interdependent self-construal (Studies 1 to 3). These findings have implications for our understanding of when, why and to what end people stereotype others.",2019-09-01,2020-02-06T01:45:49Z,2020-02-10T11:45:25Z,2020-02-06T01:45:49Z,103819,NA,84,Journal of Experimental Social Psychology,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\MHK5R8HV\Ma et al. - 2019 - A control-based account of stereotyping.pdf, C:\Users\Steve\Zotero\storage\J9WYPFWI\S0022103118303287.html,NA,Stereotyping; Epistemic needs; Personal control,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000447,C:\Users\Steve\Zotero\storage\MHK5R8HV\Ma et al. - 2019 - A control-based account of stereotyping.pdf,TRUE
B4WYB2M2,journalArticle,2019,"Yousuf, Mushfa; Heldmann, Marcus; Münte, Thomas F.; Doñamayor, Nuria",Electrophysiology of goal-directed versus habitual control during outcome devaluation,Cortex,0010-9452,10.1016/j.cortex.2019.08.002,http://www.sciencedirect.com/science/article/pii/S0010945219302904,"Dual-system accounts posit that instrumental behavior is controlled by both a goal-directed and a habitual system. In this study, we aimed to identify the electrophysiological components associated with goal-directed versus habitual performance using an outcome devaluation procedure. Datasets from 35 healthy participants were analyzed. Behaviorally, in line with previous research, participants displayed sensitivity to outcome devaluation, a hallmark of goal-directed control. Electrophysiologically, decreased N2 and increased error-related negativity (ERN) amplitudes were associated with slips of action in conditions that could potentially engage both the goal-directed and habitual systems. These amplitude differences were more pronounced in participants that displayed more sensitivity to devaluation. Furthermore, we show how specific neurophysiological learning signals, namely ERN and feedback-locked P3, could predict subsequent sensitivity to devaluation. Our findings indicate that the N2 and ERN components can be used as indices of goal-directed versus habitual control, and emphasize the importance of the ERN as an electrophysiological trait in the context of goal-directed behavior.",2019-10-01,2020-01-30T07:36:35Z,2020-01-30T07:40:38Z,2020-01-30T07:36:35Z,401-416,NA,119,Cortex,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\YVQD5GRY\Yousuf et al. - 2019 - Electrophysiology of goal-directed versus habitual.pdf, C:\Users\Steve\Zotero\storage\P3ZVJ2ST\S0010945219302904.html,NA,Electroencephalography; Error-related negativity; Goal-directed behavior; Habitual behavior; N2,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000448,C:\Users\Steve\Zotero\storage\YVQD5GRY\Yousuf et al. - 2019 - Electrophysiology of goal-directed versus habitual.pdf,TRUE
B5AHH6AH,journalArticle,2017,"Carlsson, Rickard; Schimmack, Ulrich; Williams, Donald R.; Bürkner, Paul-Christian","Bayes Factors From Pooled Data Are No Substitute for Bayesian Meta-Analysis: Commentary on Scheibehenne, Jamil, and Wagenmakers (2016)",Psychological Science,0956-7976,10.1177/0956797616684682,https://doi.org/10.1177/0956797616684682,NA,2017-11-01,2018-03-19T23:58:38Z,2018-03-19T23:58:47Z,2018-03-19T23:58:38Z,1694-1697,11,28,Psychol Sci,Bayes Factors From Pooled Data Are No Substitute for Bayesian Meta-Analysis,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\4VRAE67H\Carlsson et al. - 2017 - Bayes Factors From Pooled Data Are No Substitute f.pdf,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000449,C:\Users\Steve\Zotero\storage\4VRAE67H\Carlsson et al. - 2017 - Bayes Factors From Pooled Data Are No Substitute f.pdf,TRUE
B5GAI8SN,journalArticle,2019,"Hotaling, Jared M.; Jarvstad, Andreas; Donkin, Chris; Newell, Ben R.",How to Change the Weight of Rare Events in Decisions From Experience,Psychological Science,0956-7976,10.1177/0956797619884324,https://doi.org/10.1177/0956797619884324,"When people make risky choices, two kinds of information are crucial: outcome values and outcome probabilities. Here, we demonstrate that the juncture at which value and probability information is provided has a fundamental effect on choice. Across four experiments involving 489 participants, we compared two decision-making scenarios: one in which value information was revealed during sampling (standard) and one in which value information was revealed after sampling (value ignorance). On average, participants made riskier choices when value information was provided after sampling. Moreover, parameter estimates from a hierarchical Bayesian implementation of cumulative-prospect theory suggested that participants overweighted rare events when value information was absent during sampling but did not overweight such events in the standard condition. This suggests that the impact of rare events on choice relies crucially on the timing of probability and value integration. We provide paths toward mechanistic explanations of our results based on frameworks that assume different underlying cognitive architectures.",2019-12-01,2020-01-29T06:45:08Z,2020-01-30T13:20:51Z,2020-01-29T06:45:08Z,1767-1779,12,30,Psychol Sci,NA,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\5MASS2MY\Hotaling et al. - 2019 - How to Change the Weight of Rare Events in Decisio.pdf,NA,NA,decision making; open data; open materials; preregistered; description–experience gap; hierarchical Bayesian modeling; cumulative-prospect theory; decisions from experience; sampling,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,a000450,C:\Users\Steve\Zotero\storage\5MASS2MY\Hotaling et al. - 2019 - How to Change the Weight of Rare Events in Decisio.pdf,TRUE
B6N782XF,journalArticle,2019,"Kikuchi, Yukiko; Kumar, Sukhbinder; Baumann, Simon; Overath, Tobias; Gander, Phillip E.; Sedley, William; Patterson, Roy D.; Petkov, Christopher I.; Griffiths, Timothy D.",The distribution and nature of responses to broadband sounds associated with pitch in the macaque auditory cortex,Cortex,0010-9452,10.1016/j.cortex.2019.07.005,http://www.sciencedirect.com/science/article/pii/S0010945219302606,"The organisation of pitch-perception mechanisms in the primate cortex is controversial, in that divergent results have been obtained, ranging from a single circumscribed ‘pitch centre’ to systems widely distributed across auditory cortex. Possible reasons for such discrepancies include different species, recording techniques, pitch stimuli, sampling of auditory fields, and the neural metrics recorded. In the present study, we sought to bridge some of these divisions by examining activity related to pitch in both neurons and neuronal ensembles within the auditory cortex of the rhesus macaque, a primate species with similar pitch perception and auditory cortical organisation to humans. We demonstrate similar responses, in primary and non-primary auditory cortex, to two different types of broadband pitch above the macaque lower limit in both neurons and local field potential (LFP) gamma oscillations. The majority of broadband pitch responses in neurons and LFP sites did not show equivalent tuning for sine tones.",2019-11-01,2020-01-30T07:54:54Z,2020-01-30T11:12:35Z,2020-01-30T07:54:53Z,340-352,NA,120,Cortex,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\82HCCCUN\Kikuchi et al. - 2019 - The distribution and nature of responses to broadb.pdf, C:\Users\Steve\Zotero\storage\KBE6IGCC\S0010945219302606.html,NA,Auditory cortex; Local field potentials; Pitch; Rhesus; Single neuron,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000452,C:\Users\Steve\Zotero\storage\82HCCCUN\Kikuchi et al. - 2019 - The distribution and nature of responses to broadb.pdf,TRUE
BCRK46RQ,journalArticle,2017,"Chatard, Armand; Bocage-Barthélémy, Yvana; Selimbegović, Leila; Guimond, Serge",The woman who wasn't there: Converging evidence that subliminal social comparison affects self-evaluation,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2017.05.005,http://www.sciencedirect.com/science/article/pii/S0022103116308447,"Although social comparison is often considered as an automatic process, the evidence in support of this idea is weak and inconclusive. In this paper, we reexamined the question of automaticity in social comparison by testing the hypothesis that subliminal social comparison affects explicit self-evaluations. In two high-powered experiments, young women were subliminally exposed (or not) to a high standard of comparison (media images of ultra-thin women). Next, they made explicit self-evaluations of their body appearance anxiety. Using both between-participants (Experiment 1) and within-participant (Experiment 2) designs, we found converging evidence that subliminal exposure to the thin ideal increases body appearance anxiety in women. Using Bayes factors as measures of evidence, the present experiments provided substantial (Experiment 1) and very strong (Experiment 2) evidence that social comparison takes place outside awareness and affects explicit self-evaluations. The present experiments can be easily replicated using a standardized procedure (replication script) that is publicly available on the Open Science Framework. We discuss how these findings contribute to reestablish confidence in the modern view of social comparison as an automatic process.",2017-11-01,2018-04-06T00:04:59Z,2018-04-06T00:05:16Z,2018-04-06T00:04:59Z,1-13,NA,73,Journal of Experimental Social Psychology,The woman who wasn't there,NA,NA,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\Z55R8IA2\Chatard et al. - 2017 - The woman who wasn't there Converging evidence th.pdf, C:\Users\Steve\Zotero\storage\BKVXPTAF\S0022103116308447.html,NA,Automatic processes; Body appearance anxiety; Explicit self-evaluations; Replication crisis; Subliminal social comparison; Thin-ideal,TRUE,TRUE,TRUE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000457,C:\Users\Steve\Zotero\storage\Z55R8IA2\Chatard et al. - 2017 - The woman who wasn't there Converging evidence th.pdf,TRUE
BE6INNFB,journalArticle,2018,"Le Mens, Gaël; Kovács, Balázs; Avrahami, Judith; Kareev, Yaakov",How Endogenous Crowd Formation Undermines the Wisdom of the Crowd in Online Ratings,Psychological Science,"0956-7976, 1467-9280",10.1177/0956797618775080,http://journals.sagepub.com/doi/10.1177/0956797618775080,"People frequently consult average ratings on online recommendation platforms before making consumption decisions. Research on the wisdom-of-the-crowd phenomenon suggests that average ratings provide unbiased quality estimates. Yet we argue that the process by which average ratings are updated creates a systematic bias. In analyses of more than 80 million online ratings, we found that items with high average ratings tend to attract more additional ratings than items with low average ratings. We call this asymmetry in how average ratings are updated endogenous crowd formation. Using computer simulations, we showed that it implies the emergence of a negative bias in average ratings. This bias affects items with few ratings particularly strongly, which leads to ranking mistakes. The average-rating rankings of items with few ratings are worse than their quality rankings. We found evidence for the predicted pattern of biases in an experiment and in analyses of large online-rating data sets.",2018-09,2019-04-06T18:26:53Z,2019-04-06T18:27:01Z,2019-04-06T18:26:53Z,1475-1490,9,29,NA,NA,NA,en,NA,Crossref,NA,NA,C:\Users\Steve\Zotero\storage\63TG6FBG\Le Mens e.a. - 2018 - How Endogenous Crowd Formation Undermines the Wisd.pdf,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000458,C:\Users\Steve\Zotero\storage\63TG6FBG\Le Mens e.a. - 2018 - How Endogenous Crowd Formation Undermines the Wisd.pdf,TRUE
BEMD3YF8,journalArticle,2018,"Vos, Johanna F. de; Schriefers, Herbert; Nivard, Michel G.; Lemhöfer, Kristin",A Meta-Analysis and Meta-Regression of Incidental Second Language Word Learning from Spoken Input,Language Learning,1467-9922,10.1111/lang.12296,https://onlinelibrary.wiley.com/doi/abs/10.1111/lang.12296,"We meta-analyzed the effectiveness of incidental second language word learning from spoken input. Our sample contained 105 effect sizes from 32 primary studies employing meaning-focused word-learning activities with 1,964 participants with typical cognitive functioning. The random-effects meta-analysis yielded a mean effect size of g = 1.05, reflecting generally large vocabulary gains from spoken input in meaning-focused activities. A meta-regression with three substantive and two methodological predictors also revealed that adult participants outperformed children in terms of word learning and that interactive learning tasks were more effective than noninteractive ones. Furthermore, learning scores were higher when measured with recognition than with recall tests. Methodologically, the use of a no-input control group seemed to protect against an overestimation of learning effects, evidenced by smaller effect sizes. Finally, whether a pretest–posttest design was used did not influence effect sizes. All data and the analysis script are publicly available. Open Practices This article has been awarded an Open Data badge. All data and the analysis script are publicly accessible via the Open Science Framework at https://osf.io/92vfw. Learn more about the Open Practices badges from the Center for Open Science: https://osf.io/tvyxz/wiki.",2018,2019-03-31T14:01:45Z,2019-03-31T14:02:02Z,2019-03-31T14:01:45Z,906-941,4,68,NA,NA,NA,en,"© 2018 The Authors. Language Learning published by Wiley Periodicals, Inc. on behalf of Language Learning Research Club, University of Michigan",Wiley Online Library,NA,NA,C:\Users\Steve\Zotero\storage\66TDWJ6X\Vos e.a. - 2018 - A Meta-Analysis and Meta-Regression of Incidental .pdf, C:\Users\Steve\Zotero\storage\2WEMDTHZ\lang.html,NA,meta-analysis; meta-regression; second language acquisition; age; incidental learning; mixed-effects model; word learning,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000460,C:\Users\Steve\Zotero\storage\66TDWJ6X\Vos e.a. - 2018 - A Meta-Analysis and Meta-Regression of Incidental .pdf,TRUE
BGTFUW95,journalArticle,2014,"Zhang, Ting; Kim, Tami; Brooks, Alison Wood; Gino, Francesca; Norton, Michael I.",A “Present” for the Future: The Unexpected Value of Rediscovery,Psychological Science,0956-7976,10.1177/0956797614542274,https://doi.org/10.1177/0956797614542274,"Although documenting everyday activities may seem trivial, four studies reveal                     that creating records of the present generates unexpected benefits by allowing                     future rediscoveries. In Study 1, we used a time-capsule paradigm to show that                     individuals underestimate the extent to which rediscovering experiences from the                     past will be curiosity provoking and interesting in the future. In Studies 2 and                     3, we found that people are particularly likely to underestimate the pleasure of                     rediscovering ordinary, mundane experiences, as opposed to extraordinary                     experiences. Finally, Study 4 demonstrates that underestimating the pleasure of                     rediscovery leads to time-inconsistent choices: Individuals forgo opportunities                     to document the present but then prefer rediscovering those moments in the                     future to engaging in an alternative fun activity. Underestimating the value of                     rediscovery is linked to people’s erroneous faith in their memory of everyday                     events. By documenting the present, people provide themselves with the                     opportunity to rediscover mundane moments that may otherwise have been                     forgotten.",2014-10-01,2018-03-21T00:16:57Z,2018-03-21T00:17:05Z,2018-03-21T00:16:57Z,1851-1860,10,25,Psychol Sci,A “Present” for the Future,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\D9HSHRP7\Zhang et al. - 2014 - A “Present” for the Future The Unexpected Value o.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000463,C:\Users\Steve\Zotero\storage\D9HSHRP7\Zhang et al. - 2014 - A “Present” for the Future The Unexpected Value o.pdf,TRUE
BH6C37DU,journalArticle,2017,"Brod, Garvin; Bunge, Silvia A.; Shing, Yee Lee",Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,Psychological Science,0956-7976,10.1177/0956797617699838,https://doi.org/10.1177/0956797617699838,"The “5-to-7-year shift” refers to the remarkable improvements observed in children’s cognitive abilities during this age range, particularly in their ability to exert control over their attention and behavior—that is, their executive functioning. As this shift coincides with school entry, the extent to which it is driven by brain maturation or by exposure to formal schooling is unclear. In this longitudinal study, we followed 5-year-olds born close to the official cutoff date for entry into first grade and compared those who subsequently entered first grade that year with those who remained in kindergarten, which is more play oriented. The first graders made larger improvements in accuracy on an executive-function test over the year than did the kindergartners. In an independent functional MRI task, we found that the first graders, compared with the kindergartners, exhibited a greater increase in activation of right posterior parietal cortex, a region previously implicated in sustained attention; increased activation in this region was correlated with the improvement in accuracy. These results reveal how the environmental context of formal schooling shapes brain mechanisms underlying improved focus on cognitively demanding tasks.",2017-07-01,2018-03-20T00:23:29Z,2018-03-20T00:23:50Z,2018-03-20T00:23:29Z,967-978,7,28,Psychol Sci,NA,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\YUS3ESCW\Brod et al. - 2017 - Does One Year of Schooling Improve Children’s Cogn.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000464,C:\Users\Steve\Zotero\storage\YUS3ESCW\Brod et al. - 2017 - Does One Year of Schooling Improve Children’s Cogn.pdf,TRUE
BH73I3DQ,journalArticle,2015,"Chen, Hui; Wyble, Brad",Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,0956-7976,10.1177/0956797614560648,https://doi.org/10.1177/0956797614560648,"People intuitively believe that when they become consciously aware of a visual stimulus, they will be able to remember it and immediately report it. The present study provides a series of striking demonstrations of behavior that is inconsistent with such an intuition. Four experiments showed that in certain conditions, participants could not report an attribute (e.g., letter identity) of a stimulus even when that attribute had been attended and had reached a full state of conscious awareness just prior to being questioned about it. We term this effect attribute amnesia, and it occurs when participants repeatedly locate a target using one attribute and are then unexpectedly asked to report that attribute. This discovery suggests that attention to and awareness of a stimulus attribute are insufficient to ensure its immediate reportability. These results imply that when attention is configured by using an attribute for target selection, that attribute will not necessarily be remembered.",2015-02-01,2018-03-20T05:04:04Z,2018-03-20T05:04:16Z,2018-03-20T05:04:04Z,203-210,2,26,Psychol Sci,Amnesia for Object Attributes,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\6S9HJLFI\Chen and Wyble - 2015 - Amnesia for Object Attributes Failure to Report A.pdf,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000465,C:\Users\Steve\Zotero\storage\6S9HJLFI\Chen and Wyble - 2015 - Amnesia for Object Attributes Failure to Report A.pdf,TRUE
