"batch_id","batch_date","study_id","Author","Publication Year","Title","Publication Title","DOI","pdf_filename"
"batch0915","2024-04-05","a001675","Roozenbeek, Jon; Freeman, Alexandra L. J.; Van Der Linden, Sander",2021,"How Accurate Are Accuracy-Nudge Interventions? A Preregistered Direct Replication of Pennycook et al. (2020)","Psychological Science","10.1177/09567976211024535","a001675.pdf"
"batch0915","2024-04-05","a001676","Liu, Xinyu; Engel, Stephen A.",2020,"Higher-Level Meta-Adaptation Mitigates Visual Distortions Produced by Lower-Level Adaptation","Psychological Science","10.1177/0956797620907090","a001676.pdf"
"batch0915","2024-04-05","a001677","Gamez-Djokic, Monica; Waytz, Adam",2020,"Concerns About Automation and Negative Sentiment Toward Immigration","Psychological Science","10.1177/0956797620929977","a001677.pdf"
"batch0915","2024-04-05","a001678","Jarvis, Shoshana N.; Ebersole, Charles R.; Nguyen, Christine Q.; Zhu, Minwan; Kray, Laura J.",2022,"Stepping Up to the Mic: Gender Gaps in Participation in Live Question-and-Answer Sessions at Academic Conferences","Psychological Science","10.1177/09567976221094036","a001678.pdf"
"batch0915","2024-04-05","a001679","Kelley, Timothy D.; McNeely, Debbie A.; Serra, Michael J.; Davis, Tyler",2021,"Delayed Judgments of Learning Are Associated With Activation of Information From Past Experiences: A Neurobiological Examination","Psychological Science","10.1177/0956797620958004","a001679.pdf"
"batch0915","2024-04-05","a001680","Jeong, Martha; Minson, Julia A.; Gino, Francesca",2020,"In Generous Offers I Trust: The Effect of First-Offer Value on Economically Vulnerable Behaviors","Psychological Science","10.1177/0956797620916705","a001680.pdf"
"batch0915","2024-04-05","a001682","Booker, Jordan A.; Ell, Mikayla; Fivush, Robyn; Greenhoot, Andrea Follmer; McLean, Kate C.; Wainryb, Cecilia; Pasupathi, Monisha",2022,"Early Impacts of College, Interrupted: Considering First-Year Students’ Narratives About COVID and Reports of Adjustment During College Shutdowns","Psychological Science","10.1177/09567976221108941","a001682.pdf"
"batch0915","2024-04-05","a001683","Wu, Sherry Jueyu; Cai, Xiqian",2023,"Adding Up Peer Beliefs: Experimental and Field Evidence on the Effect of Peer Influence on Math Performance","Psychological Science","10.1177/09567976231180881","a001683.pdf"
"batch0915","2024-04-05","a001685","Hu, Yang; Philippe, Rémi; Guigon, Valentin; Zhao, Sasa; Derrington, Edmund; Corgnet, Brice; Bonaiuto, James J.; Dreher, Jean-Claude",2022,"Perturbation of Right Dorsolateral Prefrontal Cortex Makes Power Holders Less Resistant to Tempting Bribes","Psychological Science","10.1177/09567976211042379","a001685.pdf"
"batch0915","2024-04-05","a001687","Zuniga-Montanez, Cecilia; Kita, Sotaro; Aussems, Suzanne; Krott, Andrea",2021,"Beyond the Shape of Things: Infants Can Be Taught to Generalize Nouns by Objects’ Functions","Psychological Science","10.1177/0956797621993107","a001687.pdf"
"batch0915","2024-04-05","a001691","Wang, Xiaosha; Bi, Yanchao",2021,"Idiosyncratic Tower of Babel: Individual Differences in Word-Meaning Representation Increase as Word Abstractness Increases","Psychological Science","10.1177/09567976211003877","a001691.pdf"
"batch0915","2024-04-05","a001692","Packard, Grant; Berger, Jonah",2020,"Thinking of You: How Second-Person Pronouns Shape Cultural Success","Psychological Science","10.1177/0956797620902380","a001692.pdf"
"batch0915","2024-04-05","a001693","Fazio, Lisa K.; Sherry, Carrie L.",2020,"The Effect of Repetition on Truth Judgments Across Development","Psychological Science","10.1177/0956797620939534","a001693.pdf"
"batch0915","2024-04-05","a001694","Walter, Kathryn V.; Conroy-Beam, Daniel; Buss, David M.; Asao, Kelly; Sorokowska, Agnieszka; Sorokowski, Piotr; Aavik, Toivo; Akello, Grace; Alhabahba, Mohammad Madallh; Alm, Charlotte; Amjad, Naumana; Anjum, Afifa; Atama, Chiemezie S.; Atamtürk Duyar, Derya; Ayebare, Richard; Batres, Carlota; Bendixen, Mons; Bensafia, Aicha; Bizumic, Boris; Boussena, Mahmoud; Butovskaya, Marina; Can, Seda; Cantarero, Katarzyna; Carrier, Antonin; Cetinkaya, Hakan; Croy, Ilona; Cueto, Rosa María; Czub, Marcin; Dronova, Daria; Dural, Seda; Duyar, Izzet; Ertugrul, Berna; Espinosa, Agustín; Estevan, Ignacio; Esteves, Carla Sofia; Fang, Luxi; Frackowiak, Tomasz; Garduño, Jorge Contreras; González, Karina Ugalde; Guemaz, Farida; Gyuris, Petra; Halamová, Mária; Herak, Iskra; Horvat, Marina; Hromatko, Ivana; Hui, Chin-Ming; Jaafar, Jas Laile; Jiang, Feng; Kafetsios, Konstantinos; Kavčič, Tina; Kennair, Leif Edward Ottesen; Kervyn, Nicolas; Khanh Ha, Truong Thi; Khilji, Imran Ahmed; Köbis, Nils C.; Lan, Hoang Moc; Láng, András; Lennard, Georgina R.; León, Ernesto; Lindholm, Torun; Linh, Trinh Thi; Lopez, Giulia; Van Luot, Nguyen; Mailhos, Alvaro; Manesi, Zoi; Martinez, Rocio; McKerchar, Sarah L.; Meskó, Norbert; Misra, Girishwar; Monaghan, Conal; Mora, Emanuel C.; Moya-Garófano, Alba; Musil, Bojan; Natividade, Jean Carlos; Niemczyk, Agnieszka; Nizharadze, George; Oberzaucher, Elisabeth; Oleszkiewicz, Anna; Omar-Fauzee, Mohd Sofian; Onyishi, Ike E.; Özener, Baris; Pagani, Ariela Francesca; Pakalniskiene, Vilmante; Parise, Miriam; Pazhoohi, Farid; Pisanski, Annette; Pisanski, Katarzyna; Ponciano, Edna; Popa, Camelia; Prokop, Pavol; Rizwan, Muhammad; Sainz, Mario; Salkičević, Svjetlana; Sargautyte, Ruta; Sarmány-Schuller, Ivan; Schmehl, Susanne; Sharad, Shivantika; Siddiqui, Razi Sultan; Simonetti, Franco; Stoyanova, Stanislava Yordanova; Tadinac, Meri; Varella, Marco Antonio Correa; Vauclair, Christin-Melanie; Vega, Luis Diego; Widarini, Dwi Ajeng; Yoo, Gyesook; Zat’ková, Marta; Zupančič, Maja",2020,"Sex Differences in Mate Preferences Across 45 Countries: A Large-Scale Replication","Psychological Science","10.1177/0956797620904154","a001694.pdf"
"batch0915","2024-04-05","a001695","Burgoyne, Alexander P.; Hambrick, David Z.; Macnamara, Brooke N.",2020,"How Firm Are the Foundations of Mind-Set Theory? The Claims Appear Stronger Than the Evidence","Psychological Science","10.1177/0956797619897588","a001695.pdf"
"batch0915","2024-04-05","a001696","Wardell, Victoria; Jameson, Taylyn; Bontkes, Oliver J. R.; Le, M. Lindy; Duan, Tz-yu; St. Jacques, Peggy L.; Madan, Christopher R.; Palombo, Daniela J.",2023,"Fade In, Fade Out: Do Shifts in Visual Perspective Predict the Consistency of Real-World Memories?","Psychological Science","10.1177/09567976231180588","a001696.pdf"
"batch0915","2024-04-05","a001697","Silver, Alex M.; Stahl, Aimee E.; Loiotile, Rita; Smith-Flores, Alexis S.; Feigenson, Lisa",2020,"When Not Choosing Leads to Not Liking: Choice-Induced Preference in Infancy","Psychological Science","10.1177/0956797620954491","a001697.pdf"
"batch0915","2024-04-05","a001698","Markey, Patrick M.; Feeney, Erika; Berry, Brooke; Hopkins, Lauren; Creedon, Isabel",2022,"Deception Cues During High-Risk Situations: 911 Homicide Calls","Psychological Science","10.1177/09567976221077216","a001698.pdf"
"batch0915","2024-04-05","a001699","Prochazka, Jakub; Parilakova, Katarina; Rudolf, Patrik; Bruk, Vojtech; Jungwirthova, Rut; Fejtova, Sara; Masaryk, Radomir; Vaculik, Martin",2022,"Pain as Social Glue: A Preregistered Direct Replication of Experiment 2 of Bastian et al. (2014)","Psychological Science","10.1177/09567976211040745","a001699.pdf"
"batch0915","2024-04-05","a001702","Koranda, Mark J.; Zettersten, Martin; MacDonald, Maryellen C.",2022,"Good-Enough Production: Selecting Easier Words Instead of More Accurate Ones","Psychological Science","10.1177/09567976221089603","a001702.pdf"
"batch0915","2024-04-05","a001703","Rhoads, Shawn A.; Gunter, Devon; Ryan, Rebecca M.; Marsh, Abigail A.",2021,"Global Variation in Subjective Well-Being Predicts Seven Forms of Altruism","Psychological Science","10.1177/0956797621994767","a001703.pdf"
"batch0915","2024-04-05","a001707","Illingworth, David A.; Thomas, Rick P.",2022,"Strength of Belief Guides Information Foraging","Psychological Science","10.1177/09567976211043425","a001707.pdf"
"batch0915","2024-04-05","a001708","Heck, Daniel W.; Thielmann, Isabel; Klein, Sina A.; Hilbig, Benjamin E.",2020,"On the Limited Generality of Air Pollution and Anxiety as Causal Determinants of Unethical Behavior: Commentary on Lu, Lee, Gino, and Galinsky (2018)","Psychological Science","10.1177/0956797619866627","a001708.pdf"
"batch0915","2024-04-05","a001709","Chanales, Avi J. H.; Tremblay-McGaw, Alexandra G.; Drascher, Maxwell L.; Kuhl, Brice A.",2021,"Adaptive Repulsion of Long-Term Memory Representations Is Triggered by Event Similarity","Psychological Science","10.1177/0956797620972490","a001709.pdf"
"batch0915","2024-04-05","a001710","O’Mara Kunz, Erin M.; Howell, Jennifer L.; Beasley, Nicole",2023,"Surviving Racism and Sexism: What Votes in the Television Program <i>Survivor</i> Reveal About Discrimination","Psychological Science","10.1177/09567976231165665","a001710.pdf"
"batch0915","2024-04-05","a001711","Gatti, Daniele; Marelli, Marco; Vecchi, Tomaso; Rinaldi, Luca",2022,"Spatial Representations Without Spatial Computations","Psychological Science","10.1177/09567976221094863","a001711.pdf"
"batch0915","2024-04-05","a001712","Vlasceanu, Madalina; Morais, Michael J.; Coman, Alin",2021,"The Effect of Prediction Error on Belief Update Across the Political Spectrum","Psychological Science","10.1177/0956797621995208","a001712.pdf"
"batch0915","2024-04-05","a001713","Amer, Tarek; Ngo, K. W. Joan; Weeks, Jennifer C.; Hasher, Lynn",2020,"Spontaneous Distractor Reactivation With Age: Evidence for Bound Target-Distractor Representations in Memory","Psychological Science","10.1177/0956797620951125","a001713.pdf"
"batch0915","2024-04-05","a001714","Malter, Maayan S.; Kim, Sonia S.; Metcalfe, Janet",2021,"Feelings of Culpability: Just Following Orders Versus Making the Decision Oneself","Psychological Science","10.1177/09567976211002821","a001714.pdf"
"batch0915","2024-04-05","a001715","Bastos, Amalia P. M.; Neilands, Patrick D.; Hassall, Rebecca S.; Lim, Byung C.; Taylor, Alex H.",2021,"Dogs Mentally Represent Jealousy-Inducing Social Interactions","Psychological Science","10.1177/0956797620979149","a001715.pdf"
"batch0915","2024-04-05","a001716","Davis, Charles P.; Joergensen, Gitte H.; Boddy, Peter; Dowling, Caitlin; Yee, Eiling",2020,"Making It Harder to “See” Meaning: The More You See Something, the More Its Conceptual Representation Is Susceptible to Visual Interference","Psychological Science","10.1177/0956797620910748","a001716.pdf"
"batch0915","2024-04-05","a001718","Landry, Mathieu; Da Silva Castanheira, Jason; Sackur, Jérôme; Raz, Amir",2021,"Difficult Turned Easy: Suggestion Renders a Challenging Visual Task Simple","Psychological Science","10.1177/0956797620954856","a001718.pdf"
"batch0915","2024-04-05","a001719","Girard, Cléa; Bastelica, Thomas; Léone, Jessica; Epinat-Duclos, Justine; Longo, Léa; Prado, Jérôme",2022,"Nurturing the Mathematical Brain: Home Numeracy Practices Are Associated With Children’s Neural Responses to Arabic Numerals","Psychological Science","10.1177/09567976211034498","a001719.pdf"
"batch0915","2024-04-05","a001720","Moty, Kelsey; Rhodes, Marjorie",2021,"The Unintended Consequences of the Things We Say: What Generic Statements Communicate to Children About Unmentioned Categories","Psychological Science","10.1177/0956797620953132","a001720.pdf"
"batch0915","2024-04-05","a001722","Poulin, Michael J.; Ministero, Lauren M.; Gabriel, Shira; Morrison, C. Dale; Naidu, Esha",2021,"Minding Your Own Business? Mindfulness Decreases Prosocial Behavior for People With Independent Self-Construals","Psychological Science","10.1177/09567976211015184","a001722.pdf"
"batch0915","2024-04-05","a001724","Bauer, Christina A.; Boemelburg, Raphael; Walton, Gregory M.",2021,"Resourceful Actors, Not Weak Victims: Reframing Refugees’ Stigmatized Identity Enhances Long-Term Academic Engagement","Psychological Science","10.1177/09567976211028978","a001724.pdf"
"batch0915","2024-04-05","a001725","Romero Verdugo, Patricia; Van Lieshout, Lieke L. F.; De Lange, Floris P.; Cools, Roshan",2023,"Choice Boosts Curiosity","Psychological Science","10.1177/09567976221082637","a001725.pdf"
"batch0915","2024-04-05","a001727","Ziano, Ignazio; Koc, Yasin",2023,"Prototypes of People With Depression","Psychological Science","10.1177/09567976231204035","a001727.pdf"
"batch0915","2024-04-05","a001728","Azevedo, Ruben T.; Von Mohr, Mariana; Tsakiris, Manos",2023,"From the Viscera to First Impressions: Phase-Dependent Cardio-Visual Signals Bias the Perceived Trustworthiness of Faces","Psychological Science","10.1177/09567976221131519","a001728.pdf"
"batch0915","2024-04-05","a001729","Ma, Xiaojin; Abrams, Richard A.",2023,"Visual Distraction’s “Silver Lining”: Distractor Suppression Boosts Attention to Competing Stimuli","Psychological Science","10.1177/09567976231201853","a001729.pdf"
"batch0915","2024-04-05","a001730","Ward, Emma V.; Berry, Christopher J.; Shanks, David R.; Moller, Petter L.; Czsiser, Enida",2020,"Aging Predicts Decline in Explicit and Implicit Memory: A Life-Span Study","Psychological Science","10.1177/0956797620927648","a001730.pdf"
"batch0915","2024-04-05","a001733","Clark, Cory J.; Winegard, Bo M.; Beardslee, Jordan; Baumeister, Roy F.; Shariff, Azim F.",2020,"RETRACTED: Declines in Religiosity Predict Increases in Violent Crime—but Not Among Countries With Relatively High Average IQ","Psychological Science","10.1177/0956797619897915","a001733.pdf"
"batch0915","2024-04-05","a001734","Aguilar-Lleyda, David; Lemarchand, Maxime; De Gardelle, Vincent",2020,"Confidence as a Priority Signal","Psychological Science","10.1177/0956797620925039","a001734.pdf"
"batch0915","2024-04-05","a001735","Palombo, Daniela J.; Te, Alessandra A.; Checknita, Katherine J.; Madan, Christopher R.",2021,"Exploring the Facets of Emotional Episodic Memory: Remembering “What,” “When,” and “Which”","Psychological Science","10.1177/0956797621991548","a001735.pdf"
"batch0915","2024-04-05","a001736","Keitel, Christian; Obleser, Jonas; Jessen, Sarah; Henry, Molly J.",2021,"Frequency-Specific Effects in Infant Electroencephalograms Do Not Require Entrained Neural Oscillations: A Commentary on Köster et al. (2019)","Psychological Science","10.1177/09567976211001317","a001736.pdf"
"batch0915","2024-04-05","a001738","Ma, Fengling; Zeng, Dan; Xu, Fen; Compton, Brian J.; Heyman, Gail D.",2020,"Delay of Gratification as Reputation Management","Psychological Science","10.1177/0956797620939940","a001738.pdf"
"batch0915","2024-04-05","a001739","Knight, Erik L.; McShane, Blakeley B.; Kutlikova, Hana H.; Morales, Pablo J.; Christian, Colton B.; Harbaugh, William T.; Mayr, Ulrich; Ortiz, Triana L.; Gilbert, Kimberly; Ma-Kellams, Christine; Riečanský, Igor; Watson, Neil V.; Eisenegger, Christoph; Lamm, Claus; Mehta, Pranjal H.; Carré, Justin M.",2020,"Weak and Variable Effects of Exogenous Testosterone on Cognitive Reflection Test Performance in Three Experiments: Commentary on Nave, Nadler, Zava, and Camerer (2017)","Psychological Science","10.1177/0956797619885607","a001739.pdf"
"batch0915","2024-04-05","a001742","Koca, Yaren; Oriet, Chris",2023,"From Pictures to the People in Them: Averaging Within-Person Variability Leads to Face Familiarization","Psychological Science","10.1177/09567976221131520","a001742.pdf"
"batch0915","2024-04-05","a001743","Michelmann, Sebastian; Hasson, Uri; Norman, Kenneth A.",2023,"Evidence That Event Boundaries Are Access Points for Memory Retrieval","Psychological Science","10.1177/09567976221128206","a001743.pdf"
"batch0915","2024-04-05","a001744","Moran, Tal; Hughes, Sean; Hussey, Ian; Vadillo, Miguel A.; Olson, Michael A.; Aust, Frederik; Bading, Karoline; Balas, Robert; Benedict, Taylor; Corneille, Olivier; Douglas, Samantha B.; Ferguson, Melissa J.; Fritzlen, Katherine A.; Gast, Anne; Gawronski, Bertram; Giménez-Fernández, Tamara; Hanusz, Krzysztof; Heycke, Tobias; Högden, Fabia; Hütter, Mandy; Kurdi, Benedek; Mierop, Adrien; Richter, Jasmin; Sarzyńska-Wawer, Justyna; Smith, Colin Tucker; Stahl, Christoph; Thomasius, Philine; Unkelbach, Christian; De Houwer, Jan",2021,"Incidental Attitude Formation via the Surveillance Task: A Preregistered Replication of the Olson and Fazio (2001) Study","Psychological Science","10.1177/0956797620968526","a001744.pdf"
"batch0915","2024-04-05","a001745","Crüwell, Sophia; Apthorp, Deborah; Baker, Bradley J.; Colling, Lincoln; Elson, Malte; Geiger, Sandra J.; Lobentanzer, Sebastian; Monéger, Jean; Patterson, Alex; Schwarzkopf, D. Samuel; Zaneva, Mirela; Brown, Nicholas J. L.",2023,"What’s in a Badge? A Computational Reproducibility Investigation of the Open Data Badge Policy in One Issue of <i>Psychological Science</i>","Psychological Science","10.1177/09567976221140828","a001745.pdf"
"batch0915","2024-04-05","a001747","Yang, Jia; Yan, Fang-Fang; Chen, Lijun; Fan, Shuhan; Wu, Yifan; Jiang, Lei; Xi, Jie; Zhao, Junlei; Zhang, Yudong; Lu, Zhong-Lin; Huang, Chang-Bing",2022,"Identifying Long- and Short-Term Processes in Perceptual Learning","Psychological Science","10.1177/09567976211056620","a001747.pdf"
"batch0915","2024-04-05","a001748","Ho, Mark K.; Cohen, Jonathan D.; Griffiths, Thomas L.",2023,"Rational Simplification and Rigidity in Human Planning","Psychological Science","10.1177/09567976231200547","a001748.pdf"
"batch0915","2024-04-05","a001751","DeCelles, Katherine A.; Adams, Gabrielle S.; Howe, Holly S.; John, Leslie K.",2021,"Anger Damns the Innocent","Psychological Science","10.1177/0956797621994770","a001751.pdf"
"batch0915","2024-04-05","a001752","Kunz, Sonja; Haasova, Simona; Pivecka, Niklas; Schmidt, Justus; Florack, Arnd",2023,"Food Is All Around: How Contexts Create Misbeliefs About the Health–Taste Relationship","Psychological Science","10.1177/09567976231158288","a001752.pdf"
"batch0915","2024-04-05","a001753","Vaughan-Johnston, Thomas I.; Jacobson, Jill A.; Prosserman, Alex; Sanders, Emily",2021,"Mind-Body Practices and Self-Enhancement: Direct Replications of Gebauer et al.’s (2018) Experiments 1 and 2","Psychological Science","10.1177/0956797621997366","a001753.pdf"
"batch0915","2024-04-05","a001755","Belmi, Peter; Jun, Sora; Adams, Gabrielle S.",2022,"The “Equal-Opportunity Jerk” Defense: Rudeness Can Obfuscate Gender Bias","Psychological Science","10.1177/09567976211040495","a001755.pdf"
"batch0915","2024-04-05","a001757","Quoidbach, Jordi; Dercon, Quentin; Taquet, Maxime; Desseilles, Martin; De Montjoye, Yves-Alexandre; Gross, James J.",2021,"Happiness and the Propensity to Interact With Other People: Reply to Elmer (2021)","Psychological Science","10.1177/09567976211012673","a001757.pdf"
"batch0915","2024-04-05","a001759","Lojowska, Maria; Gross, Jörg; De Dreu, Carsten K. W.",2023,"Anticipatory Threat Mitigates the Breakdown of Group Cooperation","Psychological Science","10.1177/09567976221104037","a001759.pdf"
"batch0915","2024-04-05","a001762","Fukuda, Keisuke; Pereira, April E.; Saito, Joseph M.; Tang, Ty Y.; Tsubomi, Hiroyuki; Bae, Gi-Yeul",2022,"Working Memory Content Is Distorted by Its Use in Perceptual Comparisons","Psychological Science","10.1177/09567976211055375","a001762.pdf"
"batch0915","2024-04-05","a001763","Battal, Ceren; Occelli, Valeria; Bertonati, Giorgia; Falagiarda, Federica; Collignon, Olivier",2020,"General Enhancement of Spatial Hearing in Congenitally Blind People","Psychological Science","10.1177/0956797620935584","a001763.pdf"
"batch0915","2024-04-05","a001767","Walton, Gregory M.; Okonofua, Jason A.; Remington Cunningham, Kathleen; Hurst, Daniel; Pinedo, Andres; Weitz, Elizabeth; Ospina, Juan P.; Tate, Hattie; Eberhardt, Jennifer L.",2021,"Lifting the Bar: A Relationship-Orienting Intervention Reduces Recidivism Among Children Reentering School From Juvenile Detention","Psychological Science","10.1177/09567976211013801","a001767.pdf"
"batch0915","2024-04-05","a001768","Pennycook, Gordon; McPhetres, Jonathon; Zhang, Yunhao; Lu, Jackson G.; Rand, David G.",2020,"Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention","Psychological Science","10.1177/0956797620939054","a001768.pdf"
"batch0915","2024-04-05","a001769","Bohn, Manuel; Kordt, Clara; Braun, Maren; Call, Josep; Tomasello, Michael",2020,"Learning Novel Skills From Iconic Gestures: A Developmental and Evolutionary Perspective","Psychological Science","10.1177/0956797620921519","a001769.pdf"
"batch0915","2024-04-05","a001770","Doan, Tiffany; Friedman, Ori; Denison, Stephanie",2020,"Young Children Use Probability to Infer Happiness and the Quality of Outcomes","Psychological Science","10.1177/0956797619895282","a001770.pdf"
"batch0915","2024-04-05","a001771","Malik-Moraleda, Saima; Mahowald, Kyle; Conway, Bevil R.; Gibson, Edward",2023,"Concepts Are Restructured During Language Contact: The Birth of Blue and Other Color Concepts in Tsimane’-Spanish Bilinguals","Psychological Science","10.1177/09567976231199742","a001771.pdf"
"batch0915","2024-04-05","a001772","Garcia-Rada, Ximena; Kim, Tami",2021,"Shared Time Scarcity and the Pursuit of Extraordinary Experiences","Psychological Science","10.1177/09567976211026981","a001772.pdf"
"batch0915","2024-04-05","a001773","De Jong, Joost; Van Rijn, Hedderik; Akyürek, Elkan G.",2023,"Adaptive Encoding Speed in Working Memory","Psychological Science","10.1177/09567976231173902","a001773.pdf"
"batch0915","2024-04-05","a001774","Stelter, Marleen; Essien, Iniobong; Sander, Carsten; Degner, Juliane",2022,"Racial Bias in Police Traffic Stops: White Residents’ County-Level Prejudice and Stereotypes Are Related to Disproportionate Stopping of Black Drivers","Psychological Science","10.1177/09567976211051272","a001774.pdf"
"batch0915","2024-04-05","a001775","Theobald, Maria; Breitwieser, Jasmin; Brod, Garvin",2022,"Test Anxiety Does Not Predict Exam Performance When Knowledge Is Controlled For: Strong Evidence Against the Interference Hypothesis of Test Anxiety","Psychological Science","10.1177/09567976221119391","a001775.pdf"
"batch0915","2024-04-05","a001776","Chen, Fan Xuan; Zhang, Xinyu; Laustsen, Lasse; Cheng, Joey T.",2021,"Harsh but Expedient: Dominant Leaders Increase Group Cooperation via Threat of Punishment","Psychological Science","10.1177/09567976211031208","a001776.pdf"
"batch0915","2024-04-05","a001778","Biderman, Dan; Shir, Yarden; Mudrik, Liad",2020,"B or 13? Unconscious Top-Down Contextual Effects at the Categorical but Not the Lexical Level","Psychological Science","10.1177/0956797620915887","a001778.pdf"
"batch0915","2024-04-05","a001779","Korisky, Uri; Mudrik, Liad",2021,"Dimensions of Perception: 3D Real-Life Objects Are More Readily Detected Than Their 2D Images","Psychological Science","10.1177/09567976211010718","a001779.pdf"
"batch0915","2024-04-05","a001780","Yemiscigil, Ayse; Powdthavee, Nattavudh; Whillans, Ashley V.",2021,"The Effects of Retirement on Sense of Purpose in Life: Crisis or Opportunity?","Psychological Science","10.1177/09567976211024248","a001780.pdf"
"batch0915","2024-04-05","a001781","Hester, Neil; Xie, Sally Y.; Hehman, Eric",2021,"Little Between-Region and Between-Country Variance When People Form Impressions of Others","Psychological Science","10.1177/09567976211019950","a001781.pdf"
"batch0915","2024-04-05","a001784","Little, Patrick C.; Firestone, Chaz",2021,"Physically Implied Surfaces","Psychological Science","10.1177/0956797620939942","a001784.pdf"
"batch0915","2024-04-05","a001785","Hafri, Alon; Wadhwa, Shreya; Bonner, Michael F.",2022,"Perceived Distance Alters Memory for Scene Boundaries","Psychological Science","10.1177/09567976221093575","a001785.pdf"
"batch0915","2024-04-05","a001787","Hartmann, Helena; Forbes, Paul A. G.; Rütgen, Markus; Lamm, Claus",2022,"Placebo Analgesia Reduces Costly Prosocial Helping to Lower Another Person’s Pain","Psychological Science","10.1177/09567976221119727","a001787.pdf"
"batch0915","2024-04-05","a001789","Santos, Luiza A.; Voelkel, Jan G.; Willer, Robb; Zaki, Jamil",2022,"Belief in the Utility of Cross-Partisan Empathy Reduces Partisan Animosity and Facilitates Political Persuasion","Psychological Science","10.1177/09567976221098594","a001789.pdf"
"batch0915","2024-04-05","a001791","McManus, Ryan M.; Kleiman-Weiner, Max; Young, Liane",2020,"What We Owe to Family: The Impact of Special Obligations on Moral Judgment","Psychological Science","10.1177/0956797619900321","a001791.pdf"
"batch0915","2024-04-05","a001792","He, Joyce C.; Côté, Stéphane",2023,"Are Empathic People Better Adjusted? A Test of Competing Models of Empathic Accuracy and Intrapersonal and Interpersonal Facets of Adjustment Using Self- and Peer Reports","Psychological Science","10.1177/09567976231185127","a001792.pdf"
"batch0915","2024-04-05","a001793","Jana, Sumitash; Aron, Adam R.",2022,"Mind Wandering Impedes Response Inhibition by Affecting the Triggering of the Inhibitory Process","Psychological Science","10.1177/09567976211055371","a001793.pdf"
