article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
,,,,,,,,,,2,https://osf.io/x8rnq/,yes,,https://osf.io/x8rnq/,yes,,OSF,other,"Yes, but files are being checked out by the creator (so may not be up to date)",yes,,One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made,
a000046,Michelle,2020-04-03,yes,,yes,,yes,,1,1,http://osf.io/dkqfn,yes,,https://osf.io/dkqfn/,yes,,OSF,yes,,other,File size exceed 100MB,Data not downloaded as file was too big,
a000081,Michelle,2020-04-03,yes,,yes,,yes,,4,1,https://osf.io/x7pgq/,yes,,https://osf.io/x7pgq/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,2,https://osf.io/q9jy3/,yes,,https://osf.io/q9jy3/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,3,https://osf.io/cdev3/,yes,,https://osf.io/cdev3/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,4,https://osf.io/uj2dr/,yes,,https://osf.io/uj2dr/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000138,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://doi.org/10.21985/N2VR0V,yes,,https://arch.library.northwestern.edu/concern/generic_works/8336h212d,yes,,NORTHWESTERN,yes,,yes,,I didn't have any problems with this article,
a000153,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/du9ws/,yes,,https://osf.io/du9ws/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000208,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/3c4ue/,yes,,https://osf.io/3c4ue/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000233,Michelle,2020-04-03,yes,,no,,no,,0,,,,,,,,,,,,,,
a000251,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/k5b7a/,yes,,https://osf.io/k5b7a/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000288,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/3hu8m/,yes,,https://osf.io/3hu8m/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000311,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/du5jc/,yes,,https://osf.io/du5jc/,yes,,OSF,yes,,other,1/2 of the files exceed 100MB,One file not downloaded as file size was too big,
a000337,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/RW10GZ.,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RW10GZ,yes,,HARVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000378,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/b9mnr,yes,,https://osf.io/b9mnr,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000440,Michelle,2020-04-03,yes,,yes,,no,,0,,,,,,,,,,,,,Text says open data can be accessed online but no link specified,
a000510,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/n6d9f/,yes,,https://osf.io/n6d9f/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000516,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/p778t,yes,,https://osf.io/p778t,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000530,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/zf4tj/,yes,,https://osf.io/zf4tj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000559,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:932233,yes,,https://www.iris-database.org/iris/app/home/detail?id=york:932233,yes,,IRIS,yes,,yes,,I didn't have any problems with this article,
a000616,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/am5nh/,yes,,https://osf.io/am5nh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000643,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/jxad3/,yes,,https://osf.io/jxad3,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000745,Michelle,2020-04-03,yes,,yes,,yes,,1,1,osf.io/uqg5m/#,yes,,https://osf.io/uqg5m/#,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000801,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/28ejf/,yes,,https://osf.io/28ejf/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000840,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/jqkg7/#,yes,,https://osf.io/jqkg7/,yes,,OSF,yes,,other,File size exceeds 100MB,Data not downloaded as file was too big,
a000961,Michelle,2020-04-03,yes,,yes,,yes,,1,1,http://osf.io/zwrxc/,yes,,https://osf.io/zwrxc,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000966,Michelle,2020-04-06,yes,,yes,,yes,,1,1,osf.io/hr7vx,yes,,https://osf.io/hr7vx/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://www.sciencedirect.com/science/article/abs/pii/S0092656617301083?via%3Dihub",
a001040,Michelle,2020-04-06,yes,,yes,,yes,,1,1,osf.io/yw7d9,yes,,https://osf.io/yw7d9/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001083,Michelle,2020-04-06,yes,,yes,,yes,,2,1,https://doi.org/10.3886/ICPSR04652.v7,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/7,yes,,NACDA,yes,,other,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",
,,,,,,,,,,2,https://doi.org/10.3886/ICPSR36346.v7,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/36346/versions/V7,yes,,NACDA,yes,,other,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",
a001124,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/r35tf/,yes,,https://osf.io/r35tf/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jrp.2019.06.003.",
a001134,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/e5r6f,yes,  ,https://osf.io/e5r6f,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001148,Michelle,2020-04-06,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/WKJJ3Z,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WKJJ3Z,yes,,HAVARD DATAVERSE,yes,,no,,"Tried downloading, but it gets to around 866KB and doesn't download any further",
a001257,Michelle,2020-04-06,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/VT4KJA.,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VT4KJA,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001258,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/c5bmm/,yes,,https://osf.io/c5bmm/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001264,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/5kbx6/,yes,,https://osf.io/5kbx6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001317,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/j25fh/,yes,,https://osf.io/j25fh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001425,Michelle,2020-04-06,yes,,yes,,yes,,2,1,osf.io/t7jjk,yes,,https://osf.io/t7jjk/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,2,http://www.oecd.org/pisa/data/2015database/,yes,,http://www.oecd.org/pisa/data/2015database/,yes,,OECD,yes,,other,Did not download as there were 22 separate files and some were over 100 MB,"Did not download all files, but downloaded files from first link",
a001428,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/8eqtc,yes,,https://osf.io/8eqtc/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001430,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id= S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76- 0023d5b2081a,yes,,https://data.mendeley.com/,yes,,MENDELEY,other,"Directed to home page, appears that login is required to access data",no,,"Need to login to access data, and there was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.01.007",
a001558,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/4awze,yes,,https://osf.io/4awze/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001609,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/AGIMGY,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AGIMGY,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001613,Michelle,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/4m2bq/,yes,,https://osf.io/4m2bq/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000017,Michelle,2020-04-07,yes,,yes,,yes,,1,1,osf.io/yw9us,yes,,https://osf.io/yw9us/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000042,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000088,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/6u4wh,yes,,https://osf.io/6u4wh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000099,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/4dau5/,yes,,https://osf.io/4dau5/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000104,Michelle,2020-04-07,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/kenswan,yes,,https://dataverse.harvard.edu/dataverse/kenswan,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000108,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://doi.org/10.5061/dryad.cn20jv8,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.cn20jv8,yes,,DRYAD,yes,,yes,,I didn't have any problems with this article,
a000228,Michelle,2020-04-07,yes,,yes,,yes,,2,1,https://osf.io/8juyc/,yes,,https://osf.io/8juyc/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,2,https://osf.io/7wfxj/,yes,,https://osf.io/7wfxj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000230,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/gq7z2,yes,,https://osf.io/gq7z2,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000264,Michelle,2020-04-07,yes,,yes,,yes,,1,1,osf.io/kszge,yes,,https://osf.io/kszge/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000282,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/szvxd/,yes,,https://osf.io/szvxd/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000317,Michelle,2020-04-07,yes,,yes,,yes,,1,1,http://osf.io/fsadm/,yes,,https://osf.io/fsadm/,yes,,OSF,yes,,other,"All but one of the files are downloaded, as the file size exceed 100MB",One file not downloaded as size too big,
a000335,Michelle,2020-04-07,yes,,yes,,yes,,1,1,osf.io/6fgnq,yes,,https://osf.io/6fgnq/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000342,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/xyh24/,yes,,https://osf.io/xyh24/,yes,,OSF,yes,,yes,,"There was links to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data links: https://doi.org/10.1016/j.jesp.2017.09.008 and https://osf.io/xyh24/ ",
a000350,Michelle,2020-04-07,yes,,yes,,yes,,1,1,osf.io/5gtyv,yes,,https://osf.io/5gtyv/,yes,,OSF,yes,,yes,,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2019.04.010",
a000357,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/2jme8/,yes,,https://osf.io/2jme8/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000412,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/fzmsa/,yes,,https://osf.io/fzmsa/,yes,,OSF,yes,,yes,,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2019.103855",
a000484,Michelle,2020-04-07,yes,,other,"Does not explicitly have a statement saying data is available, but there is a the text 'Open Data' with a hyperlink",yes,,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,,UNI HAMBURG,yes,,yes,,"No explicit statement saying data was available, but hyperlinks existed that linked to a site where data could be downloaded",
a000502,Michelle,2020-04-07,yes,,yes,,yes,,2,1,http://osf.io/5itqa,yes,,https://osf.io/5itqa,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,http://osf.io/8q769,yes,,https://osf.io/8q769,yes,,OSF,yes,,yes,,,
a000515,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/7bujx/,yes,,https://osf.io/7bujx/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000529,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/SSEN5A,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SSEN5A,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000731,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/m7sdz/,yes,,https://osf.io/m7sdz,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000797,Michelle,2020-04-07,yes,,yes,,yes,,2,1,https://osf.io/hymkc,yes,,https://osf.io/hymkc/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,2,10.17605/OSF.IO/HYMKC,no,Says the site cannot be reached,,,,,,,,,"Second data link is not working; There is a link to supplementary data link, but was ignored as there was already a link to open data - supplementary data link: at https://doi.org/10.1016/j.jesp.2017.11.009.",
a000816,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/yg82m/,yes,,https://osf.io/yg82m,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000920,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/zpjbg,yes,,https://osf.io/zpjbg,yes,,OSF,other,"On the link given in the article, the files have been removed because it contained data that couldn't be made public. However, a new link is provided: https://osf.io/q82nf, which has the data with the sensitive data removed",yes,,"No issues, but had to go through a new link to access data",
a000938,Michelle,2020-04-07,yes,,yes,,yes,,1,1,osf.io/u8h5e,yes,,https://osf.io/u8h5e/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000990,Michelle,2020-04-07,yes,,yes,,yes,,1,1,http://the-data.harvard.edu/dvn/dv/communication.,yes,,https://dataverse.harvard.edu/dataverse/communication,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001155,Michelle,2020-04-07,yes,,yes,,yes,,2,1,https://osf.io/2bvt8/,yes,,https://osf.io/2bvt8/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/zp76h/,yes,,https://osf.io/zp76h/,yes,,OSF,yes,,yes,,,
a001160,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/9KXM4/,yes,,https://osf.io/9KXM4/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001200,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/5ybej/,yes,,https://osf.io/5ybej/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001231,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/esw34/,yes,,https://osf.io/esw34/,yes,,OSF,yes,,yes,,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.07.014",
a001349,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/rjdpc/,yes,,https://osf.io/rjdpc,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001350,Michelle,2020-04-07,yes,,yes,,yes,,2,1,https://osf.io/fs93m/,yes,,https://osf.io/fs93m/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/vnkaz/,yes,,https://osf.io/vnkaz/,yes,,OSF,yes,,yes,,,
a001385,Michelle,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/84zg3/,yes,,https://osf.io/84zg3/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001387,Michelle,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/mytx9/,yes,,https://osf.io/mytx9/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001408,Michelle,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/rgsbj/,yes,,https://osf.io/rgsbj/,yes,,OSF,yes,,yes,,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.cortex.2019.01.018",
a001447,Michelle,2020-04-08,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/ICISE4,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ICISE4,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001464,Michelle,2020-04-08,yes,,yes,,yes,,1,1,http://osf.io/h7s5j,yes,,https://osf.io/h7s5j/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001506,Michelle,2020-04-08,yes,,yes,,other,"2 links but they essentially are the same website, text contains both https://osf.io/zg2su/files/ and https://osf.io/zg2su/",1,1,https://osf.io/zg2su/files/,yes,,https://osf.io/zg2su/files/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001536,Michelle,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/5ahzj,yes,,https://osf.io/5ahzj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001544,Michelle,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/jp8ew/,yes,,https://osf.io/jp8ew,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000020,Michelle,2020-04-09,yes,,yes,,yes,,1,1,http://reshare.ukdataservice.ac.uk/852658/,yes,,http://reshare.ukdataservice.ac.uk/852658/,yes,,UK DATA SERVICE,yes,,yes,,I didn't have any problems with this article,
a000133,Michelle,2020-04-09,yes,,yes,,yes,,1,1,osf.io/453ds,yes,,https://osf.io/453ds/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000193,Michelle,2020-04-09,yes,,yes,,yes,,1,1,http://osf.io/seqgd/,yes,,https://osf.io/seqgd,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000260,Michelle,2020-04-09,yes,,yes,,yes,,1,1,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,,INDI,other,Need to request access to retrieve data using a request access form,,,"Could not download data, due to having to request for data",
a000293,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/rt6w2/,yes,,https://osf.io/rt6w2/,yes,,OSF,yes,,other,File size exceeds 100MB,Did not download the file as file size was too big,
a000338,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/KPJUFL,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KPJUFL,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000379,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/d7w8a/,yes,,https://osf.io/d7w8a,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000382,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/t3csz/,yes,,https://osf.io/t3csz,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000411,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/8R3LTP,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8R3LTP,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000475,Michelle,2020-04-09,yes,,yes,,yes,,1,1,www.osf.io/qknug,yes,,https://osf.io/qknug,yes,,OSF,yes,,other,All file sizes exceeded 100MB,Did not download the files as the file sizes were too big,
a000480,Michelle,2020-04-09,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/FS90RJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FS90RJ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000504,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/8qzkc/?view_only=4f0b14f72e3940f38bfff87bfa2499c0,yes,,https://osf.io/8qzkc/?view_only=4f0b14f72e3940f38bfff87bfa2499c0,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000512,Michelle,2020-04-09,yes,,yes,,yes,,1,1,mendeley.com,yes,,https://www.mendeley.com/?interaction_required=true,yes,,MENDELEY,other,"Link in the article takes you to the general Mendeley website, unlike the other articles where the link takes you to specific data related to that article. Creation of account required",,,"Registration required, and link gets you to the Mendeley home page rather than the site where the data for the article is. ""De-identified data', supplementary data link: at https://
doi.org/10.1016/j.jesp.2019.103820.",
a000539,Michelle,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/px8h3/,yes,,https://osf.io/px8h3/,yes,,OSF,yes,,other,File size exceeds 100MB,Did not download the file as file size was too big,
a000558,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/zuwxt/,yes,,https://osf.io/zuwxt/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000561,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/ik356/,yes,,https://osf.io/ik356/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000577,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/nmt5f/,yes,,https://osf.io/nmt5f/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000594,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/xzp9s,yes,,https://osf.io/xzp9s/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000638,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/59wda/,yes,,https://osf.io/59wda/,yes,,OSF,yes,,other,File size exceeds 100MB,Did not download the file as file size was too big,Link to analysis
a000936,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/7rajd/,yes,,https://osf.io/7rajd/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
