article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
a000158,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://doi.org/10.17632/yrpjzfmzpz.3.,yes,,https://data.mendeley.com/datasets/yrpjzfmzpz/3,yes,,Mendeley,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000169,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/4cg2s/,yes,,https://osf.io/4cg2s/,yes,,OSF,yes,,partial,one file is already deleted,"The file ""analysesInManuscript.R"" stored on OSF Storage was deleted by Anders Sand, but other data files are still downloaded",
a000178,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/ydpbf/,yes,,https://osf.io/ydpbf/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000247,kongmanas,2020-04-03,yes,,yes,,yes,,2,1,https://osf.io/47tnc/,yes,,https://osf.io/47tnc/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000247,kongmanas,2020-04-03,yes,,yes,,yes,,2,2,https://osf.io/gvm2z/,yes,,https://osf.io/gvm2z/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000257,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1,yes,,https://osf.io/f23tn/?view_only%C2%BCeb1aad8f01004d02934d872717bf9db1.,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000320,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/pr3hf/.,yes,,https://osf.io/pr3hf/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000369,kongmanas,2020-04-04,yes,,yes,,yes,,2,1,https://osf.io/5fbac/,yes,,https://osf.io/5fbac,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000369,kongmanas,2020-04-04,yes,,yes,,yes,,2,2,https://osf.io/gx4j7/,yes,,https://osf.io/gx4j7/,yes,,OSF,other,only addiction registration file exist,yes,,"No data file available, there is only addiction registration file.",
a000450,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/ry75j,yes,,https://osf.io/ry75j/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000557,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/8cd4r/,yes,,https://osf.io/8cd4r/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000582,kongmanas,2020-04-04,yes,,yes,,no,,0,,,,,,,,,,,,,There is no link provided in the article ,
a000601,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/4bwq3/,yes,,https://osf.io/4bwq3,yes,,OSF,other,"the repository only had a link to another repository, https://osf.io/fc463/?view_only=, which did contain data files",yes,,"There is no available data file in the link destination. However, there is a link which is connected to another repository which all data files are listed and could be downloaded. ",
a000608,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,osf.io/9ungb/,yes,,https://osf.io/9ungb,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000624,kongmanas,2020-04-04,yes,,yes,,yes,,1,1,https://dx.doi.org/10.17632/fdmshk2d5x.1,yes,,https://data.mendeley.com/datasets/fdmshk2d5x/1,yes,,Mendeley,yes,,yes,,I didn't have any problems with this article,
a000706,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,osf.io/bmpj9,yes,,https://osf.io/bmpj9,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000708,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/vkmep,yes,,https://osf.io/vkmep/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000736,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/K7OCDX,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K7OCDX,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000747,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/5bdwk/,yes,,https://osf.io/5bdwk/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000748,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/aegr4/,yes,,https://osf.io/aegr4/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000943,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/R3GZZW,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/R3GZZW,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000946,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,http://osf.io/hd6fw,yes,,https://osf.io/hd6fw/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000955,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,http://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7.,yes,,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203/studies?archive=ICPSR&sortBy=7.,yes,,ICPSR,no,,,,There is no available data file.,
a000981,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/WOI8EU,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WOI8EU,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000989,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/73e54/,yes,,https://osf.io/73e54/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001132,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/9z3nw/,yes,,https://osf.io/9z3nw/,yes,,OSF,yes,,other, It took more than 15 minutes to download The data files,It took more than 15 minutes to download The data files,
a001216,kongmanas,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/ydnfe/,yes,,https://osf.io/ydnfe/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001231,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/esw34/,yes,,https://osf.io/esw34/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a001233,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/TVZQG6,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TVZQG6,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a001246,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/e5bvj/,yes,,https://osf.io/e5bvj,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001247,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://iris-database.org/,yes,,https://iris-database.org/iris/app/home/index;jsessionid=5BCE88A2C1B19F25A602F9BC2F29B920,yes,,IRIS,yes,,other,Need to register to before access to download,The registration is needed to download the data file,
a001305,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/q4n2b/,yes,,https://osf.io/q4n2b,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001369,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=https://doi.org/10.7910/DVN/GSQG1K,no,the link destination was not found,,,,,,,,,The provided link didn't work,
a001377,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/j2g7t/,yes,,https://osf.io/j2g7t/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001499,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,osf.io/6b4ag,yes,,https://osf.io/6b4ag/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001556,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/WPVSMH,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WPVSMH,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a001568,kongmanas,2020-04-07,yes,,yes,,yes,,1,1,https://figshare.com/articles/The_Road_to_Bribery_and_Corruption/3849237,yes,,https://figshare.com/articles/The_Road_to_Bribery_and_Corruption/3849237,yes,,figshare,yes,,yes,,I didn't have any problems with this article,
batch0027,,,,,,,,,,,,,,,,,,,,,,,
a000016,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/cp76s,yes,,https://osf.io/cp76s,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000022,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,yes,,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000080,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/4x8tn/,yes,,https://osf.io/4x8tn/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000195,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/Z5TE6/,yes,,https://osf.io/Z5TE6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000219,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,http://dx.doi.org/10.1016/j.jesp.2017.07.005,yes,,https://www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub,other,The data file is in the ScienceDirect t website,,yes,,other,Need to register to before access to download,The data file is in the ScienceDirect website and the registration is needed to download the data file,
a000296,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://doi.org/10.6084/m9.figshare.7271480.v1,yes,,https://figshare.com/articles/The_Co-occurrence_of_Pitch_and_Rhythm_Disorders_in_Congenital_Amusia/7271480/1,yes,,figshare,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000336,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/nydsz/,yes,,https://osf.io/nydsz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000361,kongmanas,2020-04-08,yes,,yes,,yes,,1,1,http://osf.io/ft462/,yes,,https://osf.io/ft462/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000400,kongmanas,2020-04-08,yes,,yes,,no,"There was no link to the repository, only supplementary information at the end of the article ",,,,,,,,,,,,,,"There was no link to the repository, only supplementary information at the end of the article ",
a000423,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/D5DEHM,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/D5DEHM,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000452,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/arqp8/.,yes,,https://osf.io/arqp8/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000470,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/h5nbu/,yes,,https://osf.io/h5nbu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000552,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/78ukq/,yes,,https://osf.io/78ukq/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000589,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/QBHGRC,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QBHGRC,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000721,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,osf.io/4ufvz,yes,,https://osf.io/4ufvz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000771,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/ycx49/,yes,,https://osf.io/ycx49,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000785,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://iris-database.org/,yes,,https://iris-database.org/iris/app/home/detail?id=york%3a936215&ref=search,yes,,IRIS,other,,other,Need to register to before access to download,The registration is needed to download the data file,
a000834,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,https://osf.io/anpbm/,yes,,https://osf.io/anpbm/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000849,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/NQOWDE,no,the link destination was not found,,,,,,,,,The provided link didn't work,
a000860,kongmanas,2020-04-09,yes,,yes,,yes,,1,1,osf.io/trwb4/,yes,,https://osf.io/trwb4,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000914,kongmanas,2020-04-09,yes,,yes,,yes,,3,1,https://osf.io/96cx7/,yes,,https://osf.io/96cx7,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000914,kongmanas,2020-04-09,yes,,yes,,yes,,3,2,https://github.com/dyurovsky/noisy-kids,yes,,https://github.com/dyurovsky/noisy-kids,yes,,GitHub,yes,,yes,,I didn't have any problems with this article,
a000914,kongmanas,2020-04-10,yes,,yes,,yes,,3,3,http://dyurovsky.github.io/noisy-kids/,yes,,http://dyurovsky.github.io/noisy-kids/,yes,,GitHub,other,The link destination does not contain data files. It only contains codes and results of experiments. ,,,The link destination does not contain data files. It only contains codes and results of experiments. ,
a000923,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/MYDZNF,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MYDZNF,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a000941,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/abq5f/.,yes,,https://osf.io/abq5f/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000942,kongmanas,2020-04-10,yes,,yes,,yes,,5,1,https://zenodo.org/record/3260451?token¼eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDY5Njc5OSwiaWF0IjoxNTYyMDYwOTk2fQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNDUxfSwiaWQiOjMzMzUsInJuZCI6ImFjZGU4N2JiIn0.QMXB0Y2gQu583IAgnmt_UrOn97TQUDWASIlMdMMAYZLyOxXPn1CSvdZnRan08LFfDqEfDtjFzk9IOSogj4r77Q.,yes,,https://zenodo.org/record/3260451?token%C2%BCeyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDY5Njc5OSwiaWF0IjoxNTYyMDYwOTk2fQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNDUxfSwiaWQiOjMzMzUsInJuZCI6ImFjZGU4N2JiIn0.QMXB0Y2gQu583IAgnmt_UrOn97TQUDWASIlMdMMAYZLyOxXPn1CSvdZnRan08LFfDqEfDtjFzk9IOSogj4r77Q.#.Xo756MgzZPY,yes,,Zenodo ,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000942,kongmanas,2020-04-10,yes,,yes,,yes,,5,2,https://zenodo.org/record/3260668?token=eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1NDA0fQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNjY4fSwiaWQiOjMzNDIsInJuZCI6IjNjMTFlZWQwIn0.EXvZRFcHpIiYua7_zS5hIvmOKAYvqyAK4TWZa72nJ1l6WVAajRvLjcZchcCQ1A6qbm2PBmVJyeB5lni7k,yes,,https://zenodo.org/record/3260668?token=eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1NDA0fQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNjY4fSwiaWQiOjMzNDIsInJuZCI6IjNjMTFlZWQwIn0.EXvZRFcHpIiYua7_zS5hIvmOKAYvqyAK4TWZa72nJ1l6WVAajRvLjcZchcCQ1A6qbm2PBmVJyeB5lni7k#.Xo74qsgzZPY,yes,,Zenodo ,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000942,kongmanas,2020-04-10,yes,,yes,,yes,,5,3,https://zenodo.org/record/3264896?token¼eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1ODkxfQ.eyJkYXRhIjp7InJlY2lkIjozMjY0ODk2fSwiaWQiOjMzNDMsInJuZCI6IjM3ZTFmNWNiIn0.DjqnMLpuJ-rhm7f0jUguzOjrxGXOD2uOwY3BtcBPmBbgqCwT8Xx13wt1vvbcMd4ozYQO5Y7HKuoNwAJqpEDQ8A,yes,,https://zenodo.org/record/3264896?token%C2%BCeyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1ODkxfQ.eyJkYXRhIjp7InJlY2lkIjozMjY0ODk2fSwiaWQiOjMzNDMsInJuZCI6IjM3ZTFmNWNiIn0.DjqnMLpuJ-rhm7f0jUguzOjrxGXOD2uOwY3BtcBPmBbgqCwT8Xx13wt1vvbcMd4ozYQO5Y7HKuoNwAJqpEDQ8A#.Xo747cgzZPY,yes,,Zenodo ,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000942,kongmanas,2020-04-10,yes,,yes,,yes,,5,4,https://zenodo.org/record/3260735?token¼eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1OTAyfQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNzM1fSwiaWQiOjMzNDQsInJuZCI6ImM5YzM0NTE0In0.TkJoCSOtJPo9E0vHV_EKnlYtBplQPtWlMM6yVjLKTNOsIRZP_uqWBHlpwsEKtQ3VtRbDkKnQ79o1ZgnM_CHdQA,yes,,https://zenodo.org/record/3260735?token%C2%BCeyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1OTAyfQ.eyJkYXRhIjp7InJlY2lkIjozMjYwNzM1fSwiaWQiOjMzNDQsInJuZCI6ImM5YzM0NTE0In0.TkJoCSOtJPo9E0vHV_EKnlYtBplQPtWlMM6yVjLKTNOsIRZP_uqWBHlpwsEKtQ3VtRbDkKnQ79o1ZgnM_CHdQA#.Xo75lcgzZPY,yes,,Zenodo ,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000942,kongmanas,2020-04-10,yes,,yes,,yes,,5,5,https://zenodo.org/record/3264892?token¼eyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1OTE2fQ.eyJkYXRhIjp7InJlY2lkIjozMjY0ODkyfSwiaWQiOjMzNDUsInJuZCI6ImY1Mjg0MTg5In0.JgAatYQMFqETsYekePqDIE_dUDhj5h63EZ8idy0iYgaSl5RcCerHtK3LKSzH660NMI1qXFPpF5A2khkgVDQVaw,yes,,https://zenodo.org/record/3264892?token%C2%BCeyJhbGciOiJIUzUxMiIsImV4cCI6MTU2NDc4MzE5OSwiaWF0IjoxNTYyMTQ1OTE2fQ.eyJkYXRhIjp7InJlY2lkIjozMjY0ODkyfSwiaWQiOjMzNDUsInJuZCI6ImY1Mjg0MTg5In0.JgAatYQMFqETsYekePqDIE_dUDhj5h63EZ8idy0iYgaSl5RcCerHtK3LKSzH660NMI1qXFPpF5A2khkgVDQVaw#.Xo750sgzZPY,yes,,Zenodo ,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
a000944,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,osf.io/hp2wx,yes,,https://osf.io/hp2wx/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001024,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/9zpaj,yes,,https://osf.io/9zpaj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001031,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/tv8ai/,yes,,https://osf.io/tv8ai,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001053,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/JNEQYJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a001243,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/nfh28/,yes,,https://osf.io/nfh28/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001286,kongmanas,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/4vx3z/,yes,,https://osf.io/4vx3z/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001310,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,https://osf.io/27gwb,yes,,https://osf.io/27gwb/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001328,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/mgbck,yes,,https://osf.io/mgbck/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001398,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/QTG6FQ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
a001431,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/dbgh6,yes,,https://osf.io/dbgh6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001439,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/ht3gk,yes,,https://osf.io/ht3gk/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001481,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,https://zenodo.org/record/1217215,yes,,https://zenodo.org/record/1217215#.Xo7xOcgzZPY,yes,,Zenodo ,yes,,yes,,I didn't have any problems with this article,
a001511,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,https://osf.io/jqug4/,yes,,https://osf.io/jqug4/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001610,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/8cwgx,yes,,https://osf.io/8cwgx/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001649,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/5qd94,yes,,https://osf.io/5qd94/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001660,kongmanas,2020-04-11,yes,,yes,,yes,,1,1,osf.io/nqas7,yes,,https://osf.io/nqas7/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
batch0029,,,,,,,,,,,,,,,,,,,,,,,
a000041,kongmanas,2020-04-12,yes,,yes,,yes,,1,1,http://doi.org/10.17605/OSF.IO/GDTPM,yes,,https://osf.io/gdtpm/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
