article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,orig_row
intro10,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",NA,NA,NA,NA,NA,NA,NA,NA,Main issue here is that the link did not work,13
a000009,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/x3ypv/,yes,NA,https://osf.io/x3ypv/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,14
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,15
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/x8rnq/,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,other,"Yes, but files are being checked out by the creator (so may not be up to date)",yes,NA,One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made,16
a000046,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/dkqfn,yes,NA,https://osf.io/dkqfn/,yes,NA,OSF,yes,NA,other,File size exceed 100MB,Data not downloaded as file was too big,17
a000081,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,4,1,https://osf.io/x7pgq/,yes,NA,https://osf.io/x7pgq/,yes,NA,OSF,yes,NA,yes,NA,NA,18
a000081,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,4,2,https://osf.io/q9jy3/,yes,NA,https://osf.io/q9jy3/,yes,NA,OSF,yes,NA,yes,NA,NA,19
a000081,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,4,3,https://osf.io/cdev3/,yes,NA,https://osf.io/cdev3/,yes,NA,OSF,yes,NA,yes,NA,NA,20
a000081,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,4,4,https://osf.io/uj2dr/,yes,NA,https://osf.io/uj2dr/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,21
a000138,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.21985/N2VR0V,yes,NA,https://arch.library.northwestern.edu/concern/generic_works/8336h212d,yes,NA,NORTHWESTERN,yes,NA,yes,NA,I didn't have any problems with this article,22
a000153,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/du9ws/,yes,NA,https://osf.io/du9ws/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,23
a000208,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3c4ue/,yes,NA,https://osf.io/3c4ue/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,24
a000233,michelle,2020-04-03,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
a000251,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/k5b7a/,yes,NA,https://osf.io/k5b7a/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,26
a000288,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3hu8m/,yes,NA,https://osf.io/3hu8m/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,27
a000311,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/du5jc/,yes,NA,https://osf.io/du5jc/,yes,NA,OSF,yes,NA,other,1/2 of the files exceed 100MB,One file not downloaded as file size was too big,28
a000337,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/RW10GZ.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RW10GZ,yes,NA,HARVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,29
a000378,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/b9mnr,yes,NA,https://osf.io/b9mnr,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,30
a000440,michelle,2020-04-03,yes,NA,yes,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Text says open data can be accessed online but no link specified,31
a000510,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6d9f/,yes,NA,https://osf.io/n6d9f/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,32
a000516,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/p778t,yes,NA,https://osf.io/p778t,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,33
a000530,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zf4tj/,yes,NA,https://osf.io/zf4tj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,34
a000559,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:932233,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:932233,yes,NA,IRIS,yes,NA,yes,NA,I didn't have any problems with this article,35
a000616,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/am5nh/,yes,NA,https://osf.io/am5nh/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,36
a000643,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jxad3/,yes,NA,https://osf.io/jxad3,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,37
a000745,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,osf.io/uqg5m/#,yes,NA,https://osf.io/uqg5m/#,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,38
a000801,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/28ejf/,yes,NA,https://osf.io/28ejf/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,39
a000840,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jqkg7/#,yes,NA,https://osf.io/jqkg7/,yes,NA,OSF,yes,NA,other,File size exceeds 100MB,Data not downloaded as file was too big,40
a000961,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/zwrxc/,yes,NA,https://osf.io/zwrxc,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,41
a000966,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,osf.io/hr7vx,yes,NA,https://osf.io/hr7vx/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://www.sciencedirect.com/science/article/abs/pii/S0092656617301083?via%3Dihub",42
a001040,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,osf.io/yw7d9,yes,NA,https://osf.io/yw7d9/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,43
a001083,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,https://doi.org/10.3886/ICPSR04652.v7,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/7,yes,NA,NACDA,yes,NA,other,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",44
a001083,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.3886/ICPSR36346.v7,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/36346/versions/V7,yes,NA,NACDA,yes,NA,other,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",45
a001124,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/r35tf/,yes,NA,https://osf.io/r35tf/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jrp.2019.06.003.",46
a001134,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/e5r6f,yes,NA,https://osf.io/e5r6f,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,47
a001148,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/WKJJ3Z,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WKJJ3Z,yes,NA,HAVARD DATAVERSE,yes,NA,no,NA,"Tried downloading, but it gets to around 866KB and doesn't download any further",48
a001257,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/VT4KJA.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VT4KJA,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,49
a001258,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/c5bmm/,yes,NA,https://osf.io/c5bmm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,50
a001264,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5kbx6/,yes,NA,https://osf.io/5kbx6/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,51
a001317,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/j25fh/,yes,NA,https://osf.io/j25fh/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,52
a001425,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,osf.io/t7jjk,yes,NA,https://osf.io/t7jjk/,yes,NA,OSF,yes,NA,yes,NA,NA,53
a001425,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,2,2,http://www.oecd.org/pisa/data/2015database/,yes,NA,http://www.oecd.org/pisa/data/2015database/,yes,NA,OECD,yes,NA,other,Did not download as there were 22 separate files and some were over 100 MB,"Did not download all files, but downloaded files from first link",54
a001428,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8eqtc,yes,NA,https://osf.io/8eqtc/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,55
a001430,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id= S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76- 0023d5b2081a,yes,NA,https://data.mendeley.com/,yes,NA,MENDELEY,other,"Directed to home page, appears that login is required to access data",no,NA,"Need to login to access data, and there was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.01.007",56
a001558,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4awze,yes,NA,https://osf.io/4awze/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,57
a001609,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/AGIMGY,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AGIMGY,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,58
a001613,michelle,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4m2bq/,yes,NA,https://osf.io/4m2bq/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,59
a000017,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/yw9us,yes,NA,https://osf.io/yw9us/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,60
a000042,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,NA,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,61
a000088,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6u4wh,yes,NA,https://osf.io/6u4wh/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,62
a000099,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4dau5/,yes,NA,https://osf.io/4dau5/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,63
a000104,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/kenswan,yes,NA,https://dataverse.harvard.edu/dataverse/kenswan,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,64
a000108,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.5061/dryad.cn20jv8,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.cn20jv8,yes,NA,DRYAD,yes,NA,yes,NA,I didn't have any problems with this article,65
a000228,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/8juyc/,yes,NA,https://osf.io/8juyc/,yes,NA,OSF,yes,NA,yes,NA,NA,66
a000228,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/7wfxj/,yes,NA,https://osf.io/7wfxj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,67
a000230,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/gq7z2,yes,NA,https://osf.io/gq7z2,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,68
a000264,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/kszge,yes,NA,https://osf.io/kszge/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,69
a000282,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/szvxd/,yes,NA,https://osf.io/szvxd/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,70
a000317,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/fsadm/,yes,NA,https://osf.io/fsadm/,yes,NA,OSF,yes,NA,other,"All but one of the files are downloaded, as the file size exceed 100MB",One file not downloaded as size too big,71
a000335,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/6fgnq,yes,NA,https://osf.io/6fgnq/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,72
a000342,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xyh24/,yes,NA,https://osf.io/xyh24/,yes,NA,OSF,yes,NA,yes,NA,"There was links to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data links: https://doi.org/10.1016/j.jesp.2017.09.008 and https://osf.io/xyh24/",73
a000350,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/5gtyv,yes,NA,https://osf.io/5gtyv/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2019.04.010",74
a000357,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/2jme8/,yes,NA,https://osf.io/2jme8/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,75
a000412,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fzmsa/,yes,NA,https://osf.io/fzmsa/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2019.103855",76
a000484,michelle,2020-04-07,yes,NA,other,"Does not explicitly have a statement saying data is available, but there is a the text 'Open Data' with a hyperlink",yes,NA,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,UNI HAMBURG,yes,NA,yes,NA,"No explicit statement saying data was available, but hyperlinks existed that linked to a site where data could be downloaded",77
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,http://osf.io/5itqa,yes,NA,https://osf.io/5itqa,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,78
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,http://osf.io/8q769,yes,NA,https://osf.io/8q769,yes,NA,OSF,yes,NA,yes,NA,NA,79
a000515,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7bujx/,yes,NA,https://osf.io/7bujx/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,80
a000529,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/SSEN5A,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SSEN5A,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,81
a000731,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/m7sdz/,yes,NA,https://osf.io/m7sdz,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,82
a000797,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/hymkc,yes,NA,https://osf.io/hymkc/,yes,NA,OSF,yes,NA,yes,NA,NA,83
a000797,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,10.17605/OSF.IO/HYMKC,no,Says the site cannot be reached,NA,NA,NA,NA,NA,NA,NA,NA,"Second data link is not working; There is a link to supplementary data link, but was ignored as there was already a link to open data - supplementary data link: at https://doi.org/10.1016/j.jesp.2017.11.009.",84
a000816,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/yg82m/,yes,NA,https://osf.io/yg82m,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,85
a000920,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zpjbg,yes,NA,https://osf.io/zpjbg,yes,NA,OSF,other,"On the link given in the article, the files have been removed because it contained data that couldn't be made public. However, a new link is provided: https://osf.io/q82nf, which has the data with the sensitive data removed",yes,NA,"No issues, but had to go through a new link to access data",86
a000938,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/u8h5e,yes,NA,https://osf.io/u8h5e/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,87
a000990,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://the-data.harvard.edu/dvn/dv/communication.,yes,NA,https://dataverse.harvard.edu/dataverse/communication,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,88
a001155,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/2bvt8/,yes,NA,https://osf.io/2bvt8/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,89
a001155,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/zp76h/,yes,NA,https://osf.io/zp76h/,yes,NA,OSF,yes,NA,yes,NA,NA,90
a001160,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9KXM4/,yes,NA,https://osf.io/9KXM4/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,91
a001200,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5ybej/,yes,NA,https://osf.io/5ybej/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,92
a001231,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/esw34/,yes,NA,https://osf.io/esw34/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.07.014",93
a001349,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rjdpc/,yes,NA,https://osf.io/rjdpc,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,94
a001350,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/fs93m/,yes,NA,https://osf.io/fs93m/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,95
a001350,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/vnkaz/,yes,NA,https://osf.io/vnkaz/,yes,NA,OSF,yes,NA,yes,NA,NA,96
a001385,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/84zg3/,yes,NA,https://osf.io/84zg3/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,97
a001387,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/mytx9/,yes,NA,https://osf.io/mytx9/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,98
a001408,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rgsbj/,yes,NA,https://osf.io/rgsbj/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.cortex.2019.01.018",99
a001447,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/ICISE4,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ICISE4,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,100
a001464,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/h7s5j,yes,NA,https://osf.io/h7s5j/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,101
a001506,michelle,2020-04-08,yes,NA,yes,NA,other,"2 links but they essentially are the same website, text contains both https://osf.io/zg2su/files/ and https://osf.io/zg2su/",1,1,https://osf.io/zg2su/files/,yes,NA,https://osf.io/zg2su/files/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,102
a001536,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5ahzj,yes,NA,https://osf.io/5ahzj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,103
a001544,michelle,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jp8ew/,yes,NA,https://osf.io/jp8ew,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,104
a000020,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,http://reshare.ukdataservice.ac.uk/852658/,yes,NA,http://reshare.ukdataservice.ac.uk/852658/,yes,NA,UK DATA SERVICE,yes,NA,yes,NA,I didn't have any problems with this article,105
a000133,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,osf.io/453ds,yes,NA,https://osf.io/453ds/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,106
a000193,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/seqgd/,yes,NA,https://osf.io/seqgd,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,107
a000260,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,NA,INDI,other,Need to request access to retrieve data using a request access form,no,NA,"Could not download data, due to having to request for data",108
a000293,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rt6w2/,yes,NA,https://osf.io/rt6w2/,yes,NA,OSF,yes,NA,other,File size exceeds 100MB,Did not download the file as file size was too big,109
a000338,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/KPJUFL,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KPJUFL,yes,NA,HAVARD DATAVERSE,yes,NA,yes,NA,I didn't have any problems with this article,110
a000379,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/d7w8a/,yes,NA,https://osf.io/d7w8a,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,111
a000382,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/t3csz/,yes,NA,https://osf.io/t3csz,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,112
