"study_id","coder_initials","date_coded","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","number_of_links","link_number","link_url","link_work","link_work_noother","resolved_url","is_repository","is_repository_other","repository_name","files_exist","files_exist_other","download_success","download_success_other","notes","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","final_download_success","final_download_success2","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus"
"a001780","EG","30/5/2024","yes",,"yes",,"yes",,3,3,"https://hrsdata.isr.umich.edu/data-products/rand-hrs-archived-data-products","other","Biannual data products that get overwritten wen new longitudinal data is added. Page not found error, but on link 2 the 2020 file can be found which has the entire longitudinal dataset from 2016 plus the additional new data.","https://hrsdata.isr.umich.edu/data-products/rand-hrs-longitudinal-file-2020","yes",,"Health and Retirement Study","other","Biannual data products that get overwritten wen new longitudinal data is added. Page not found error for link_url, but on link 2 the 2020 file can be found which has the entire longitudinal dataset from 2016 plus the additional new data.","other","login account required","This is a specific link given to a specific data product: randhrs1992_2016v1_archive_STATA longitudinal data file for 2016.","yes","yes","yes","yes","account","yes",2021,"Yemiscigil, Ayse; Powdthavee, Nattavudh; Whillans, Ashley V.","The Effects of Retirement on Sense of Purpose in Life: Crisis or Opportunity?","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211024248","1856-1864","11",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001780","EG","30/5/2024","yes",,"yes",,"yes",,3,1,"https://hrs.isr.umich.edu/data-products","yes",,"https://hrs.isr.umich.edu/data-products","yes",,"HRS Portal","other","This is a general link given to the data repository for this study. Specifc links for the data products used in each of the studies are provided in additional rows.","other","No files at this link given,This is a general link given to the data repository for this study. Specifc links for the data products used in each of the studies are provided in additional rows.","This is a general link given to the data repository for this study. Specifc links for the data products used in each of the studies are provided in additional rows. Data come from the University of Michigan's Institute of Social Research HRS Data Products Page","yes","yes","yes","no",,,2021,"Yemiscigil, Ayse; Powdthavee, Nattavudh; Whillans, Ashley V.","The Effects of Retirement on Sense of Purpose in Life: Crisis or Opportunity?","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211024248","1856-1864","11",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001780","EG","30/5/2024","yes",,"yes",,"yes",,3,2,"https://hrsdata.isr.umich.edu/data-products/rand?_ga=2","yes",,"https://hrsdata.isr.umich.edu/data-products/rand?_ga=2","yes",,"HRS Portal","yes",,"other","login account required","This is a specific link given to specific data products: RAND HRS Fat Files for years 2006, 2008, 2010, 2012, 2014, 2016;  h06f3a_STATA, h08f3a_STATA, hd10f5f_ STATA, h12f3a_STATA, h14f2b_STATA, h16f2b_STATA.","yes","yes","yes","yes","account","yes",2021,"Yemiscigil, Ayse; Powdthavee, Nattavudh; Whillans, Ashley V.","The Effects of Retirement on Sense of Purpose in Life: Crisis or Opportunity?","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211024248","1856-1864","11",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002145","EG","30/5/2024","yes",,"yes",,"yes",,2,2,"https://www.humanconnectome.org/contact-us","yes",,"https://www.humanconnectome.org/contact-us","no",,"Human Connectome Project","other","data available on request via resolved url form",,,"Human Connectome Project data set through the Human Connectome Project team","yes","yes","yes","no",,,2021,"Van Eijk, Liza; Zhu, Dajiang; Couvy-Duchesne, Baptiste; Strike, Lachlan T.; Lee, Anthony J.; Hansell, Narelle K.; Thompson, Paul M.; De Zubicaray, Greig I.; McMahon, Katie L.; Wright, Margaret J.; Zietsch, Brendan P.","Are Sex Differences in Human Brain Structure Associated With Sex Differences in Behavior?","Psychological Science","0956-7976, 1467-9280","10.1177/0956797621996664","1183-1197","8",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002168","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://www.icpsr.umich.edu/web/ICPSR/series/203/studies?archive=ICPSR&sortBy=7","yes",,"https://www.icpsr.umich.edu/web/ICPSR/series/203/studies?archive=ICPSR&sortBy=7","yes",,"ICPSR","yes",,"other","login account or institutional access required",,"yes","yes","yes","yes","account","yes",2021,"Leger, Kate A.; Turiano, Nicholas A.; Bowling, William; Burris, Jessica L.; Almeida, David M.","Personality Traits Predict Long-Term Physical Health via Affect Reactivity to Daily Stressors","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620980738","755-765","5",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002204","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://doi.org/10.3886/ICPSR37353.v1","yes",,"https://www.icpsr.umich.edu/web/ICPSR/studies/37353/versions/V1","yes",,"ICPSR","other","ICPSR does not hold the data for this study and therefore there are no files available to download from ICPSR. They may be available externally by contacting the data owners.","other","ICPSR does not hold the data for this study and therefore there are no files available to download from ICPSR. They may be available externally by contacting the data owners.",,"yes","yes","yes","no",,,2022,"Yeager, David S.; Carroll, Jamie M.; Buontempo, Jenny; Cimpian, Andrei; Woody, Spencer; Crosnoe, Robert; Muller, Chandra; Murray, Jared; Mhatre, Pratik; Kersting, Nicole; Hulleman, Christopher; Kudym, Molly; Murphy, Mary; Duckworth, Angela Lee; Walton, Gregory M.; Dweck, Carol S.","Teacher Mindsets Help Explain Where a Growth-Mindset Intervention Does and Doesn’t Work","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211028984","18-32","1",33,TRUE,TRUE,TRUE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001807","EG","30/5/2024","yes",,"yes",,"yes",,2,2,"https://www.lissdata.nl/","yes",,"https://www.lissdata.nl/","yes",,"Longitudinal Internet Studies for the Social Sciences (LISS) panel administered by Centerdata (Tilburg University, The Netherlands)","other","Researchers who would like to request access to the data can contact Centerdata (https://www.lissdata.nl/).",,,"Study 2 used data of the Longitudinal Internet Studies for the Social Sciences (LISS) panel administered by Centerdata (Tilburg University, The Netherlands).  Access requires contacting the organisation at the URL","yes","yes","yes","no",,,2021,"Sun, Rui; Sauter, Disa","Sustained Stress Reduces the Age Advantages in Emotional Experience of Older Adults: Commentary on Carstensen et al. (2020)","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211052476","2035-2041","12",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002236","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"http://midus.wisc.edu/data/index.php","yes",,"https://midus.wisc.edu/data/index.php","yes",,"Midlife in the United States (MIDUS) study","other","Data actually is not hosted on this website, there's a link to the ICPSR repository MIDUS  study page given ' Midlife in the United States (MIDUS) study'. Since data availability statement did not specify which dataset to use, but found specific mention of studies whose data files could be located at each study link.","other","Account required","Strange case. 1. Data actually is not hosted on this website, there's a link to the ICPSR repository MIDUS  study page given ' Midlife in the United States (MIDUS) study'  2. Was not clear from data availability statement exactly WHICH datasets from the MIDUS study the authors used.","yes","yes","yes","no",,,2020,"Hittner, Emily F.; Stephens, Jacquelyn E.; Turiano, Nicholas A.; Gerstorf, Denis; Lachman, Margie E.; Haase, Claudia M.","Positive Affect Is Associated With Less Memory Decline: Evidence From a 9-Year Longitudinal Study","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620953883","1386-1395","11",31,TRUE,FALSE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002072","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/4u69g","other","Forbidden. User has restricted access to this page","https://accounts.osf.io/login?service=https://osf.io/4u69g/","yes",,"OSF","other","Forbidden. User has restricted access to this page. Must request access.","no",,,"yes","yes","yes","no",,,2021,"McBee, Matthew T.; Brand, Rebecca J.; Dixon, Wallace E.","Challenging the Link Between Early Childhood Television Exposure and Later Attention Problems: A Multiverse Approach","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620971650","496-518","4",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001733","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/ecdrt/","other","Forbidden. User has restricted access to this page","https://accounts.osf.io/login?service=https://osf.io/ecdrt/","yes",,"OSF","other","Forbidden. User has restricted access to this page. Must request access.","no",,"Article has been retracted","yes","yes","yes","no",,,2020,"Clark, Cory J.; Winegard, Bo M.; Beardslee, Jordan; Baumeister, Roy F.; Shariff, Azim F.","RETRACTED: Declines in Religiosity Predict Increases in Violent Crime—but Not Among Countries With Relatively High Average IQ","Psychological Science","0956-7976","10.1177/0956797619897915","170-183","2",31,TRUE,TRUE,TRUE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002207","EG","30/5/2024","yes",,"yes",,"yes",,4,1,"https://archive.vn/e5vCe","yes",,"https://archive.vn/e5vCe","other","webpage archive",,"other","File is a web archive of a report which contains tables of data. I assume authors copied and pasted the tables to use as their data.","other","document cannot be downloaded but table text can be copied and pasted","Simulation 1: 'Data for Simulation 1 were obtained from https://archive .vn/e5vCe and https://www.payscale.com/data/racial- wage-gap-for-men and are archived at https://osf.io/ kcn63/ '","yes","yes","yes","yes","yes","yes",2020,"Hester, Neil; Payne, Keith; Brown-Iannuzzi, Jazmin; Gray, Kurt","On Intersectionality: How Complex Patterns of Discrimination Can Emerge From Simple Stereotypes","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620929979","1013-1024","8",31,TRUE,TRUE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002219","EG","30/5/2024","yes",,"yes",,"yes",,2,2,"http://brm.psychonomic-journals.org/content/supplemental","no","This Account has been suspended. Contact your hosting provider for more information.'","https://brm.psychonomic-journals.org/cgi-sys/suspendedpage.cgi",,,,,,,,"All data and code have been made publicly available via OSF and can be accessed at https://osf.io/jfxaz. Word- frequency norms from the SUBTLEXUS corpus are publicly available at http://brm.psychonomic-journals.org/content/ supplemental.","yes","yes","no",,,,2021,"Coronel, Jason C.; Bullock, Olivia M.; Shulman, Hillary C.; Sweitzer, Matthew D.; Bond, Robert M.; Poulsen, Shannon","Eye Movements Predict Large-Scale Voting Decisions","Psychological Science","0956-7976, 1467-9280","10.1177/0956797621991142","836-848","6",32,TRUE,TRUE,TRUE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001692","EG","13/4/2024","yes",,"yes",,"yes",,2,1,"https://subscribe.billboard.com","other","subscription fee required to access","https://www.billboard.com/subscribe/","other","repository but also offers additioanl services",,"other","only available for purchase",,,"This link is for study 1 in paper, which uses data requiring a monetary fee. Statement from author: ""Billboard chart rankings data for Study 1 are available at https://subscribe.billboard.com for a small fee. Users are not permitted to retransmit, disclose, or distribute the Bill- board chart-rankings data.""","yes","yes","yes","no",,,2020,"Packard, Grant; Berger, Jonah","Thinking of You: How Second-Person Pronouns Shape Cultural Success","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620902380","397-407","4",31,TRUE,TRUE,TRUE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002207","EG","30/5/2024","yes",,"yes",,"yes",,4,2,"https://www.payscale.com/data/racial-wage-gap-for-men","yes",,"https://www.payscale.com/research-and-insights/racial-wage-gap-for-men/","other","webpage with interactive data visualisations that can be downloaded",,"other","Interactive figure output","other","interactive figure output, that can be downloaded as pdf image or powerpoint","Simulation 1: 'Data for Simulation 1 were obtained from https://archive .vn/e5vCe and https://www.payscale.com/data/racial- wage-gap-for-men and are archived at https://osf.io/ kcn63/'","yes","yes","yes","yes","yes","yes",2020,"Hester, Neil; Payne, Keith; Brown-Iannuzzi, Jazmin; Gray, Kurt","On Intersectionality: How Complex Patterns of Discrimination Can Emerge From Simple Stereotypes","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620929979","1013-1024","8",31,TRUE,TRUE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002166","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://nda.nih.gov/study.html?id=851","yes",,"https://nda.nih.gov/study.html?id=851","yes",,"National Institute of Mental Health Data Archive","other","permission required",,,"Data can be accessed on request to repository.","yes","yes","yes","yes","account","yes",2020,"Mullins, Teagan S.; Campbell, Ethan M.; Hogeveen, Jeremy","Neighborhood Deprivation Shapes Motivational-Neurocircuit Recruitment in Children","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620929299","881-889","7",31,TRUE,FALSE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001986","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/23ekf/","yes",,"https://osf.io/23ekf/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2020,"Lu, Jackson G.; Lee, Julia J.; Gino, Francesca; Galinsky, Adam D.","Air Pollution, State Anxiety, and Unethical Behavior: A Meta-Analytic Review","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620924765","748-755","6",31,TRUE,TRUE,FALSE,FALSE,2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002135","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/23zvb/","yes",,"https://osf.io/23zvb/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Yanaoka, Kaichi; Michaelson, Laura E.; Guild, Ryan Mori; Dostart, Grace; Yonehiro, Jade; Saito, Satoru; Munakata, Yuko","Cultures Crossing: The Power of Habit in Delaying Gratification","Psychological Science","0956-7976, 1467-9280","10.1177/09567976221074650","1172-1181","7",33,TRUE,TRUE,TRUE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001800","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/24ewh","yes",,"https://osf.io/24ewh/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Wilks, Matti; Caviola, Lucius; Kahane, Guy; Bloom, Paul","Children Prioritize Humans Over Animals Less Than Adults Do","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620960398","27-38","1",32,TRUE,TRUE,TRUE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001718","EG","13/4/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/25rpx/","yes",,"https://osf.io/25rpx/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Landry, Mathieu; Da Silva Castanheira, Jason; Sackur, Jérôme; Raz, Amir","Difficult Turned Easy: Suggestion Renders a Challenging Visual Task Simple","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620954856","39-49","1",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001890","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/26w4u","yes",,"https://osf.io/26w4u/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Bogdanov, Mario; Nitschke, Jonas P.; LoParco, Sophia; Bartz, Jennifer A.; Otto, A. Ross","Acute Psychosocial Stress Increases Cognitive-Effort Avoidance","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211005465","1463-1475","9",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002256","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/28g3j","yes",,"https://osf.io/28g3j/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Strickland, Luke; Heathcote, Andrew; Bowden, Vanessa K.; Boag, Russell J.; Wilson, Micah K.; Khan, Samha; Loft, Shayne","Inhibitory Cognitive Control Allows Automated Advice to Improve Accuracy While Minimizing Misuse","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211012676","1768-1781","11",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001673","EG","13/4/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2avtu/","yes",,"https://osf.io/2avtu/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Woolley, Kaitlin; Fishbach, Ayelet","Motivating Personal Growth by Seeking Discomfort","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211044685","510-523","4",33,TRUE,TRUE,TRUE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001814","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2b9vr/","yes",,"https://osf.io/2b9vr/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Dunn, James D.; Varela, Victor P. L.; Nicholls, Victoria I.; Papinutto, Michael; White, David; Miellet, Sebastien","Face-Information Sampling in Super-Recognizers","Psychological Science","0956-7976, 1467-9280","10.1177/09567976221096320","1615-1630","9",33,TRUE,FALSE,FALSE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001727","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2f8yn/?view_only=8ac1f586d72f4a33af6ff84a5c44227b","yes",,"https://osf.io/2f8yn/?view_only=8ac1f586d72f4a33af6ff84a5c44227b","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2023,"Ziano, Ignazio; Koc, Yasin","Prototypes of People With Depression","Psychological Science","0956-7976, 1467-9280","10.1177/09567976231204035","1295-1308","12",34,TRUE,TRUE,TRUE,FALSE,2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002119","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2fg5w/","yes",,"https://osf.io/2fg5w/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Yim, Hyungwook; Osth, Adam F.; Sloutsky, Vladimir M.; Dennis, Simon J.","Sources of Interference in Memory Across Development","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211073131","1154-1171","7",33,TRUE,FALSE,FALSE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001874","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2fmg9/","yes",,"https://osf.io/2fmg9/","yes",,"OSF","yes",,"yes",,"Data availability statement written in main text rather than in additional section before references. Badge image presented at end of where standalone statement expected to be.","yes","yes","yes","yes","yes","yes",2023,"Ma, Fengling; Gu, Xinxin; Tang, Linghui; Luo, Xianming; Compton, Brian J.; Heyman, Gail D.","If They Won’t Know, I Won’t Wait: Anticipated Social Consequences Drive Children’s Performance on Self-Control Tasks","Psychological Science","0956-7976, 1467-9280","10.1177/09567976231198194","1220-1228","11",34,TRUE,FALSE,TRUE,FALSE,2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001851","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://osf.io/2gaem","yes",,"https://osf.io/2gaem/","yes",,"OSF","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Holmes, Emma; To, Grace; Johnsrude, Ingrid S.","How Long Does It Take for a Voice to Become Familiar? Speech Intelligibility and Voice Recognition Are Differentially Sensitive to Voice Training","Psychological Science","0956-7976, 1467-9280","10.1177/0956797621991137","903-915","6",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
