batch_id,coder,date_assigned,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0000,matthew,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,matthew,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,matthew,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,matthew,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,matthew,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,michelle,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,michelle,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,michelle,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,michelle,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,michelle,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,nguyenlam,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,nguyenlam,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,nguyenlam,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,nguyenlam,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,nguyenlam,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,oliver,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,oliver,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,oliver,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,oliver,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,oliver,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,phuong,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,phuong,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,phuong,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,phuong,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,phuong,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,sophia,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,sophia,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,sophia,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,sophia,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,sophia,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000001,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",2019,Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers,Clinical Psychological Science,batch0011/a000001/a000001_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000005,"Rychlowska, Magdalena; van der Schalk, Job; Gratch, Jonathan; Breitinger, Eva; Manstead, Antony S. R.",2019,Beyond actions: Reparatory effects of regret in intergroup trust games,Journal of Experimental Social Psychology,batch0011/a000005/a000005_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000081,"Borghuis, Jeroen; Denissen, Jaap J.A.; Sijtsma, Klaas; Branje, Susan; Meeus, Wim H.J.; Bleidorn, Wiebke",2018,Positive Daily Experiences Are Associated with Personality Trait Changes in Middle-aged Mothers,European Journal of Personality,batch0011/a000081/a000081_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000109,"Erle, Thorsten M.; Ruessmann, Janna K.; Topolinski, Sascha",2018,The effects of visuo-spatial perspective-taking on trust,Journal of Experimental Social Psychology,batch0011/a000109/a000109_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000139,"Hilgard, Joseph",2019,Comment on Yoon and Vargas (2014): An Implausibly Large Effect From Implausibly Invariant Data,Psychological Science,batch0011/a000139/a000139_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000158,"Garric, Clémentine; Sebaa, Aïda; Caetta, Florent; Perez, Céline; Savatovsky, Julien; Sergent, Claire; Chokron, Sylvie",2019,Dissociation between objective and subjective perceptual experiences in a population of hemianopic patients: A new form of blindsight?,Cortex,batch0011/a000158/a000158_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000159,"Thigpen, Nina; Petro, Nathan M.; Oschwald, Jessica; Oberauer, Klaus; Keil, Andreas",2019,Selection of Visual Objects in Perception and Working Memory One at a Time,Psychological Science,batch0011/a000159/a000159_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000214,"Marchlewska, Marta; Cichocka, Aleksandra; Łozowski, Filip; Górska, Paulina; Winiewski, Mikołaj",2019,In search of an imaginary enemy: Catholic collective narcissism and the endorsement of gender conspiracy beliefs,The Journal of Social Psychology,batch0011/a000214/a000214_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000244,"Doornkamp, Laura; Bekerom, Petra Van den; Groeneveld, Sandra",2019,The individual level effect of symbolic representation: An experimental study on teacher-student gender congruence and students’ perceived abilities in math,Journal of Behavioral Public Administration,batch0011/a000244/a000244_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000294,"Vardy, Tom; Atkinson, Quentin D.",2019,Property Damage and Exposure to Other People in Distress Differentially Predict Prosocial Behavior After a Natural Disaster,Psychological Science,batch0011/a000294/a000294_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000358,"Buchwald, Adam; Calhoun, Holly; Rimikis, Stacey; Lowe, Mara Steinberg; Wellner, Rebecca; Edwards, Dylan J.",2019,Using tDCS to facilitate motor learning in speech production: The role of timing,Cortex,batch0011/a000358/a000358_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000362,"Enge, Luke R.; Lupo, Amber K.; Zárate, Michael A.",2015,Neurocognitive Mechanisms of Prejudice Formation: The Role of Time-Dependent Memory Consolidation,Psychological Science,batch0011/a000362/a000362_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000377,NA,2018,Corrigendum: Group Influences on Engaging Self-Control: Children Delay Gratification and Value It More When Their In-Group Delays and Their Out-Group Doesn’t,Psychological Science,batch0011/a000377/a000377_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000410,"Kievit, Rogier A.; Hofman, Abe D.; Nation, Kate",2019,Mutualistic Coupling Between Vocabulary and Reasoning in Young Children: A Replication and Extension of the Study by Kievit et al. (2017),Psychological Science,batch0011/a000410/a000410_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000544,"Ram, Hadar; Liberman, Nira",2019,The relative contribution of response bias and weighting-of-similarity bias to valence asymmetry in attitude generalization,Journal of Experimental Social Psychology,batch0011/a000544/a000544_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000569,"Zlatev, Julian J.",2019,"I May Not Agree With You, but I Trust You: Caring About Social Issues Signals Integrity",Psychological Science,batch0011/a000569/a000569_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000687,"Bassolino, Michela; Bouzerda-Wahlen, Aurélie; Moix, Viviane; Bellmann, Anne; Herbelin, Bruno; Serino, Andrea; Blanke, Olaf",2019,"You or me? Disentangling perspectival, perceptual, and integrative mechanisms in heterotopagnosia",Cortex,batch0011/a000687/a000687_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000724,"Hassell, Hans J. G.; Visalvanich, Neil",2019,"The Party's Primary Preferences: Race, Gender, and Party Support of Congressional Primary Candidates",American Journal of Political Science,batch0011/a000724/a000724_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000757,"Gómez, Ángel; Vázquez, Alexandra; López-Rodríguez, Lucía; Talaifar, Sanaz; Martínez, Mercedes; Buhrmester, Michael D.; Swann, William B.",2019,Why people abandon groups: Degrading relational vs collective ties uniquely impacts identity fusion and identification,Journal of Experimental Social Psychology,batch0011/a000757/a000757_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000904,"Groot, Jasper H. B. de; Smeets, Monique A. M.; Rowson, Matt J.; Bulsing, Patricia J.; Blonk, Cor G.; Wilkinson, Joy E.; Semin, Gün R.",2015,A Sniff of Happiness,Psychological Science,batch0011/a000904/a000904_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000948,"Everaert, Jonas; Joormann, Jutta",2019,"Emotion Regulation Difficulties Related to Depression and Anxiety: A Network Approach to Model Relations Among Symptoms, Positive Reappraisal, and Repetitive Negative Thinking",Clinical Psychological Science,batch0011/a000948/a000948_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a000992,"Joel, Samantha; Teper, Rimma; MacDonald, Geoff",2014,People Overestimate Their Willingness to Reject Potential Romantic Partners by Overlooking Their Concern for Other People,Psychological Science,batch0011/a000992/a000992_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001015,"Lau, Tatiana; Morewedge, Carey K.; Cikara, Mina",2016,Overcorrection for Social-Categorization Information Moderates Impact Bias in Affective Forecasting,Psychological Science,batch0011/a001015/a001015_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001051,"Scholl, Annika; Sassenberg, Kai; Pfattheicher, Stefan",2019,Pressured to be excellent? Social identification prevents negative affect from high university excellence norms,Journal of Experimental Social Psychology,batch0011/a001051/a001051_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001058,"Driessche, Charlotte Van den; Bastian, Mikaël; Peyre, Hugo; Stordeur, Coline; Acquaviva, Éric; Bahadori, Sara; Delorme, Richard; Sackur, Jérôme",2017,Attentional Lapses in Attention-Deficit/Hyperactivity Disorder: Blank Rather Than Wandering Thoughts,Psychological Science,batch0011/a001058/a001058_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001072,"Greenaway, Katharine H.; Kalokerinos, Elise K.; Murphy, Sean C.; McIlroy, Thomas",2018,Winners are grinners: Expressing authentic positive emotion enhances status in performance contexts,Journal of Experimental Social Psychology,batch0011/a001072/a001072_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001091,"Ambrosini, Ettore; Arbula, Sandra; Rossato, Chiara; Pacella, Valentina; Vallesi, Antonino",2019,Neuro-cognitive architecture of executive functions: A latent variable analysis,Cortex,batch0011/a001091/a001091_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001110,"Cuddy, Amy J. C.; Schultz, S. Jack; Fosse, Nathan E.",2018,<i>P</i> -Curving a More Comprehensive Body of Research on Postural Feedback Reveals Clear Evidential Value for Power-Posing Effects: Reply to Simmons and Simonsohn (2017),Psychological Science,batch0011/a001110/a001110_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001125,"Reynolds, Tania; Baumeister, Roy F.; Maner, Jon K.",2018,Competitive reputation manipulation: Women strategically transmit social information about romantic rivals,Journal of Experimental Social Psychology,batch0011/a001125/a001125_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001154,"Kartik, Navin; Weelden, Richard Van; Wolton, Stephane",2017,Electoral Ambiguity and Political Representation,American Journal of Political Science,batch0011/a001154/a001154_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001183,"Gilead, Michael; Liberman, Nira",2014,We Take Care of Our Own: Caregiving Salience Increases Out-Group Bias in Response to Out-Group                     Threat,Psychological Science,batch0011/a001183/a001183_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001190,"Hawkins, Robert X. D.; Smith, Eric N.; Au, Carolyn; Arias, Juan Miguel; Catapano, Rhia; Hermann, Eric; Keil, Martin; Lampinen, Andrew; Raposo, Sarah; Reynolds, Jesse; Salehi, Shima; Salloum, Justin; Tan, Jed; Frank, Michael C.",2018,Improving the Replicability of Psychological Science Through Pedagogy,Advances in Methods and Practices in Psychological Science,batch0011/a001190/a001190_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001349,"Shaw, Alex; Choshen-Hillel, Shoham; Caruso, Eugene M.",2016,The Development of Inequity Aversion: Understanding When (and Why) People Give Others the Bigger Piece of the Pie,Psychological Science,batch0011/a001349/a001349_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001385,"Kim, Heejung S.; Sherman, David K.; Updegraff, John A.",2016,Fear of Ebola: The Influence of Collectivism on Xenophobic Threat Responses,Psychological Science,batch0011/a001385/a001385_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001416,"Sloman, Steven A.; Rabb, Nathaniel",2016,Your Understanding Is My Understanding: Evidence for a Community of Knowledge,Psychological Science,batch0011/a001416/a001416_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001443,"Farmer, George D.; Baron-Cohen, Simon; Skylark, William J.",2017,People With Autism Spectrum Conditions Make More Consistent Decisions,Psychological Science,batch0011/a001443/a001443_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001450,"Everaert, Jonas; Bronstein, Michael V.; Cannon, Tyrone D.; Joormann, Jutta",2018,Looking Through Tinted Glasses: Depression and Social Anxiety Are Related to Both Interpretation Biases and Inflexible Negative Interpretations,Clinical Psychological Science,batch0011/a001450/a001450_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001476,"Sommet, Nicolas; Morselli, Davide; Spini, Dario",2018,Income Inequality Affects the Psychological Health of Only the People Facing Scarcity,Psychological Science,batch0011/a001476/a001476_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001607,"Fu, Lisha; Yu, Junjie; Ni, Shiguang; Li, Hong",2018,Reduced framing effect: Experience adjusts affective forecasting with losses,Journal of Experimental Social Psychology,batch0011/a001607/a001607_article.pdf
batch0011,sophia,2020-04-03,2020-04-03,a001659,"Falagiarda, Federica; Collignon, Olivier",2019,Time-resolved discrimination of audio-visual emotion expressions,Cortex,batch0011/a001659/a001659_article.pdf
batch0012,kongmanas,2020-04-03,2020-04-03,a000042,"Moon, Jordan W.; Krems, Jaimie Arona; Cohen, Adam B.",2018,Religious People Are Trusted Because They Are Viewed as Slow Life-History Strategists,Psychological Science,batch0012/a000042/a000042_article.pdf
batch0012,kongmanas,2020-04-03,2020-04-03,a000074,"Pinsof, David; Haselton, Martie",2016,The Political Divide Over Same-Sex Marriage: Mating Strategies in Conflict?,Psychological Science,batch0012/a000074/a000074_article.pdf
batch0012,kongmanas,2020-04-03,2020-04-03,a000119,"Hsu, Nina S.; Novick, Jared M.",2016,Dynamic Engagement of Cognitive Control Modulates Recovery From Misinterpretation During Real-Time Language Processing,Psychological Science,batch0012/a000119/a000119_article.pdf
