"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other"
"a000085","yes",,"yes",,"yes",,"osf.io/zudxp","yes",,"osf.io/zudxp","yes",,"yes",
"a000088","yes",,"yes",,"yes",,"osf.io/6u4wh","yes",,"osf.io/6u4wh","yes",,"yes",
"a000089","yes",,"yes",,"yes",,"osf.io/3htpj","yes",,"osf.io/3htpj","yes",,"yes",
"a000090","yes",,"yes",,"yes",,"osf.io/e9mhc","yes",,"osf.io/e9mhc","yes",,"yes",
"a000093","yes",,"yes",,"yes",,"osf.io/uyadw","yes",,"osf.io/uyadw","yes",,"yes",
"a000096","yes",,"yes",,"yes",,"osf.io/9246v","yes",,"osf.io/9246v","yes",,"yes",
"a000097","yes",,"yes",,"yes",,"osf.io/tqzkd","yes",,"osf.io/tqzkd","yes",,"yes",
"a000098","yes",,"yes",,"yes",,"osf.io/nft5c","yes",,"osf.io/nft5c","yes",,"yes",
"a000099","yes",,"yes",,"yes",,"osf.io/4dau5","yes",,"osf.io/4dau5","yes",,"yes",
"a000100","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/Z6SDM","yes",,"osf.io/z6sdm","yes",,"yes",
"a000101","yes",,"yes",,"yes",,"osf.io/etrcd","yes",,"osf.io/etrcd","yes",,"yes",
"a000103","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/VEPHLS","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VEPHLS","yes",,"yes",
"a000104","yes",,"yes",,"yes",,"thedata.harvard.edu/dvn/dv/kenswan","other","link works, but is to a list of the user's data projects on the site. Fortunately there is only one data repo in the list, so it is a two-step url hop","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095","yes",,"yes",
"a000105","yes",,"yes",,"yes",,"osf.io/4zwsd","yes",,"osf.io/4zwsd","yes",,"yes",
"a000106","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/CQXHTH","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CQXHTH","yes",,"yes",
"a000107","yes",,"yes",,"yes",,"osf.io/4bsw8","yes",,"osf.io/4bsw8","yes",,"yes",
"a000108","yes",,"yes",,"yes",,"doi.org/10.5061/dryad.cn20jv8","yes",,"datadryad.org/stash/dataset/doi:10.5061/dryad.cn20jv8","yes",,"yes",
"a000109","yes",,"yes",,"yes",,"osf.io/2ckz9","yes",,"osf.io/2ckz9","yes",,"yes",
"a000110","yes",,"yes",,"yes",,"osf.io/4d2ve","yes",,"osf.io/4d2ve","yes",,"yes",
"a000112","yes",,"no",,"yes",,"osf.io/wcuhx","yes",,"osf.io/wcuhx","yes",,"yes",
"a000115","yes",,"yes",,"yes",,"osf.io/m35b8","yes",,"osf.io/m35b8","yes",,"yes",
"a000116","yes",,"yes",,"yes",,"osf.io/gzytb","yes",,"osf.io/gzytb","yes",,"yes",
"a000117","yes",,"yes",,"yes",,"archaeologydataservice.ac.uk/archives/view/greylit","yes",,"archaeologydataservice.ac.uk/archives/view/greylit","no",,,
"a000118","yes",,"yes",,"yes",,"osf.io/b5sar","yes",,"osf.io/b5sar","yes",,"yes",
"a000119","yes",,"yes",,"yes",,"osf.io/3ymbu","yes",,"osf.io/3ymbu","yes",,"yes",
"a000121","yes",,"yes",,"yes",,"osf.io/cgydx","yes",,"osf.io/cgydx","yes",,"yes",
"a000122","yes",,"yes",,"yes",,"osf.io/j5zyf","yes",,"osf.io/j5zyf","yes",,"yes",
"a000123","yes",,"yes",,"yes",,"osf.io/x6wcb","yes",,"osf.io/x6wcb","yes",,"yes",
"a000127","yes",,"yes",,"yes",,"osf.io/ezqft","other","the encoding of the hyperlink in the pdf is garbled but it is still unambiguous what the url to data is","osf.io/ezqft","yes",,"yes",
"a000128","yes",,"yes",,"yes",,"osf.io/dbuh4","yes",,"osf.io/dbuh4","yes",,"yes",
"a000130","yes",,"yes",,"yes",,"osf.io/pr39h","yes",,"osf.io/pr39h","yes",,"yes",
"a000131","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910","yes",,"yes",
"a000131","yes",,"yes",,"yes",,"osf.io/p97fk","yes",,"osf.io/p97fk","yes",,"yes",
"a000132","yes",,"yes",,"yes",,"osf.io/z6ryh","yes",,"osf.io/z6ryh","yes",,"yes",
"a000132","yes",,"yes",,"yes",,"www.pairfam.de/en/data/data-access","other","the url as given automatically redirects to the home page (due to lack of https). Links need to be followed from the main page in order to get to the intended page","www.pairfam.de/en/data/data-access","other","application and approval and possibly payment is required before access to files is possible","no",
"a000133","yes",,"yes",,"yes",,"osf.io/453ds","yes",,"osf.io/453ds","yes",,"yes",
"a000134","yes",,"yes",,"yes",,"osf.io/b8zft","yes",,"osf.io/b8zft","yes",,"yes",
"a000136","yes",,"yes",,"yes",,"osf.io/9d6t4","other","the encoding of the hyperlink in the pdf is garbled (line break) but it is still unambiguous what the url to data is","osf.io/9d6t4","yes",,"yes",
"a000138","yes",,"yes",,"yes",,"doi.org/10.21985/N2VR0V","yes",,"arch.library.northwestern.edu/concern/generic_works/8336h212d","yes",,"yes",
"a000139","yes",,"yes",,"yes",,"osf.io/vsnj3","yes",,"osf.io/vsnj3","yes",,"yes",
"a000140","yes",,"yes",,"yes",,"osf.io/4fpkn","yes",,"osf.io/4fpkn","yes",,"yes",
"a000141","yes",,"yes",,"yes",,"osf.io/7tssz","yes",,"osf.io/7tssz","yes",,"yes",
"a000142","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/WD3IUA","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA","yes",,"yes",
"a000143","yes",,"yes",,"yes",,"osf.io/8cq5f","yes",,"osf.io/8cq5f","yes",,"yes",
"a000144","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/EZSJ1S","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EZSJ1S","yes",,"yes",
"a000145","yes",,"yes",,"yes",,"osf.io/cwq75","yes",,"osf.io/cwq75","yes",,"yes",
"a000146","yes",,"yes",,"other","original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project","osf.io/8x6dw","yes",,"osf.io/8x6dw","yes",,"yes",
"a000146","yes",,"yes",,"other","original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project","osf.io/j8wdv","yes",,"osf.io/j8wdv","yes",,"yes",
"a000147","yes",,"yes",,"yes",,"osf.io/cwenz","yes",,"osf.io/cwenz","yes",,"yes",
"a000148","yes",,"yes",,"yes",,"osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6","yes",,"osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6","yes",,"yes",
"a000148","yes",,"yes",,"yes",,"osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7","yes",,"osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7","yes",,"yes",
"a000149","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/7TA47E","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7TA47E","yes",,"yes",
"a000151","yes",,"yes",,"yes",,"osf.io/ugdcz","yes",,"osf.io/ugdcz","yes",,"yes",
"a000152","yes",,"yes",,"yes",,"dx.doi.org//10.17632/948rskffhd.2","yes",,"data.mendeley.com/datasets/948rskffhd/2","yes",,"yes",
"a000153","yes",,"yes",,"yes",,"osf.io/du9ws","yes",,"osf.io/du9ws","yes",,"yes",
"a000154","yes",,"yes",,"yes",,"osf.io/usdq8","yes",,"osf.io/usdq8","yes",,"yes",
"a000156","yes",,"yes",,"yes",,"osf.io/3csng","yes",,"osf.io/3csng","yes",,"yes",
"a000157","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/EWRXPU","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EWRXPU","yes",,"yes",
"a000158","yes",,"yes",,"yes",,"doi.org/10.17632/yrpjzfmzpz.3","yes",,"data.mendeley.com/datasets/yrpjzfmzpz/3","yes",,"yes",
"a000159","yes",,"yes",,"yes",,"osf.io/t6gwf","yes",,"osf.io/t6gwf","yes",,"yes",
"a000160","yes",,"yes",,"yes",,"childes.talkbank.org","other","the link is to the repo home page; further searching required to find the datasets actually used (US: 'Brown','Providence','Bloom70','Kuczaj', 'Suppes', 'Sachs', UK: 'Manchester', 'Thomas')","childes.talkbank.org/access/Eng-UK/Manchester.html; https://childes.talkbank.org/access/Eng-UK/Thomas.html; https://childes.talkbank.org/access/Eng-NA/Brown.html; https://childes.talkbank.org/access/Eng-NA/Bloom.html; https://childes.talkbank.org/access/Eng-NA/Suppes.html; https://childes.talkbank.org/access/Eng-NA/Sachs.html; https://childes.talkbank.org/access/Eng-NA/Kuczaj.html; https://phonbank.talkbank.org/access/Eng-NA/Providence.html","yes",,"yes",
"a000160","yes",,"yes",,"yes",,"github.com/smeylan/determiner_learning","yes",,"github.com/smeylan/determiner_learning","yes",,"yes",
"a000162","yes",,"yes",,"yes",,"doi.pangaea.de/10.1594/PANGAEA.896587","yes",,"doi.pangaea.de/10.1594/PANGAEA.896587","yes",,"yes",
"a000163","yes",,"yes",,"yes",,"osf.io/d8wvt","yes",,"osf.io/d8wvt","yes",,"yes",
"a000164","yes",,"yes",,"yes",,"osf.io/28gxz","yes",,"osf.io/28gxz","yes",,"yes",
"a000165","yes",,"yes",,"yes",,"osf.io/uwzsb","yes",,"osf.io/uwzsb","yes",,"yes",
"a000167","yes",,"yes",,"yes",,"osf.io/b45vq","yes",,"osf.io/b45vq","yes",,"yes",
"a000168","yes",,"yes",,"yes",,"doi.org/10.3886/ICPSR21600.v17","yes",,"www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17","other","The v17 of the files is no longer available, superceded by v18-v21. v17 may be available upon request for replication purposes according to note on page.","no",
"a000169","yes",,"yes",,"yes",,"osf.io/4cg2s","yes",,"osf.io/4cg2s","yes",,"yes",
"a000170","yes",,"yes",,"yes",,"osf.io/23gc4","yes",,"osf.io/23gc4","yes",,"yes",
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.cbbba251c17b55c737836768c8737589","yes",,"partial","Link contains 31 separate XML files to download, just downloaded the first one"
"a000171","yes",,"yes",,"yes",,"doi.org/10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73","yes",,"snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73","yes",,"partial","Link contains over 30 separate XML files to download, just downloaded the first one"
"a000174","yes",,"yes",,"yes",,"osf.io/msphv","yes",,"osf.io/msphv","yes",,"yes",
"a000174","yes",,"yes",,"yes",,"osf.io/yegrv","yes",,"osf.io/yegrv","yes",,"yes",
"a000175","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/BPON3K","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K","yes",,"yes",
"a000176","yes",,"yes",,"yes",,"osf.io/5ybhd","yes",,"osf.io/5ybhd","yes",,"yes",
"a000177","yes",,"yes",,"yes",,"osf.io/r3eca","yes",,"osf.io/r3eca","yes",,"yes",
"a000178","yes",,"yes",,"yes",,"osf.io/ydpbf","yes",,"osf.io/ydpbf","yes",,"yes",
"a000180","yes",,"yes",,"yes",,"osf.io/6krj7","yes",,"osf.io/6krj7","yes",,"yes",
"a000181","yes",,"yes",,"yes",,"osf.io/jkbm9","yes",,"osf.io/jkbm9","yes",,"yes",
"a000182","yes",,"yes",,"yes",,"osf.io/emk5j","yes",,"osf.io/emk5j","yes",,"yes",
"a000183","yes",,"no",,"yes",,"osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0","yes",,"osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0","yes",,"yes",
"a000185","yes",,"yes",,"yes",,"osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379","yes",,"osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379","yes",,"yes",
"a000186","yes",,"yes",,"yes",,"osf.io/92ahy","yes",,"osf.io/92ahy","yes",,"yes",
"a000187","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/C4WN8","yes",,"osf.io/c4wn8","yes",,"yes",
"a000188","yes",,"yes",,"yes",,"osf.io/zg427","yes",,"osf.io/zg427","yes",,"yes",
"a000189","yes",,"yes",,"yes",,"osf.io/xv645","yes",,"osf.io/xv645","yes",,"yes",
"a000191","yes",,"yes",,"yes",,"osf.io/3mftr","yes",,"osf.io/3mftr","yes",,"yes",
"a000192","yes",,"yes",,"yes",,"osf.io/B2478","yes",,"osf.io/B2478","yes",,"yes",
"a000192","yes",,"yes",,"yes",,"osf.io/G4C7Z","yes",,"osf.io/G4C7Z","yes",,"yes",
"a000193","yes",,"yes",,"yes",,"osf.io/seqgd","yes",,"osf.io/seqgd","yes",,"yes",
"a000194","yes",,"yes",,"yes",,"osf.io/6wxgf","yes",,"osf.io/6wxgf","yes",,"yes",
"a000195","yes",,"yes",,"yes",,"osf.io/Z5TE6","yes",,"osf.io/Z5TE6","yes",,"yes",
"a000196","yes",,"yes",,"yes",,"osf.io/9v34x","yes",,"osf.io/9v34x","yes",,"yes",
"a000197","yes",,"yes",,"yes",,"osf.io/946vb","yes",,"osf.io/946vb","yes",,"yes",
"a000199","yes",,"yes",,"yes",,"osf.io/p2z8a","yes",,"osf.io/p2z8a","yes",,"yes",
"a000202","yes",,"yes",,"yes",,"osf.io/dv7ab","yes",,"osf.io/dv7ab","yes",,"yes",
"a000203","yes",,"yes",,"yes",,"osf.io/c5kme","yes",,"osf.io/c5kme","yes",,"yes",
"a000205","yes",,"yes",,"yes",,"osf.io/g6tnd","yes",,"osf.io/g6tnd","yes",,"yes",
"a000206","yes",,"yes",,"yes",,"osf.io/afdkq","yes",,"osf.io/afdkq","yes",,"yes",
"a000207","yes",,"yes",,"yes",,"osf.io/bx8zv","yes",,"osf.io/bx8zv","yes",,"yes",
"a000208","yes",,"yes",,"yes",,"osf.io/3c4ue","yes",,"osf.io/3c4ue","yes",,"yes",
"a000210","yes",,"yes",,"yes",,"doi.pangaea.de/10.1594/PANGAEA.885886","yes",,"doi.pangaea.de/10.1594/PANGAEA.885886","yes",,"yes",
"a000211","yes",,"yes",,"yes",,"osf.io/8gyns","yes",,"osf.io/8gyns","yes",,"yes",
"a000212","yes",,"yes",,"yes",,"osf.io/cu8jv","yes",,"osf.io/cu8jv","yes",,"yes",
"a000213","yes",,"yes",,"yes",,"osf.io/aj98f","yes",,"osf.io/aj98f","yes",,"yes",
"a000214","yes",,"yes",,"yes",,"osf.io/8aw9r","yes",,"osf.io/8aw9r","yes",,"yes",
"a000215","yes",,"yes",,"yes",,"osf.io/kfdca","yes",,"osf.io/kfdca","yes",,"yes",
"a000216","yes",,"no",,"yes",,"osf.io/9nq3c","yes",,"osf.io/9nq3c","yes",,"yes",
"a000217","yes",,"yes",,"yes",,"osf.io/wk3ve","yes",,"osf.io/wk3ve","yes",,"yes",
"a000219","yes",,"yes",,"yes",,"dx.doi.org/10.1016/j.jesp.2017.07.005","yes",,"www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub","yes",,"yes",
"a000221","yes",,"yes",,"yes",,"osf.io/syjhd","yes",,"osf.io/syjhd","yes",,"yes",
"a000223","yes",,"yes",,"yes",,"osf.io/ybu6r","yes",,"osf.io/ybu6r","yes",,"yes",
"a000227","yes",,"yes",,"yes",,"doi.org/10.23684/odi-2017-00957","yes",,"open.canada.ca/data/en/dataset/e7484a20-99fa-4989-945b-3031d670d285","yes",,"yes",
"a000227","yes",,"yes",,"yes",,"doi.org/10.23684/odi-2017-00958","yes",,"open.canada.ca/data/en/dataset/150566dc-7f3b-4ba7-b65a-16f35b947a57","yes",,"yes",
