study_id,coder,link_number,link_url,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned
a000009,phuong,1,https://osf.io/x3ypv/,NA,https://osf.io/x3ypv/,osf.io/x3ypv,https://osf.io/x3ypv/,NA,https://osf.io/x3ypv/,osf.io/x3ypv
a000010,michelle,1,https://osf.io/6yhmp/,NA,https://osf.io/6yhmp/,osf.io/6yhmp,https://osf.io/6yhmp/,NA,https://osf.io/6yhmp/,osf.io/6yhmp
a000010,sophia,1,https://osf.io/6yhmp/,NA,https://osf.io/6yhmp/,osf.io/6yhmp,https://osf.io/6yhmp/,NA,https://osf.io/6yhmp/,osf.io/6yhmp
a000011,michelle,2,https://osf.io/x8rnq/,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,https://osf.io/x8rnq/,NA,https://osf.io/x8rnq/,osf.io/x8rnq
a000011,steve,2,https://osf.io/x8rnq/,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,https://osf.io/x8rnq/,NA,https://osf.io/x8rnq/,osf.io/x8rnq
a000011,michelle,1,http://www.ukbiobank.ac.uk/.,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,https://www.ukbiobank.ac.uk/,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk
a000011,sophia,1,https://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,https://www.ukbiobank.ac.uk/,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk
a000011,steve,1,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,https://www.ukbiobank.ac.uk/,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk
a000012,evelyn,1,http://www.osf.io/njea2,NA,http://www.osf.io/njea2,osf.io/njea2,http://www.osf.io/njea2,https://osf.io/njea2,https://osf.io/njea2,osf.io/njea2
a000012,phuong,1,https://osf.io/njea2,NA,https://osf.io/njea2,osf.io/njea2,https://osf.io/njea2,https://osf.io/njea2,https://osf.io/njea2,osf.io/njea2
a000013,adrian,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc
a000013,evelyn,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc
a000013,oliver,1,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc
a000015,michelle,1,https://osf.io/f3dh6,NA,https://osf.io/f3dh6,osf.io/f3dh6,https://osf.io/f3dh6/,NA,https://osf.io/f3dh6/,osf.io/f3dh6
a000015,oliver,1,osf.io/f3dh6/,NA,osf.io/f3dh6/,osf.io/f3dh6,https://osf.io/f3dh6/,NA,https://osf.io/f3dh6/,osf.io/f3dh6
a000016,kongmanas,1,https://osf.io/cp76s,NA,https://osf.io/cp76s,osf.io/cp76s,https://osf.io/cp76s,https://osf.io/cp76s,https://osf.io/cp76s,osf.io/cp76s
a000016,oliver,1,osf.io/cp76s/,NA,osf.io/cp76s/,osf.io/cp76s,osf.io/cp76s/files/,https://osf.io/cp76s,https://osf.io/cp76s,osf.io/cp76s
a000017,michelle,1,osf.io/yw9us,NA,osf.io/yw9us,osf.io/yw9us,https://osf.io/yw9us/,NA,https://osf.io/yw9us/,osf.io/yw9us
a000017,sophia,1,osf.io/yw9us,NA,osf.io/yw9us,osf.io/yw9us,https://osf.io/yw9us/,NA,https://osf.io/yw9us/,osf.io/yw9us
a000018,phuong,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9
a000018,sophia,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9
a000019,aniruddah,1,https://doi.org/10.17605/OSF.IO/YVE8F,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,https://osf.io/yve8f/,NA,https://osf.io/yve8f/,osf.io/yve8f
a000019,matthew,1,https://doi.org/10.17605/OSF.IO/YVE8F,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,https://osf.io/yve8f/,NA,https://osf.io/yve8f/,osf.io/yve8f
a000019,sophia,1,https://doi.org/10.17605/OSF.IO/YVE8F,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,https://osf.io/yve8f/,NA,https://osf.io/yve8f/,osf.io/yve8f
a000020,michelle,1,http://reshare.ukdataservice.ac.uk/852658/,NA,http://reshare.ukdataservice.ac.uk/852658/,reshare.ukdataservice.ac.uk/852658,http://reshare.ukdataservice.ac.uk/852658/,NA,http://reshare.ukdataservice.ac.uk/852658/,reshare.ukdataservice.ac.uk/852658
a000020,sophia,1,http://reshare.ukdataservice.ac.uk/852658/,NA,http://reshare.ukdataservice.ac.uk/852658/,reshare.ukdataservice.ac.uk/852658,http://reshare.ukdataservice.ac.uk/852658/,NA,http://reshare.ukdataservice.ac.uk/852658/,reshare.ukdataservice.ac.uk/852658
a000022,evelyn,1,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,NA,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,NA,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None
a000022,kongmanas,1,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,NA,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,NA,https://osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None
a000023,kongmanas,1,https://osf.io/jbq9v,NA,https://osf.io/jbq9v,osf.io/jbq9v,https://osf.io/jbq9v/,NA,https://osf.io/jbq9v/,osf.io/jbq9v
a000023,michelle,1,https://osf.io/jbq9v,NA,https://osf.io/jbq9v,osf.io/jbq9v,https://osf.io/jbq9v/,NA,https://osf.io/jbq9v/,osf.io/jbq9v
a000024,kongmanas,1,https://osf.io/jrmk4/,NA,https://osf.io/jrmk4/,osf.io/jrmk4,https://osf.io/jrmk4/,NA,https://osf.io/jrmk4/,osf.io/jrmk4
a000024,sophia,1,https://osf.io/jrmk4/,NA,https://osf.io/jrmk4/,osf.io/jrmk4,https://osf.io/jrmk4/,NA,https://osf.io/jrmk4/,osf.io/jrmk4
a000024,kongmanas,2,https://osf.io/z68ku/,NA,https://osf.io/z68ku/,osf.io/z68ku,https://osf.io/z68ku/,NA,https://osf.io/z68ku/,osf.io/z68ku
a000024,sophia,2,https://osf.io/z68ku/,NA,https://osf.io/z68ku/,osf.io/z68ku,https://osf.io/z68ku/,NA,https://osf.io/z68ku/,osf.io/z68ku
a000025,aniruddah,1,https://osf.io/kz53g/,NA,https://osf.io/kz53g/,osf.io/kz53g,https://osf.io/kz53g/,NA,https://osf.io/kz53g/,osf.io/kz53g
a000025,oliver,1,osf.io/kz53g/,NA,osf.io/kz53g/,osf.io/kz53g,https://osf.io/kz53g/,NA,https://osf.io/kz53g/,osf.io/kz53g
a000029,michelle,1,https://osf.io/k67ba/,NA,https://osf.io/k67ba/,osf.io/k67ba,https://osf.io/k67ba/,NA,https://osf.io/k67ba/,osf.io/k67ba
a000029,phuong,1,https://osf.io/k67ba/,NA,https://osf.io/k67ba/,osf.io/k67ba,https://osf.io/k67ba/,NA,https://osf.io/k67ba/,osf.io/k67ba
a000030,evelyn,1,http://dx.doi.org/10.7910/DVN/ZSYWHO,NA,http://dx.doi.org/10.7910/DVN/ZSYWHO,dx.doi.org/10.7910/DVN/ZSYWHO,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO
a000030,sophia,1,http://dx.doi.org/10.7910/DVN/ZSYWHO,NA,http://dx.doi.org/10.7910/DVN/ZSYWHO,dx.doi.org/10.7910/DVN/ZSYWHO,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO
a000031,evelyn,1,https://scholarbank.nus.edu.sg/handle/10635/150104,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104
a000031,sophia,2,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104
a000031,steve,2,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104
a000031,evelyn,2,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?
a000031,sophia,1,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?
a000031,steve,1,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?
a000032,andy,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406
a000032,steve,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406
a000033,evelyn,1,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx
a000033,nguyenlam,1,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx
a000033,phuong,1,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx,https://osf.io/h67mx/,NA,https://osf.io/h67mx/,osf.io/h67mx
a000035,michelle,1,https://osf.io/9tu5r/,NA,https://osf.io/9tu5r/,osf.io/9tu5r,https://osf.io/9tu5r/,NA,https://osf.io/9tu5r/,osf.io/9tu5r
a000035,sophia,1,https://osf.io/9tu5r/,NA,https://osf.io/9tu5r/,osf.io/9tu5r,https://osf.io/9tu5r/,NA,https://osf.io/9tu5r/,osf.io/9tu5r
a000036,michelle,1,https://osf.io/g9yrc,NA,https://osf.io/g9yrc,osf.io/g9yrc,https://osf.io/g9yrc,NA,https://osf.io/g9yrc,osf.io/g9yrc
a000036,sophia,1,https://osf.io/g9yrc/,NA,https://osf.io/g9yrc/,osf.io/g9yrc,https://osf.io/g9yrc/,NA,https://osf.io/g9yrc/,osf.io/g9yrc
a000037,evelyn,1,http://hdl.handle.net/11633/aabxbkd7,NA,http://hdl.handle.net/11633/aabxbkd7,hdl.handle.net/11633/aabxbkd7,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?0,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234
a000037,phuong,1,http://hdl.handle.net/11633/aabxbkd7.,NA,http://hdl.handle.net/11633/aabxbkd7.,hdl.handle.net/11633/aabxbkd7,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?1,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234
a000038,evelyn,1,https://osf.io/6ayhs/,NA,https://osf.io/6ayhs/,osf.io/6ayhs,https://osf.io/6ayhs/,NA,https://osf.io/6ayhs/,osf.io/6ayhs
a000038,michelle,1,https://osf.io/6ayhs,NA,https://osf.io/6ayhs,osf.io/6ayhs,https://osf.io/6ayhs/,NA,https://osf.io/6ayhs/,osf.io/6ayhs
a000038,sophia,1,https://osf.io/6ayhs/,NA,https://osf.io/6ayhs/,osf.io/6ayhs,https://osf.io/6ayhs/,NA,https://osf.io/6ayhs/,osf.io/6ayhs
a000039,evelyn,1,https://doi.org/10.7910/DVN/7EWDRF,NA,https://doi.org/10.7910/DVN/7EWDRF,doi.org/10.7910/DVN/7EWDRF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF
a000039,michelle,1,https://doi.org/10.7910/DVN/7EWDRF,NA,https://doi.org/10.7910/DVN/7EWDRF,doi.org/10.7910/DVN/7EWDRF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF
a000040,aniruddah,1,https://osf.io/fkmbh/,NA,https://osf.io/fkmbh/,osf.io/fkmbh,https://osf.io/fkmbh/,NA,https://osf.io/fkmbh/,osf.io/fkmbh
a000040,sophia,1,https://osf.io/fkmbh/,NA,https://osf.io/fkmbh/,osf.io/fkmbh,https://osf.io/fkmbh/,NA,https://osf.io/fkmbh/,osf.io/fkmbh
a000041,evelyn,1,http://doi.org/10.17605/OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,doi.org/10.17605/OSF.IO/GDTPM,https://osf.io/gdtpm/,NA,https://osf.io/gdtpm/,osf.io/gdtpm
a000041,kongmanas,1,http://doi.org/10.17605/OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,doi.org/10.17605/OSF.IO/GDTPM,https://osf.io/gdtpm/,NA,https://osf.io/gdtpm/,osf.io/gdtpm
a000041,oliver,1,OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,http://doi.org/10.17605/OSF.IO/GDTPM,doi.org/10.17605/OSF.IO/GDTPM,https://osf.io/gdtpm/,NA,https://osf.io/gdtpm/,osf.io/gdtpm
a000042,kongmanas,1,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,NA,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,NA,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8
a000042,michelle,1,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,NA,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,NA,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8
a000043,aniruddah,1,osf.io/tmdvn,NA,osf.io/tmdvn,osf.io/tmdvn,https://osf.io/tmdvn/,NA,https://osf.io/tmdvn/,osf.io/tmdvn
a000043,michelle,1,https://osf.io/tmdvn/,NA,https://osf.io/tmdvn/,osf.io/tmdvn,https://osf.io/tmdvn/,NA,https://osf.io/tmdvn/,osf.io/tmdvn
a000043,sophia,1,https://osf.io/tmdvn/,NA,https://osf.io/tmdvn/,osf.io/tmdvn,https://osf.io/tmdvn/,NA,https://osf.io/tmdvn/,osf.io/tmdvn
a000044,evelyn,1,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj
a000044,phuong,1,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj
a000044,sophia,1,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj,https://osf.io/2pgtj/,NA,https://osf.io/2pgtj/,osf.io/2pgtj
a000045,michelle,1,osf.io/u2xct,NA,osf.io/u2xct,osf.io/u2xct,https://osf.io/u2xct/,NA,https://osf.io/u2xct/,osf.io/u2xct
a000045,oliver,1,osf.io/u2xct/,NA,osf.io/u2xct/,osf.io/u2xct,https://osf.io/u2xct/,NA,https://osf.io/u2xct/,osf.io/u2xct
a000045,sophia,1,https://osf.io/u2xct/,NA,https://osf.io/u2xct/,osf.io/u2xct,https://osf.io/u2xct/,NA,https://osf.io/u2xct/,osf.io/u2xct
a000046,michelle,1,http://osf.io/dkqfn,NA,http://osf.io/dkqfn,osf.io/dkqfn,https://osf.io/dkqfn/,NA,https://osf.io/dkqfn/,osf.io/dkqfn
a000046,phuong,1,https://osf.io/dkqfn/,NA,https://osf.io/dkqfn/,osf.io/dkqfn,https://osf.io/dkqfn/,NA,https://osf.io/dkqfn/,osf.io/dkqfn
a000047,sophia,1,https://osf.io/g3rnt/,https://osf.io/g3rnt/,https://osf.io/g3rnt/,osf.io/g3rnt,https://osf.io/g3rnt/,NA,https://osf.io/g3rnt/,osf.io/g3rnt
a000047,steve,1,https://osf.io/g3rnt/,https://osf.io/g3rnt/,https://osf.io/g3rnt/,osf.io/g3rnt,https://osf.io/g3rnt/,NA,https://osf.io/g3rnt/,osf.io/g3rnt
a000048,andy,1,https://osf.io/cpmfk/,https://osf.io/cpmfk/,https://osf.io/cpmfk/,osf.io/cpmfk,https://osf.io/cpmfk/,NA,https://osf.io/cpmfk/,osf.io/cpmfk
a000048,evelyn,1,https://osf.io/cpmfk/,https://osf.io/cpmfk/,https://osf.io/cpmfk/,osf.io/cpmfk,https://osf.io/cpmfk/,NA,https://osf.io/cpmfk/,osf.io/cpmfk
a000048,steve,1,https://osf.io/cpmfk/,https://osf.io/cpmfk/,https://osf.io/cpmfk/,osf.io/cpmfk,https://osf.io/cpmfk/,NA,https://osf.io/cpmfk/,osf.io/cpmfk
