"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other","is_repository","repository_name","all_notes","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","flag_credentials_required","final_download_success","final_download_success2"
"a000016","yes",,"yes",,"yes",,"osf.io/cp76s","yes",,"osf.io/cp76s","yes",,"yes",,"yes","Open Science Framework","kongmanas: I didn't have any problems with this article; oliver: (no note made)",2019,"Wilson, Corinne S.; Bach, Martin D.; Ashkavand, Zahra; Norman, Kenneth R.; Martino, Nina; Adam, Alejandro P.; Mongin, Alexander A.","Metabolic constraints of swelling-activated glutamate release in astrocytes and their implication for ischemic tissue damage","Journal of Neurochemistry","1471-4159","10.1111/jnc.14711","255-272","2",151,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000017","yes",,"yes",,"yes",,"osf.io/yw9us","yes",,"osf.io/yw9us","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2019,"Walasek, Lukasz; Juanchich, Marie; Sirota, Miroslav","Adaptive cooperation in the face of social exclusion","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.11.005","35-46",,82,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000018","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","yes",,"yes",,"yes","Harvard Dataverse","phuong: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2018,"Devitt, Aleea L.; Schacter, Daniel L.","An Optimistic Outlook Creates a Rosy Past: The Impact of Episodic Simulation on Subsequent Memory","Psychological Science","0956-7976, 1467-9280","10.1177/0956797617753936","936-946","6",29,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000019","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/YVE8F","yes",,"osf.io/yve8f","yes",,"yes",,"yes","Open Science Framework","aniruddah: No issues with this article.; matthew: No problems with this article; sophia: I didn't have any problems with this article",2019,"Fousiani, Kyriaki; Michaelides, Michalis; Dimitropoulou, Panagiota","The effects of ethnic group membership on bullying at school: when do observers dehumanize bullies?","The Journal of Social Psychology","0022-4545","10.1080/00224545.2018.1505709","431-442","4",159,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000020","yes",,"yes",,"yes",,"reshare.ukdataservice.ac.uk/852658","yes",,"reshare.ukdataservice.ac.uk/852658","yes",,"yes",,"yes","ReShare (UK Data Service)","michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2017,"Ellefson, Michelle R.; Ng, Florrie Fei-Yin; Wang, Qian; Hughes, Claire","Efficiency of Executive Function: A Two-Generation Cross-Cultural Comparison of Samples From Hong Kong and the United Kingdom","Psychological Science","0956-7976","10.1177/0956797616687812","555-566","5",28,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000022","yes",,"yes",,"yes",,"osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","yes",,"osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; kongmanas: I didn't have any problems with this article",2019,"Porter, Tracy H.; Gerhardt, Megan W.; Fields, Dail; Bugenhagen, Marilyn","An exploratory study of gender and motivation to lead in millennials","The Journal of Social Psychology","0022-4545","10.1080/00224545.2019.1570902","138-152","2",159,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000023","yes",,"yes",,"yes",,"osf.io/jbq9v","yes",,"osf.io/jbq9v","yes",,"yes",,"yes","Open Science Framework","kongmanas: I didn't have any problems with this article; michelle: I didn't have any problems with this article",2017,"Nave, Gideon; Nadler, Amos; Zava, David; Camerer, Colin","Single-Dose Testosterone Administration Impairs Cognitive Reflection in Men","Psychological Science","0956-7976","10.1177/0956797617709592","1398-1407","10",28,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000024","yes",,"yes",,"yes",,"osf.io/jrmk4","yes",,"osf.io/jrmk4","yes",,"yes",,"yes","Open Science Framework","kongmanas: I didn't have any problems with this article; kongmanas: I didn't have any problems with this article; sophia: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2017,"Handron, Caitlin; Kirby, Teri A.; Wang, Jennifer; Matskewich, Helena E.; Cheryan, Sapna","Unexpected Gains: Being Overweight Buffers Asian Americans From Prejudice Against Foreigners","Psychological Science","0956-7976","10.1177/0956797617720912","1214-1227","9",28,TRUE,TRUE,TRUE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000024","yes",,"yes",,"yes",,"osf.io/z68ku","yes",,"osf.io/z68ku","yes",,"yes",,"yes","Open Science Framework","kongmanas: I didn't have any problems with this article; kongmanas: I didn't have any problems with this article; sophia: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2017,"Handron, Caitlin; Kirby, Teri A.; Wang, Jennifer; Matskewich, Helena E.; Cheryan, Sapna","Unexpected Gains: Being Overweight Buffers Asian Americans From Prejudice Against Foreigners","Psychological Science","0956-7976","10.1177/0956797617720912","1214-1227","9",28,TRUE,TRUE,TRUE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000025","yes",,"yes",,"yes",,"osf.io/kz53g","yes",,"osf.io/kz53g","yes",,"yes",,"yes","Open Science Framework","aniruddah: No issues with this article.; oliver: (no note made)",2018,"Fisher, Matthew; Keil, Frank C.","The Binary Bias: A Systematic Distortion in the Integration of Information","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618792256","1846-1858","11",29,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000029","yes",,"yes",,"yes",,"osf.io/k67ba","yes",,"osf.io/k67ba","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; phuong: I didn't have any problems with this article",2018,"Sened, Haran; Lazarus, Gal; Gleason, Marci E. J.; Rafaeli, Eshkol; Fleeson, William","The Use of Intensive Longitudinal Methods in Explanatory Personality Research","European Journal of Personality","1099-0984","10.1002/per.2143","269-285","3",32,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000030","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/ZSYWHO","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO","yes",,"yes",,"yes","Harvard Dataverse","evelyn: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2017,"Knutsen, Carl Henrik; Kotsadam, Andreas; Olsen, Eivind Hammersmark; Wig, Tore","Mining and Local Corruption in Africa","American Journal of Political Science","1540-5907","10.1111/ajps.12268","320-334","2",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000031","yes",,"yes",,"yes",,"doi.org/10.25540/3wd8-dffw","yes",,"scholarbank.nus.edu.sg/handle/10635/150104","other","Need to fill out a 'guestbook' and accept terms of use before being allowed to download","other","There was one file (scans.zip) which has status ""CLOSED; Request a copy""; this is because it has been superceded by a v2 of the file. Accessible scans file (Scans v2.zip) was 2.41GB - downloaded to check, but file not uploaded to Google Drive","yes","ScholarBank@NUS (National University of Singapore)","evelyn: Need to enter details to download files; evelyn: require to search for projects using the link; oliver: (no note made); oliver: (no note made); oliver: (no note made); sophia: (no note made); sophia: (no note made); steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement; steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset","Strategic Management Journal","1097-0266","10.1002/smj.3001","715-735","5",40,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000031","yes",,"yes",,"yes",,"five.dartmouth.edu/datasets","other","The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset","five.dartmouth.edu/view/7?","other","Need to be logged in to the FIVES site to view/download data files","no",,"no",,"evelyn: Need to enter details to download files; evelyn: require to search for projects using the link; oliver: (no note made); oliver: (no note made); oliver: (no note made); sophia: (no note made); sophia: (no note made); steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement; steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset","Strategic Management Journal","1097-0266","10.1002/smj.3001","715-735","5",40,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000032","yes",,"yes",,"yes",,"doi.org/10.6096/MISTRALS-HyMeX.1406","yes",,"mistrals.sedoo.fr/HyMeX/?editDatsId=1406","other","Account registration required","no",,"yes","SEDOO (Observatoire Midi-Pyrénées)","andy: (no note made); steve: Account required to access the HyMeX database",2018,"Bouvier, Christophe; Patris, Nicolas; Freydier, Rémi; Guilhe‐Batiot, Christelle; Seidel, Jean-Luc; Taupin, Jean-Denis; Brunet, Pascal; Remes, Aurore","The Floodscale experiment in the small catchment of Valescure, France: An overview of the isotopic and geochemical data base","Geoscience Data Journal","2049-6060","10.1002/gdj3.57","14-27","1",5,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","yes","account","yes"
"a000033","yes",,"yes",,"yes",,"osf.io/h67mx","yes",,"osf.io/h67mx","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; nguyenlam: There was a link to ""supplementary material "" at the journal's website - this link was ignored, since it just contains additional analysis, instead of data.; phuong: I didn't have any problems with this article",2018,"Bartholow, Bruce D.; Loersch, Chris; Ito, Tiffany A.; Levsen, Meredith P.; Volpert-Esmond, Hannah I.; Fleming, Kimberly A.; Bolls, Paul; Carter, Brooke K.","University-Affiliated Alcohol Marketing Enhances the Incentive Salience of Alcohol Cues","Psychological Science","0956-7976","10.1177/0956797617731367","83-94","1",29,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000035","yes",,"yes",,"yes",,"osf.io/9tu5r","yes",,"osf.io/9tu5r","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2015,"Birmingham, Elina; Stanley, Damian; Nair, Remya; Adolphs, Ralph","Implicit Social Biases in People With Autism","Psychological Science","0956-7976","10.1177/0956797615595607","1693-1705","11",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000036","yes",,"yes",,"yes",,"osf.io/g9yrc","yes",,"osf.io/g9yrc","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2019,"Yousif, Sami R.; Aboody, Rosie; Keil, Frank C.","The Illusion of Consensus: A Failure to Distinguish Between True and False Consensus","Psychological Science","0956-7976","10.1177/0956797619856844","1195-1204","8",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000037","yes",,"yes",,"yes",,"hdl.handle.net/11633/aabxbkd7","yes",,"data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234","yes",,"no",,"yes","Radboud Data Repository (Radboud University)","evelyn: Unable to download the files; phuong: (no note made)",2019,"Utzerath, Christian; Schmits, Iris C.; Kok, Peter; Buitelaar, Jan; de Lange, Floris P.","No evidence for altered up- and downregulation of brain activity in visual cortex during illusory shape perception in autism","Cortex","0010-9452","10.1016/j.cortex.2019.03.011","247-256",,117,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","yes","account","yes"
"a000038","yes",,"yes",,"yes",,"osf.io/6ayhs","yes",,"osf.io/6ayhs","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2018,"Neff, Kristin D.; Tóth‐Király, István; Colosimo, Ken","Self-compassion Is Best Measured as a Global Construct and Is Overlapping with but Distinct from Neuroticism: A Response to Pfattheicher, Geiger, Hartung, Weiss, and Schindler (2017)","European Journal of Personality","1099-0984","10.1002/per.2148","371-392","4",32,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000039","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/7EWDRF","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF","yes",,"yes",,"yes","Harvard Dataverse","evelyn: The total data file size was greater than 100MB; michelle: File now downloaded as size > 100MB",2018,"Bonica, Adam","Inferring Roll-Call Scores from Campaign Contributions Using Supervised Machine Learning","American Journal of Political Science","0092-5853","10.1111/ajps.12376","830-848","4",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000040","yes",,"yes",,"yes",,"osf.io/fkmbh","yes",,"osf.io/fkmbh","yes",,"yes",,"yes","Open Science Framework","aniruddah: No issues with this article.; sophia: I didn't have any problems with this article",2016,"Winczewski, Lauren A.; Bowen, Jeffrey D.; Collins, Nancy L.","Is Empathic Accuracy Enough to Facilitate Responsive Behavior in Dyadic Interaction? Distinguishing Ability From Motivation","Psychological Science","0956-7976","10.1177/0956797615624491","394-404","3",27,TRUE,TRUE,FALSE,FALSE,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000041","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/GDTPM","yes",,"osf.io/gdtpm","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; kongmanas: There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data; oliver: (no note made)",2017,"Fath, Sean; Proudfoot, Devon; Kay, Aaron C.","Effective to a fault: Organizational structure predicts attitudes toward minority organizations","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2017.10.003","290-297",,73,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000042","yes",,"yes",,"yes",,"osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","yes",,"osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","yes",,"yes",,"yes","Open Science Framework","kongmanas: I didn't have any problems with this article; michelle: I didn't have any problems with this article",2018,"Moon, Jordan W.; Krems, Jaimie Arona; Cohen, Adam B.","Religious People Are Trusted Because They Are Viewed as Slow Life-History Strategists","Psychological Science","0956-7976, 1467-9280","10.1177/0956797617753606","947-960","6",29,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000043","yes",,"yes",,"yes",,"osf.io/tmdvn","yes",,"osf.io/tmdvn","yes",,"yes",,"yes","Open Science Framework","aniruddah: Download was taking longer then 20 minutes, so voided.; michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2019,"Suzuki, Keisuke; Lush, Peter; Seth, Anil K.; Roseboom, Warrick","Intentional Binding Without Intentional Action","Psychological Science","0956-7976","10.1177/0956797619842191","842-853","6",30,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000044","yes",,"yes",,"yes",,"osf.io/2pgtj","yes",,"osf.io/2pgtj","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; phuong: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2018,"Hřebíčková, Martina; Mõttus, René; Graf, Sylvie; Jelínek, Martin; Realo, Anu","How Accurate Are National Stereotypes? A Test of Different Methodological Approaches","European Journal of Personality","1099-0984","10.1002/per.2146","87-99","2",32,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000045","yes",,"yes",,"yes",,"osf.io/u2xct","yes",,"osf.io/u2xct","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; oliver: (no note made); sophia: I didn't have any problems with this article",2019,"de Carvalho, Alex; He, Angela Xiaoxue; Lidz, Jeffrey; Christophe, Anne","Prosody and Function Words Cue the Acquisition of Word Meanings in 18-Month-Old Infants","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618814131","319-332","3",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","yes","yes","yes","no","yes","yes"
"a000046","yes",,"yes",,"yes",,"osf.io/dkqfn","yes",,"osf.io/dkqfn","yes",,"yes",,"yes","Open Science Framework","michelle: Data not downloaded as file was too big; phuong: (no note made)",2018,"Modjadidi, Karima; Kovera, Margaret Bull","Viewing videotaped identification procedure increases juror sensitivity to single-blind photo-array administration.","Law and Human Behavior","1573-661X, 0147-7307","10.1037/lhb0000288","244-257","3",42,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
