"study_id","link_url_cleaned","resolved_url_cleaned","is_repository","repository_name"
"a000110","osf.io/4d2ve","osf.io/4d2ve","yes","Open Science Framework"
"a000112","osf.io/wcuhx","osf.io/wcuhx","yes","Open Science Framework"
"a000115","osf.io/m35b8","osf.io/m35b8","yes","Open Science Framework"
"a000116","osf.io/gzytb","osf.io/gzytb","yes","Open Science Framework"
"a000117","archaeologydataservice.ac.uk/archives/view/greylit","archaeologydataservice.ac.uk/archives/view/greylit","yes","Archaeology Data Service"
"a000118","osf.io/b5sar","osf.io/b5sar","yes","Open Science Framework"
"a000119","osf.io/3ymbu","osf.io/3ymbu","yes","Open Science Framework"
"a000121","osf.io/cgydx","osf.io/cgydx","yes","Open Science Framework"
"a000122","osf.io/j5zyf","osf.io/j5zyf","yes","Open Science Framework"
"a000123","osf.io/x6wcb","osf.io/x6wcb","yes","Open Science Framework"
"a000127","osf.io/ezqft","osf.io/ezqft","yes","Open Science Framework"
"a000128","osf.io/dbuh4","osf.io/dbuh4","yes","Open Science Framework"
"a000130","osf.io/pr39h","osf.io/pr39h","yes","Open Science Framework"
"a000131","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910","yes","Harvard Dataverse"
"a000131","osf.io/p97fk","osf.io/p97fk","yes","Open Science Framework"
"a000132","osf.io/z6ryh","osf.io/z6ryh","yes","Open Science Framework"
"a000132","www.pairfam.de/en/data/data-access","www.pairfam.de/en/data/data-access","yes","Pairfam"
"a000133","osf.io/453ds","osf.io/453ds","yes","Open Science Framework"
"a000134","osf.io/b8zft","osf.io/b8zft","yes","Open Science Framework"
"a000136","osf.io/9d6t4","osf.io/9d6t4","yes","Open Science Framework"
"a000138","doi.org/10.21985/N2VR0V","arch.library.northwestern.edu/concern/generic_works/8336h212d","yes","Arch (Northwestern University)"
"a000139","osf.io/vsnj3","osf.io/vsnj3","yes","Open Science Framework"
"a000140","osf.io/4fpkn","osf.io/4fpkn","yes","Open Science Framework"
"a000141","osf.io/7tssz","osf.io/7tssz","yes","Open Science Framework"
"a000142","doi.org/10.7910/DVN/WD3IUA","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA","yes","Harvard Dataverse"
"a000143","osf.io/8cq5f","osf.io/8cq5f","yes","Open Science Framework"
"a000144","doi.org/10.7910/DVN/EZSJ1S","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EZSJ1S","yes","Harvard Dataverse"
"a000145","osf.io/cwq75","osf.io/cwq75","yes","Open Science Framework"
"a000146","osf.io/8x6dw","osf.io/8x6dw","yes","Open Science Framework"
"a000146","osf.io/j8wdv","osf.io/j8wdv","yes","Open Science Framework"
"a000147","osf.io/cwenz","osf.io/cwenz","yes","Open Science Framework"
"a000148","osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6","osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6","yes","Open Science Framework"
"a000148","osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7","osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7","yes","Open Science Framework"
"a000149","dx.doi.org/10.7910/DVN/7TA47E","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7TA47E","yes","Harvard Dataverse"
"a000151","osf.io/ugdcz","osf.io/ugdcz","yes","Open Science Framework"
"a000152","dx.doi.org//10.17632/948rskffhd.2","data.mendeley.com/datasets/948rskffhd/2","yes","Mendeley"
"a000153","osf.io/du9ws","osf.io/du9ws","yes","Open Science Framework"
"a000154","osf.io/usdq8","osf.io/usdq8","yes","Open Science Framework"
"a000156","osf.io/3csng","osf.io/3csng","yes","Open Science Framework"
"a000157","doi.org/10.7910/DVN/EWRXPU","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EWRXPU","yes","Harvard Dataverse"
"a000158","doi.org/10.17632/yrpjzfmzpz.3","data.mendeley.com/datasets/yrpjzfmzpz/3","yes","Mendeley"
"a000159","osf.io/t6gwf","osf.io/t6gwf","yes","Open Science Framework"
"a000160","childes.talkbank.org","childes.talkbank.org/access/Eng-UK/Manchester.html; https://childes.talkbank.org/access/Eng-UK/Thomas.html; https://childes.talkbank.org/access/Eng-NA/Brown.html; https://childes.talkbank.org/access/Eng-NA/Bloom.html; https://childes.talkbank.org/access/Eng-NA/Suppes.html; https://childes.talkbank.org/access/Eng-NA/Sachs.html; https://childes.talkbank.org/access/Eng-NA/Kuczaj.html; https://phonbank.talkbank.org/access/Eng-NA/Providence.html","yes","CHILDES/TalkBank"
"a000160","github.com/smeylan/determiner_learning","github.com/smeylan/determiner_learning","yes","Github"
"a000162","doi.pangaea.de/10.1594/PANGAEA.896587","doi.pangaea.de/10.1594/PANGAEA.896587","yes","PANGAEA"
"a000163","osf.io/d8wvt","osf.io/d8wvt","yes","Open Science Framework"
"a000164","osf.io/28gxz","osf.io/28gxz","yes","Open Science Framework"
"a000165","osf.io/uwzsb","osf.io/uwzsb","yes","Open Science Framework"
"a000167","osf.io/b45vq","osf.io/b45vq","yes","Open Science Framework"
"a000168","doi.org/10.3886/ICPSR21600.v17","www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17","yes","ICPSR"
"a000169","osf.io/4cg2s","osf.io/4cg2s","yes","Open Science Framework"
"a000170","osf.io/23gc4","osf.io/23gc4","yes","Open Science Framework"
"a000171","doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.cbbba251c17b55c737836768c8737589","yes","Seismic data Network Access Point (SNAP)"
"a000171","doi.org/10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73","snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73","yes","Seismic data Network Access Point (SNAP)"
"a000174","osf.io/msphv","osf.io/msphv","yes","Open Science Framework"
"a000174","osf.io/yegrv","osf.io/yegrv","yes","Open Science Framework"
"a000175","doi.org/10.7910/DVN/BPON3K","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K","yes","Harvard Dataverse"
"a000176","osf.io/5ybhd","osf.io/5ybhd","yes","Open Science Framework"
"a000177","osf.io/r3eca","osf.io/r3eca","yes","Open Science Framework"
"a000178","osf.io/ydpbf","osf.io/ydpbf","yes","Open Science Framework"
"a000180","osf.io/6krj7","osf.io/6krj7","yes","Open Science Framework"
"a000181","osf.io/jkbm9","osf.io/jkbm9","yes","Open Science Framework"
"a000182","osf.io/emk5j","osf.io/emk5j","yes","Open Science Framework"
"a000183","osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0","osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0","yes","Open Science Framework"
"a000185","osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379","osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379","yes","Open Science Framework"
"a000186","osf.io/92ahy","osf.io/92ahy","yes","Open Science Framework"
"a000187","doi.org/10.17605/OSF.IO/C4WN8","osf.io/c4wn8","yes","Open Science Framework"
"a000188","osf.io/zg427","osf.io/zg427","yes","Open Science Framework"
"a000189","osf.io/xv645","osf.io/xv645","yes","Open Science Framework"
"a000191","osf.io/3mftr","osf.io/3mftr","yes","Open Science Framework"
"a000192","osf.io/B2478","osf.io/B2478","yes","Open Science Framework"
"a000192","osf.io/G4C7Z","osf.io/G4C7Z","yes","Open Science Framework"
"a000193","osf.io/seqgd","osf.io/seqgd","yes","Open Science Framework"
"a000194","osf.io/6wxgf","osf.io/6wxgf","yes","Open Science Framework"
"a000195","osf.io/Z5TE6","osf.io/Z5TE6","yes","Open Science Framework"
"a000196","osf.io/9v34x","osf.io/9v34x","yes","Open Science Framework"
"a000197","osf.io/946vb","osf.io/946vb","yes","Open Science Framework"
"a000199","osf.io/p2z8a","osf.io/p2z8a","yes","Open Science Framework"
"a000202","osf.io/dv7ab","osf.io/dv7ab","yes","Open Science Framework"
"a000203","osf.io/c5kme","osf.io/c5kme","yes","Open Science Framework"
"a000205","osf.io/g6tnd","osf.io/g6tnd","yes","Open Science Framework"
"a000206","osf.io/afdkq","osf.io/afdkq","yes","Open Science Framework"
"a000207","osf.io/bx8zv","osf.io/bx8zv","yes","Open Science Framework"
"a000208","osf.io/3c4ue","osf.io/3c4ue","yes","Open Science Framework"
"a000210","doi.pangaea.de/10.1594/PANGAEA.885886","doi.pangaea.de/10.1594/PANGAEA.885886","yes","PANGAEA"
"a000211","osf.io/8gyns","osf.io/8gyns","yes","Open Science Framework"
"a000212","osf.io/cu8jv","osf.io/cu8jv","yes","Open Science Framework"
"a000213","osf.io/aj98f","osf.io/aj98f","yes","Open Science Framework"
"a000214","osf.io/8aw9r","osf.io/8aw9r","yes","Open Science Framework"
"a000215","osf.io/kfdca","osf.io/kfdca","yes","Open Science Framework"
"a000216","osf.io/9nq3c","osf.io/9nq3c","yes","Open Science Framework"
"a000217","osf.io/wk3ve","osf.io/wk3ve","yes","Open Science Framework"
"a000219","dx.doi.org/10.1016/j.jesp.2017.07.005","www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub","no",
"a000221","osf.io/syjhd","osf.io/syjhd","yes","Open Science Framework"
"a000223","osf.io/ybu6r","osf.io/ybu6r","yes","Open Science Framework"
"a000227","doi.org/10.23684/odi-2017-00957","open.canada.ca/data/en/dataset/e7484a20-99fa-4989-945b-3031d670d285","yes","Open Government Portal (Government of Canada)"
"a000227","doi.org/10.23684/odi-2017-00958","open.canada.ca/data/en/dataset/150566dc-7f3b-4ba7-b65a-16f35b947a57","yes","Open Government Portal (Government of Canada)"
"a000227","doi.org/10.23684/odi-2017-00959","open.canada.ca/data/en/dataset/c1a63ce9-6b76-414b-937e-135fae08cea2","yes","Open Government Portal (Government of Canada)"
"a000228","osf.io/7wfxj","osf.io/7wfxj","yes","Open Science Framework"
"a000228","osf.io/8juyc","osf.io/8juyc","yes","Open Science Framework"
"a000229","osf.io/7c9bw","osf.io/7c9bw","yes","Open Science Framework"
"a000230","osf.io/gq7z2","osf.io/gq7z2","yes","Open Science Framework"
"a000231","doi.org/10.7910/DVN/9SF3TI","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI","yes","Harvard Dataverse"
"a000232","osf.io/bfefu","osf.io/bfefu","yes","Open Science Framework"
"a000232","osf.io/rfc6r","osf.io/rfc6r","yes","Open Science Framework"
"a000233",,,,
"a000235","osf.io/8rbvz","osf.io/8rbvz","yes","Open Science Framework"
"a000236","osf.io/q9kd3","osf.io/q9kd3","yes","Open Science Framework"
"a000238","doi.org/10.7910/DVN/7190MT","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7190MT","yes","Harvard Dataverse"
"a000239","doi.org/10.7910/DVN/I4KVD1","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/I4KVD1","yes","Harvard Dataverse"
"a000240","doi.org/10.7910/DVN/YJUIBI","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUIBI","yes","Harvard Dataverse"
"a000242","osf.io/adrwv","osf.io/adrwv","yes","Open Science Framework"
"a000243","datadryad.org//resource/doi:10.5061/dryad.q88sm","datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm","yes","Dryad"
"a000244","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK","yes","Harvard Dataverse"
"a000245","osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990","osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990","yes","Open Science Framework"
"a000247","osf.io/47tnc","osf.io/47tnc","yes","Open Science Framework"
"a000247","osf.io/gvm2z","osf.io/gvm2z","yes","Open Science Framework"
"a000250","dx.doi.org/10.7910/DVN/TZRNKD","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TZRNKD","yes","Harvard Dataverse"
"a000251","osf.io/k5b7a","osf.io/k5b7a","yes","Open Science Framework"
"a000253","osf.io/ev3w5","osf.io/ev3w5","yes","Open Science Framework"
"a000253","osf.io/ewr45","osf.io/ewr45","yes","Open Science Framework"
"a000256","osf.io/39vsg","osf.io/39vsg","yes","Open Science Framework"
"a000257","osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1","osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1","yes","Open Science Framework"
"a000258","osf.io/9q23j","osf.io/9q23j","yes","Open Science Framework"
"a000259","doi.org/10.7910/DVN/SZ9YXZ","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ","yes","Harvard Dataverse"
"a000260","fcon_1000.projects.nitrc.org/indi/enhanced/access.html","fcon_1000.projects.nitrc.org/indi/enhanced/access.html","yes","NeuroImaging Tools & Resources Collaboratory"
"a000264","osf.io/kszge","osf.io/kszge","yes","Open Science Framework"
"a000266","osf.io/ycren","osf.io/ycren","yes","Open Science Framework"
"a000267","doi:10.7910/DVN/W2HZSO","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO","yes","Harvard Dataverse"
"a000269","doi.org/10.24414/j0dx-9n36","www.astro.oma.be/doi/Seis_Grav/Gravity_DB.html","no",
"a000270","dx.doi.org/10.5284/1031492","archaeologydataservice.ac.uk/archives/view/romurbital_mc_2015","yes","Archaeology Data Service"
"a000272","osf.io/p6jfq","osf.io/p6jfq","yes","Open Science Framework"
"a000272","osf.io/vhme2","osf.io/vhme2","yes","Open Science Framework"
"a000273","osf.io/37u8s","osf.io/37u8s","yes","Open Science Framework"
"a000273","osf.io/tqmeh","osf.io/tqmeh","yes","Open Science Framework"
"a000275","dx.doi.org/10.7910/DVN/Q8CSU8","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8","yes","Harvard Dataverse"
"a000276","osf.io/x25ea","osf.io/x25ea","yes","Open Science Framework"
"a000279","osf.io/kszj7","osf.io/kszj7","yes","Open Science Framework"
"a000280","www.icpsr.umich.edu/icpsrweb/ICPSR/series/203","www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346","yes","ICPSR"
"a000281","osf.io/rf28u","osf.io/rf28u","yes","Open Science Framework"
"a000282","osf.io/szvxd","osf.io/szvxd","yes","Open Science Framework"
"a000284","doi.org/10.5281/zenodo.2593735","zenodo.org/record/2593735","yes","Zenodo"
"a000285","osf.io/tnjqs","osf.io/tnjqs","yes","Open Science Framework"
"a000287","osf.io/fctr8","osf.io/fctr8","yes","Open Science Framework"
"a000288","osf.io/3hu8m","osf.io/3hu8m","yes","Open Science Framework"
"a000292","iris-database.org/iris/app/home/detail?id=york:934328","www.iris-database.org/iris/app/home/detail?id=york:934328","yes","IRIS"
"a000293","osf.io/rt6w2","osf.io/rt6w2","yes","Open Science Framework"
"a000294","osf.io/fpsu8","osf.io/fpsu8","yes","Open Science Framework"
"a000295","iris-database.org","www.iris-database.org/iris/app/home/detail?id=york:935345","yes","IRIS"
"a000295","osf.io/57zkv","osf.io/57zkv","yes","Open Science Framework"
"a000296","doi.org/10.6084/m9.figshare.7271480.v1","figshare.com/articles/The_Co-occurrence_of_Pitch_and_Rhythm_Disorders_in_Congenital_Amusia/7271480/1","yes","Figshare"
"a000297","osf.io/gzyth","osf.io/gzyth","yes","Open Science Framework"
"a000298","osf.io/8zeqp","osf.io/8zeqp","yes","Open Science Framework"
"a000299","osf.io/zbu3x","osf.io/zbu3x","yes","Open Science Framework"
"a000300","osf.io/4rs5x","osf.io/4rs5x","yes","Open Science Framework"
"a000300","osf.io/9tm36","osf.io/9tm36","yes","Open Science Framework"
"a000301","osf.io/6n894","osf.io/6n894","yes","Open Science Framework"
"a000302","doi.org/10.7910/DVN/9AWUYJ","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ","yes","Harvard Dataverse"
"a000303","doi.org/10.7910/DVN/WZV20D","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D","yes","Harvard Dataverse"
"a000305","dx.doi.org/10.7910/DVN/LVHIYG","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG","yes","Harvard Dataverse"
"a000306","osf.io/k8t4b","osf.io/k8t4b","yes","Open Science Framework"
"a000309","doi.org/10.14264/uql.2019.12","espace.library.uq.edu.au/view/UQ:21a02ec","yes","eSpace (The University of Queensland)"
"a000311","osf.io/du5jc","osf.io/du5jc","yes","Open Science Framework"
"a000313","osf.io/rhju9","osf.io/rhju9","yes","Open Science Framework"
"a000314","osf.io/xvmr7","osf.io/xvmr7","yes","Open Science Framework"
"a000315","doi.org/10.7910/DVN/JTV6W6","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6","yes","Harvard Dataverse"
"a000316","osf.io/nft78","osf.io/nft78","yes","Open Science Framework"
"a000317","osf.io/fsadm","osf.io/fsadm","yes","Open Science Framework"
"a000318","github.com/langcog/KTE","github.com/langcog/KTE","yes","Github"
"a000319","doi.org/10.17605/OSF.IO/P49YA","osf.io/p49ya","yes","Open Science Framework"
"a000320","osf.io/pr3hf","osf.io/pr3hf","yes","Open Science Framework"
"a000321","osf.io/qtsx2","osf.io/qtsx2","yes","Open Science Framework"
"a000322","osf.io/au4x3","osf.io/au4x3","yes","Open Science Framework"
"a000323","osf.io/we7aj","osf.io/we7aj","yes","Open Science Framework"
"a000324","osf.io/bmaf2","osf.io/bmaf2","yes","Open Science Framework"
