study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other
a000323,yes,NA,yes,NA,yes,NA
a000324,yes,NA,yes,NA,yes,NA
a000325,yes,NA,yes,NA,yes,NA
a000327,yes,NA,yes,NA,yes,NA
a000328,yes,NA,yes,NA,yes,NA
a000329,yes,NA,yes,NA,yes,NA
a000330,yes,NA,yes,NA,yes,NA
a000331,yes,NA,yes,NA,yes,NA
a000332,yes,NA,yes,NA,yes,NA
a000333,yes,NA,yes,NA,yes,NA
a000334,yes,NA,yes,NA,yes,NA
a000335,yes,NA,yes,NA,yes,NA
a000336,yes,NA,yes,NA,yes,NA
a000337,yes,NA,yes,NA,yes,NA
a000338,yes,NA,yes,NA,yes,NA
a000339,yes,NA,yes,NA,yes,NA
a000340,yes,NA,yes,NA,yes,NA
a000341,yes,NA,yes,NA,yes,NA
a000342,yes,NA,yes,NA,yes,NA
a000343,yes,NA,yes,NA,yes,NA
a000344,yes,NA,yes,NA,yes,NA
a000345,yes,NA,yes,NA,yes,NA
a000347,yes,NA,yes,NA,yes,NA
a000348,yes,NA,yes,NA,yes,NA
a000350,yes,NA,yes,NA,yes,NA
a000352,yes,NA,yes,NA,yes,NA
a000353,yes,NA,yes,NA,yes,NA
a000354,yes,NA,yes,NA,yes,NA
a000355,yes,NA,yes,NA,yes,NA
a000356,yes,NA,yes,NA,yes,NA
a000357,yes,NA,yes,NA,yes,NA
a000358,yes,NA,yes,NA,yes,NA
a000359,yes,NA,yes,NA,yes,NA
a000361,yes,NA,yes,NA,yes,NA
a000362,yes,NA,yes,NA,yes,NA
a000363,yes,NA,yes,NA,yes,NA
a000364,yes,NA,yes,NA,yes,NA
a000365,yes,NA,yes,NA,yes,NA
a000366,yes,NA,yes,NA,yes,NA
a000367,yes,NA,yes,NA,yes,NA
a000368,yes,NA,yes,NA,yes,NA
a000369,yes,NA,yes,NA,yes,NA
a000371,yes,NA,yes,NA,no,NA
a000372,yes,NA,yes,NA,yes,NA
a000373,yes,NA,yes,NA,yes,NA
a000376,yes,NA,yes,NA,yes,NA
a000377,yes,NA,yes,NA,yes,NA
a000378,yes,NA,yes,NA,yes,NA
a000379,yes,NA,yes,NA,yes,NA
a000380,yes,NA,yes,NA,yes,NA
a000381,yes,NA,yes,NA,yes,NA
a000382,yes,NA,yes,NA,yes,NA
a000383,yes,NA,yes,NA,yes,NA
a000386,yes,NA,yes,NA,yes,NA
a000387,yes,NA,yes,NA,yes,NA
a000388,yes,NA,yes,NA,yes,NA
a000389,yes,NA,yes,NA,yes,NA
a000390,yes,NA,yes,NA,yes,NA
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks
a000392,yes,NA,yes,NA,yes,NA
a000393,yes,NA,yes,NA,yes,NA
a000394,yes,NA,yes,NA,yes,NA
a000395,yes,NA,yes,NA,yes,NA
a000398,yes,NA,yes,NA,yes,NA
a000399,yes,NA,yes,NA,yes,NA
a000400,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials
a000401,yes,NA,yes,NA,yes,NA
a000402,yes,NA,yes,NA,yes,NA
a000403,yes,NA,yes,NA,yes,NA
a000404,yes,NA,yes,NA,yes,NA
a000406,yes,NA,yes,NA,yes,NA
a000407,yes,NA,yes,NA,yes,NA
a000408,yes,NA,no,NA,yes,NA
a000409,yes,NA,yes,NA,yes,NA
a000410,yes,NA,yes,NA,yes,NA
a000411,yes,NA,yes,NA,yes,NA
a000412,yes,NA,yes,NA,yes,NA
a000413,yes,NA,yes,NA,yes,NA
a000414,yes,NA,yes,NA,yes,NA
a000416,yes,NA,yes,NA,yes,NA
a000417,yes,NA,yes,NA,yes,NA
a000418,yes,NA,yes,NA,yes,NA
a000419,yes,NA,yes,NA,yes,NA
a000420,yes,NA,yes,NA,yes,NA
a000421,yes,NA,yes,NA,yes,NA
a000422,yes,NA,yes,NA,yes,NA
a000423,yes,NA,yes,NA,yes,NA
a000425,yes,NA,yes,NA,yes,NA
a000426,yes,NA,yes,NA,yes,NA
a000427,yes,NA,yes,NA,yes,NA
a000429,yes,NA,yes,NA,yes,NA
a000430,yes,NA,yes,NA,yes,NA
a000433,yes,NA,yes,NA,yes,NA
a000437,yes,NA,yes,NA,yes,NA
a000438,yes,NA,yes,NA,yes,NA
a000439,yes,NA,yes,NA,yes,NA
a000440,yes,NA,no,NA,yes,NA
a000441,yes,NA,yes,NA,yes,NA
a000442,yes,NA,yes,NA,yes,NA
a000443,yes,NA,yes,NA,yes,NA
a000444,yes,NA,yes,NA,yes,NA
a000446,yes,NA,yes,NA,yes,NA
a000447,yes,NA,yes,NA,yes,NA
a000448,yes,NA,yes,NA,yes,NA
a000449,yes,NA,yes,NA,yes,NA
a000450,yes,NA,yes,NA,yes,NA
a000452,yes,NA,yes,NA,yes,NA
a000457,yes,NA,yes,NA,yes,NA
a000458,yes,NA,yes,NA,yes,NA
a000460,yes,NA,yes,NA,yes,NA
a000463,yes,NA,yes,NA,yes,NA
a000464,yes,NA,yes,NA,yes,NA
a000465,yes,NA,yes,NA,yes,NA
a000466,yes,NA,yes,NA,yes,NA
a000470,yes,NA,yes,NA,yes,NA
a000471,yes,NA,yes,NA,yes,NA
a000473,yes,NA,yes,NA,yes,NA
a000474,yes,NA,yes,NA,yes,NA
a000475,yes,NA,yes,NA,yes,NA
a000476,yes,NA,yes,NA,yes,NA
a000477,yes,NA,yes,NA,yes,NA
a000479,yes,NA,yes,NA,yes,NA
a000480,yes,NA,yes,NA,yes,NA
a000483,yes,NA,yes,NA,yes,NA
a000484,yes,NA,yes,NA,yes,NA
a000485,yes,NA,yes,NA,yes,NA
a000489,yes,NA,yes,NA,yes,NA
a000490,yes,NA,yes,NA,yes,NA
a000491,yes,NA,yes,NA,yes,NA
a000492,yes,NA,yes,NA,yes,NA
a000493,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink
a000494,yes,NA,yes,NA,no,NA
a000495,yes,NA,yes,NA,yes,NA
a000496,yes,NA,yes,NA,yes,NA
a000497,yes,NA,yes,NA,yes,NA
a000500,yes,NA,no,NA,yes,NA
a000501,yes,NA,yes,NA,yes,NA
a000502,yes,NA,no,NA,yes,NA
a000503,yes,NA,yes,NA,yes,NA
a000504,yes,NA,yes,NA,yes,NA
a000505,yes,NA,yes,NA,yes,NA
a000507,yes,NA,yes,NA,yes,NA
a000508,yes,NA,yes,NA,yes,NA
a000509,yes,NA,yes,NA,yes,NA
a000510,yes,NA,yes,NA,yes,NA
a000511,yes,NA,yes,NA,yes,NA
a000512,yes,NA,yes,NA,other,"Article PDF just links to mendeley.com in general without specific details, but the actual directly links are on journal web page for article (and not in the PDF)"
a000514,yes,NA,yes,NA,yes,NA
a000515,yes,NA,yes,NA,yes,NA
a000516,yes,NA,yes,NA,yes,NA
a000518,yes,NA,yes,NA,yes,NA
a000519,yes,NA,yes,NA,yes,NA
a000522,yes,NA,yes,NA,yes,NA
a000523,yes,NA,yes,NA,yes,NA
a000524,yes,NA,yes,NA,yes,NA
a000525,yes,NA,no,NA,yes,NA
a000527,yes,NA,yes,NA,yes,NA
a000529,yes,NA,yes,NA,yes,NA
a000530,yes,NA,yes,NA,yes,NA
a000531,yes,NA,yes,NA,yes,NA
a000532,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials
a000533,yes,NA,yes,NA,yes,NA
a000534,yes,NA,yes,NA,yes,NA
a000535,yes,NA,yes,NA,yes,NA
a000538,yes,NA,yes,NA,yes,NA
a000539,yes,NA,yes,NA,yes,NA
a000540,yes,NA,no,NA,no,NA
a000541,yes,NA,yes,NA,yes,NA
a000543,yes,NA,yes,NA,yes,NA
a000544,yes,NA,yes,NA,yes,NA
a000545,yes,NA,yes,NA,yes,NA
a000547,yes,NA,yes,NA,yes,NA
a000548,yes,NA,yes,NA,yes,NA
a000550,yes,NA,yes,NA,yes,NA
a000552,yes,NA,yes,NA,yes,NA
a000553,yes,NA,yes,NA,yes,NA
a000554,yes,NA,yes,NA,yes,NA
a000556,yes,NA,yes,NA,yes,NA
a000557,yes,NA,yes,NA,yes,NA
a000558,yes,NA,yes,NA,yes,NA
a000559,yes,NA,yes,NA,yes,NA
a000560,yes,NA,yes,NA,yes,NA
a000561,yes,NA,yes,NA,yes,NA
a000562,yes,NA,yes,NA,yes,NA
a000563,yes,NA,yes,NA,yes,NA
a000564,yes,NA,yes,NA,yes,NA
a000565,yes,NA,yes,NA,yes,NA
a000566,yes,NA,yes,NA,yes,NA
a000567,yes,NA,yes,NA,yes,NA
a000568,yes,NA,yes,NA,yes,NA
a000569,yes,NA,yes,NA,yes,NA
a000570,yes,NA,yes,NA,yes,NA
a000571,yes,NA,yes,NA,yes,NA
a000572,yes,NA,yes,NA,yes,NA
a000573,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF
a000575,yes,NA,yes,NA,yes,NA
a000577,yes,NA,yes,NA,yes,NA
a000578,yes,NA,yes,NA,yes,NA
a000579,yes,NA,yes,NA,yes,NA
a000580,yes,NA,yes,NA,yes,NA
a000581,yes,NA,yes,NA,yes,NA
a000582,yes,NA,yes,NA,no,NA
a000583,yes,NA,yes,NA,yes,NA
a000585,yes,NA,yes,NA,yes,NA
a000586,yes,NA,yes,NA,yes,NA
a000588,yes,NA,yes,NA,yes,NA
a000589,yes,NA,yes,NA,yes,NA
a000591,yes,NA,yes,NA,yes,NA
a000592,yes,NA,yes,NA,yes,NA
a000594,yes,NA,yes,NA,yes,NA
a000595,other,"No graphical badge, but awarded badges are listed, as text",yes,NA,yes,NA
a000596,yes,NA,yes,NA,yes,NA
a000597,yes,NA,no,NA,other,"Link on article website, not in PDF"
a000598,yes,NA,yes,NA,yes,NA
a000601,yes,NA,yes,NA,yes,NA
a000604,yes,NA,yes,NA,yes,NA
a000605,yes,NA,yes,NA,yes,NA
a000606,yes,NA,yes,NA,yes,NA
a000608,yes,NA,yes,NA,yes,NA
a000609,yes,NA,yes,NA,yes,NA
a000614,yes,NA,yes,NA,yes,NA
a000615,yes,NA,yes,NA,yes,NA
a000616,yes,NA,yes,NA,yes,NA
a000617,yes,NA,yes,NA,yes,NA
a000618,yes,NA,yes,NA,yes,NA
a000620,yes,NA,yes,NA,yes,NA
a000621,yes,NA,yes,NA,yes,NA
a000622,yes,NA,yes,NA,yes,NA
a000624,yes,NA,yes,NA,yes,NA
a000625,yes,NA,yes,NA,yes,NA
a000627,yes,NA,yes,NA,yes,NA
a000628,yes,NA,yes,NA,yes,NA
a000629,yes,NA,yes,NA,yes,NA
a000631,yes,NA,yes,NA,yes,NA
a000634,yes,NA,yes,NA,yes,NA
a000635,yes,NA,yes,NA,yes,NA
a000636,yes,NA,yes,NA,yes,NA
a000637,yes,NA,yes,NA,yes,NA
a000638,yes,NA,yes,NA,yes,NA
a000639,yes,NA,yes,NA,yes,NA
a000641,yes,NA,yes,NA,yes,NA
a000642,yes,NA,yes,NA,yes,NA
a000643,yes,NA,yes,NA,yes,NA
a000645,yes,NA,yes,NA,yes,NA
a000646,yes,NA,yes,NA,yes,NA
a000649,yes,NA,yes,NA,yes,NA
a000650,yes,NA,yes,NA,yes,NA
a000651,yes,NA,yes,NA,yes,NA
a000652,yes,NA,yes,NA,yes,NA
a000653,yes,NA,yes,NA,yes,NA
a000655,yes,NA,yes,NA,yes,NA
a000657,yes,NA,yes,NA,yes,NA
a000658,yes,NA,yes,NA,yes,NA
a000660,yes,NA,yes,NA,yes,NA
a000663,yes,NA,yes,NA,yes,NA
a000664,yes,NA,no,NA,yes,NA
a000665,yes,NA,yes,NA,yes,NA
a000667,yes,NA,yes,NA,yes,NA
a000668,yes,NA,yes,NA,yes,NA
a000670,yes,NA,yes,NA,yes,NA
a000671,yes,NA,yes,NA,yes,NA
a000672,yes,NA,yes,NA,yes,NA
a000673,yes,NA,yes,NA,yes,NA
a000674,yes,NA,yes,NA,yes,NA
a000675,yes,NA,yes,NA,yes,NA
a000676,yes,NA,yes,NA,yes,NA
a000678,yes,NA,other,"Standard JBPA link to ""Open data"" is there on the first page, but no URL attached. There is a link in a footnote later on.",yes,NA
a000681,yes,NA,yes,NA,yes,NA
a000682,yes,NA,yes,NA,yes,NA
a000683,yes,NA,yes,NA,yes,NA
a000684,yes,NA,yes,NA,yes,NA
a000686,yes,NA,yes,NA,yes,NA
a000687,yes,NA,yes,NA,yes,NA
a000688,yes,NA,yes,NA,yes,NA
a000689,yes,NA,yes,NA,yes,NA
a000692,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF
a000694,yes,NA,yes,NA,yes,NA
a000696,yes,NA,yes,NA,yes,NA
a000698,yes,NA,yes,NA,yes,NA
a000700,yes,NA,yes,NA,yes,NA
a000702,yes,NA,yes,NA,yes,NA
a000703,yes,NA,yes,NA,yes,NA
a000704,yes,NA,yes,NA,yes,NA
a000705,yes,NA,yes,NA,yes,NA
a000706,yes,NA,yes,NA,yes,NA
a000708,yes,NA,yes,NA,yes,NA
a000709,yes,NA,yes,NA,yes,NA
a000710,yes,NA,yes,NA,yes,NA
a000712,yes,NA,yes,NA,yes,NA
a000713,yes,NA,yes,NA,yes,NA
a000714,yes,NA,yes,NA,yes,NA
a000716,yes,NA,yes,NA,yes,NA
a000717,yes,NA,yes,NA,yes,NA
a000718,yes,NA,yes,NA,yes,NA
a000719,yes,NA,no,NA,yes,NA
a000720,yes,NA,yes,NA,yes,NA
a000721,yes,NA,yes,NA,yes,NA
a000722,yes,NA,yes,NA,yes,NA
a000723,yes,NA,yes,NA,yes,NA
a000724,yes,NA,yes,NA,yes,NA
a000726,yes,NA,yes,NA,yes,NA
a000727,yes,NA,yes,NA,yes,NA
a000728,yes,NA,yes,NA,yes,NA
a000729,yes,NA,yes,NA,yes,NA
a000730,yes,NA,yes,NA,yes,NA
a000731,yes,NA,yes,NA,yes,NA
a000732,yes,NA,yes,NA,yes,NA
a000734,yes,NA,yes,NA,yes,NA
a000736,yes,NA,yes,NA,yes,NA
a000737,yes,NA,yes,NA,yes,NA
a000739,yes,NA,yes,NA,yes,NA
a000740,yes,NA,yes,NA,yes,NA
a000742,yes,NA,yes,NA,yes,NA
a000743,yes,NA,yes,NA,yes,NA
a000745,yes,NA,yes,NA,yes,NA
a000746,yes,NA,yes,NA,yes,NA
a000747,yes,NA,yes,NA,yes,NA
a000748,yes,NA,yes,NA,yes,NA
a000749,yes,NA,yes,NA,yes,NA
a000750,yes,NA,no,NA,yes,NA
a000753,yes,NA,yes,NA,yes,NA
a000754,yes,NA,yes,NA,yes,NA
a000755,yes,NA,no,NA,yes,NA
a000757,yes,NA,yes,NA,yes,NA
a000759,yes,NA,yes,NA,yes,NA
a000760,yes,NA,yes,NA,yes,NA
a000761,yes,NA,yes,NA,yes,NA
a000764,yes,NA,yes,NA,yes,NA
a000765,yes,NA,yes,NA,yes,NA
a000766,yes,NA,yes,NA,yes,NA
a000767,yes,NA,yes,NA,yes,NA
a000768,yes,NA,yes,NA,yes,NA
a000769,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF
a000770,yes,NA,yes,NA,yes,NA
a000771,yes,NA,yes,NA,yes,NA
a000772,yes,NA,yes,NA,yes,NA
a000773,yes,NA,no,NA,no,NA
a000775,yes,NA,yes,NA,yes,NA
a000776,yes,NA,yes,NA,yes,NA
a000777,yes,NA,yes,NA,yes,NA
a000778,yes,NA,yes,NA,yes,NA
a000779,yes,NA,yes,NA,yes,NA
a000780,yes,NA,yes,NA,yes,NA
a000783,yes,NA,yes,NA,yes,NA
a000784,yes,NA,yes,NA,yes,NA
a000785,yes,NA,yes,NA,yes,NA
a000787,yes,NA,yes,NA,yes,NA
a000788,yes,NA,yes,NA,yes,NA
a000789,yes,NA,yes,NA,yes,NA
a000792,yes,NA,yes,NA,yes,NA
a000793,yes,NA,yes,NA,yes,NA
a000794,yes,NA,yes,NA,yes,NA
a000796,yes,NA,yes,NA,yes,NA
a000797,yes,NA,yes,NA,yes,NA
a000799,yes,NA,yes,NA,yes,NA
a000801,yes,NA,yes,NA,yes,NA
a000803,yes,NA,yes,NA,yes,NA
a000804,yes,NA,yes,NA,yes,NA
a000806,yes,NA,yes,NA,yes,NA
a000807,yes,NA,yes,NA,yes,NA
a000808,yes,NA,yes,NA,yes,NA
a000810,yes,NA,yes,NA,yes,NA
a000811,yes,NA,yes,NA,yes,NA
a000812,yes,NA,yes,NA,yes,NA
a000814,yes,NA,yes,NA,yes,NA
a000816,yes,NA,yes,NA,yes,NA
a000817,yes,NA,yes,NA,yes,NA
a000818,yes,NA,yes,NA,yes,NA
a000822,yes,NA,yes,NA,yes,NA
a000823,yes,NA,yes,NA,yes,NA
a000824,yes,NA,yes,NA,yes,NA
a000826,yes,NA,yes,NA,yes,NA
a000827,yes,NA,yes,NA,yes,NA
a000828,yes,NA,yes,NA,yes,NA
a000829,yes,NA,yes,NA,yes,NA
a000831,yes,NA,yes,NA,no,NA
a000832,yes,NA,yes,NA,yes,NA
a000833,yes,NA,yes,NA,yes,NA
a000834,yes,NA,yes,NA,yes,NA
a000837,yes,NA,yes,NA,yes,NA
a000840,yes,NA,yes,NA,yes,NA
a000842,yes,NA,yes,NA,yes,NA
a000844,yes,NA,yes,NA,yes,NA
a000845,yes,NA,yes,NA,yes,NA
