study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000553,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,4,1,https://osf.io/tvuer/,yes,NA,https://osf.io/tvuer/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links - This link contained 'Registered materials and protocols'
a000553,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,4,2,https://osf.io/d5s2t,yes,NA,https://osf.io/d5s2t,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links - This link contained 'Registered data entry template'
a000553,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,4,3,https://osf.io/vwytd/,yes,NA,https://osf.io/vwytd/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links - This link contained 'Open data'
a000553,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,4,4,https://osf.io/nz3su/,yes,NA,https://osf.io/nz3su/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links - This link contained 'Open analysis'
a000567,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fnps3/,yes,NA,https://osf.io/fnps3/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000580,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,5,1,https://osf.io/jckvq/,yes,NA,https://osf.io/jckvq/,yes,NA,OSF,yes,NA,yes,NA,Article had 5 links - This file was a excel sheet
a000580,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,5,2,https://osf.io/6n3yq/,yes,NA,https://osf.io/6n3yq/,yes,NA,OSF,yes,NA,yes,NA,Article had 5 links - Zip file
a000580,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,5,3,https://osf.io/5zuq7/,yes,NA,https://osf.io/5zuq7/,yes,NA,OSF,yes,NA,yes,NA,Article had 5 links - This was a Programming file
a000580,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,5,4,https://osf.io/g5cxj/,yes,NA,https://osf.io/g5cxj/,yes,NA,OSF,yes,NA,yes,NA,Article had 5 links - This was a Word file
a000580,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,5,5,https://osf.io/siqyz/,yes,NA,https://osf.io/siqyz/,yes,NA,OSF,yes,NA,yes,NA,Article had 5 links - Zip file
a000583,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/u8sdh/,yes,NA,https://osf.io/u8sdh/,yes,NA,OSF,yes,NA,other,File >100MB,File was very large (>100MB) so not uploaded to Drive
a000616,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/am5nh/,yes,NA,https://osf.io/am5nh/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000653,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8jy6r/,yes,NA,https://osf.io/8jy6r/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data""  - this link was ignored, as there was an explicit link to the open data"
a000667,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fhjyb/,yes,NA,https://osf.io/fhjyb,yes,NA,OSF,yes,NA,yes,NA,Ok
a000705,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7apwg/?view_only=4f6d2e286518484e921b926332444e90,yes,NA,https://osf.io/7apwg/?view_only=4f6d2e286518484e921b926332444e90,yes,NA,OSF,yes,NA,yes,NA,Data badge was at the end of article. Links were not obvious
a000718,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,4,1,https://osf.io/cdyf9/,yes,NA,https://osf.io/cdyf9/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links. All files downloaded
a000718,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,4,2,https://osf.io/djxyg/,yes,NA,https://osf.io/djxyg/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links. All files downloaded
a000718,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,4,3,https://osf.io/df74g/,yes,NA,https://osf.io/df74g/files/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links. All files downloaded
a000718,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,4,4,https://osf.io/v9b7j/,yes,NA,https://osf.io/v9b7j/files/,yes,NA,OSF,yes,NA,yes,NA,Article had 4 links. All files downloaded
a000787,adrian,2020-04-06,no,NA,yes,NA,yes,NA,1,1,http://osf.io/gm5j6,yes,NA,http://osf.io/gm5j6,yes,NA,OSF,yes,NA,yes,NA,Article didn't have data badge. Data statement and links were buried in footnotes and hard to find
a000796,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/pszjz/,yes,NA,https://osf.io/pszjz/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000816,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/yg82m/,yes,NA,https://osf.io/yg82m/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000910,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://data.mendeley.com/datasets/xyx2x7hhtm/1,yes,NA,https://data.mendeley.com/datasets/xyx2x7hhtm/1,yes,NA,Mendeley,yes,NA,yes,NA,Ok
a000986,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/t26xq/,yes,NA,https://osf.io/t26xq/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001008,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9e3a9/,yes,NA,https://osf.io/9e3a9/,yes,NA,OSF,yes,NA,yes,NA,File larger than average (45MB)
a001015,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9e5au/,yes,NA,https://osf.io/9e5au/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001059,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8j7ub/,yes,NA,https://osf.io/8j7ub/,yes,NA,OSF,yes,NA,yes,NA,Links were hard to find
a001110,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/pfh6r/,yes,NA,https://osf.io/pfh6r/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001186,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://midus.colectica.org,yes,NA,https://midus.colectica.org/Account/Login,other,Subscription based repository,Midus,other,Needed login,no,NA,Link led to login page which required login. Could not access any files.
a001206,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/6IOACK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6IOACK,yes,NA,Dataverse,yes,NA,yes,NA,Availability statement wasn't very clear
a001245,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/OOIEAO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OOIEAO,yes,NA,Dataverse,yes,NA,yes,NA,Availability statement wasn't very clear
a001250,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,no,URL not found,NA,NA,NA,NA,NA,NA,NA,NA,Article had 2 links - This URL not found
a001250,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/wk9rp/,yes,NA,https://osf.io/wk9rp/,yes,NA,OSF,yes,NA,yes,NA,Article had 2 links - This link ok
a001285,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,3,1,https://osf.io/jxd47/,yes,NA,https://osf.io/jxd47/,yes,NA,OSF,yes,NA,yes,NA,Downloaded file was an R program
a001285,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,3,2,https://www.iris-database.org,yes,NA,https://www.iris-database.org/iris/app/home/index;jsessionid=842A061272EFFFBB029516227029FD6F,yes,NA,Iris,no,NA,NA,NA,This was the general Iris welcome page. No files found.
a001285,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,3,3,https://github.com/rnorouzian/i/blob/master/i.r,yes,NA,https://github.com/rnorouzian/i/blob/master/i.r,yes,NA,Github,no,NA,NA,NA,No file found. Page was long wall of text (Looks like an R program)
a001352,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/kwvu6/,yes,NA,https://osf.io/kwvu6/,yes,NA,OSF,yes,NA,other,File >100MB,File was very large (>100MB) so not uploaded to Drive
a001376,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/esj5f/,yes,NA,https://osf.io/esj5f/,yes,NA,OSF,yes,NA,yes,NA,This link led to a specific PDF document
a001376,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/txa5j/,yes,NA,https://osf.io/txa5j/,yes,NA,OSF,yes,NA,yes,NA,This link had all files for this project
a001482,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7h6cy/,yes,NA,https://osf.io/7h6cy/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001501,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://dx.doi.org/10.7910/DVN/DEMP8Q,no,DOI not found,NA,NA,NA,NA,NA,NA,NA,NA,Error: DOI not found
a001653,adrian,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/5t0b7,yes,NA,http://osf.io/5t0b7,yes,NA,OSF,yes,NA,yes,NA,Files were downloaded as 4 separate zip files
a000090,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/e9mhc/,yes,NA,https://osf.io/e9mhc,yes,NA,OSF,yes,NA,other,File >100MB,File was very large (>100MB) so not uploaded to Drive
a000105,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4zwsd/,yes,NA,https://osf.io/4zwsd/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
a000244,adrian,2020-04-14,yes,NA,no,NA,other,"Link listed as ""Open data"". The actual link URL is not written out",1,1,Open data,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Dataverse,yes,NA,yes,NA,"There was just a link called ""Open Data"" under its ""Supplement"" section"
a000276,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/x25ea/,yes,NA,https://osf.io/x25ea/,yes,NA,OSF,yes,NA,yes,NA,"There were 3 other links for the data and analysis plans for each study (Study 1, 2, 3) individually, but these were ignored since the first link contained all data and materials already"
a000282,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/szvxd/,yes,NA,https://osf.io/szvxd/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000313,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rhju9/,yes,NA,https://osf.io/rhju9/,yes,NA,OSF,yes,NA,yes,NA,Link was not obvious to find
a000317,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fsadm/,yes,NA,https://osf.io/fsadm/,yes,NA,OSF,yes,NA,yes,NA,Link was abit harder to find
a000373,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4q3dc/,yes,NA,https://osf.io/4q3dc/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000413,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/LD6NL8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LD6NL8,yes,NA,Dataverse,yes,NA,yes,NA,Ok
a000421,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ua5pk/,yes,NA,https://osf.io/ua5pk,yes,NA,OSF,yes,NA,other,File size >100MB,Pre-registered data. File not uploaded as too big
a000421,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/b8c7z/,yes,NA,https://osf.io/b8c7z/,yes,NA,OSF,yes,NA,yes,NA,Procedure data
a000439,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,http://dx.doi.org/10.7910/DVN/HDMGLY,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HDMGLY,yes,NA,Dataverse,yes,NA,yes,NA,Excel file
a000439,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,http://dx.doi.org/10.7910/DVN/8N3H88,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8N3H88,yes,NA,Dataverse,yes,NA,yes,NA,Doc file
a000450,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ry75j/,yes,NA,https://osf.io/ry75j/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000450,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/zsbwt/,yes,NA,https://osf.io/zsbwt/,yes,NA,OSF,yes,NA,yes,NA,Preregistration data
a000581,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,http://reshare.ukdataservice.ac.uk/852882/,yes,NA,http://reshare.ukdataservice.ac.uk/852882/,yes,NA,ReShare,other,Require login,no,NA,Study 1 and 2 data. Could not access as login required
a000581,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/n8v3c/,yes,NA,https://accounts.osf.io/login?service=https://osf.io/n8v3c/,yes,NA,OSF,other,Require login,no,NA,Study 3 data. Could not access as login required
a000596,adrian,2020-04-14,other,Data badge was a small logo in the appendix at the end,yes,NA,yes,NA,1,1,https://osf.io/ge2d5/,yes,NA,https://osf.io/ge2d5/,yes,NA,OSF,yes,NA,yes,NA,"Data badge hidden at the end. 2 links were given, but they were the same URL"
a000646,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zcbp7/,yes,NA,https://osf.io/zcbp7/,yes,NA,OSF,yes,NA,other,Download >15mins,"Download took too long, did not upload to Drive"
a000655,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://db.humanconnectome.org/,yes,NA,https://db.humanconnectome.org/app/template/Login.vm,yes,NA,Connectome db,other,Require login,no,NA,Could not access as login needed
a000726,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zkfhs/,yes,NA,https://osf.io/zkfhs/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000761,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/qe5nw/,yes,NA,https://osf.io/qe5nw/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000764,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6084/m9.figshare.6818228.v1,yes,NA,https://figshare.com/articles/Contingent_attentional_engagement_stimulus-_and_goal-driven_capture_have_qualitatively_different_consequences_-_data_from_3_experiments/6818228/1,yes,NA,figshare,yes,NA,yes,NA,Excel file
a000773,adrian,2020-04-14,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article has data badge but no statement or any links given. The following disclaimer was found in the footnotes: ""Given the potentially identifying information inherent in personal narratives, the
transcripts cannot be made public, though interested scholars should contact Dan
McAdams (dmca@northwestern.edu) to discuss access"
a000799,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6s8tc/,yes,NA,https://osf.io/6s8tc/,yes,NA,OSF,yes,NA,yes,NA,Data badge not prominent
a000823,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ETM4LW,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ETM4LW,yes,NA,Dataverse,yes,NA,yes,NA,NA
a000856,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/t7ej9/,yes,NA,https://osf.io/t7ej9/,yes,NA,OSF,yes,NA,other,File >100MB,Image files. File too big so did not upload
a000856,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/fdhru/,yes,NA,https://osf.io/fdhru/,yes,NA,OSF,yes,NA,yes,NA,Data files
a000878,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/uqmh4/,yes,NA,http://www.osf.io/uqmh4/,yes,NA,OSF,yes,NA,other,File >100MB,"File not uploaded as too large. There were 5 other individualised links for each study, but these were ignored since the first link already contained all data"
a000919,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/usgz3/,yes,NA,https://osf.io/usgz3/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000924,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/j8zge/,yes,NA,https://osf.io/j8zge/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000935,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/pg9ca,yes,NA,https://accounts.osf.io/login?service=https://osf.io/pg9ca/,yes,NA,OSF,yes,NA,other,Login required,Could not access as login needed
a000966,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/fjqtu/,yes,NA,https://osf.io/fjqtu/,yes,NA,OSF,yes,NA,yes,NA,Preregistration data
a000966,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hr7vx/,yes,NA,https://osf.io/hr7vx/,yes,NA,OSF,yes,NA,other,File >100MB,Additional materials. File too large not uploaded to Drive
a001094,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fpdbh,yes,NA,https://osf.io/fpdbh,yes,NA,OSF,yes,NA,yes,NA,Link was not very coded properly. Had to manually type it out in browser
a001102,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/a3c8h/,yes,NA,https://osf.io/a3c8h/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001187,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/bw8sz/,yes,NA,https://osf.io/bw8sz/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001215,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/gwk45/,yes,NA,https://osf.io/gwk45/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001350,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/vnkaz/,yes,NA,https://osf.io/vnkaz/,yes,NA,OSF,yes,NA,yes,NA,Data files
a001350,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/b956g/,yes,NA,https://osf.io/b956g/,yes,NA,OSF,yes,NA,yes,NA,Analysis Models
a001394,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jrp.2017.11.003,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0092656617301095?via%3Dihub,other,Journal's website at ScienceDirect,NA,yes,NA,yes,NA,Only supplementary data found
a001443,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7b9au,yes,NA,https://osf.io/7b9au,yes,NA,OSF,yes,NA,yes,NA,Ok
a001504,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/djzh3/,yes,NA,https://osf.io/djzh3/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001518,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/fhmyb,yes,NA,http://osf.io/fhmyb,yes,NA,OSF,yes,NA,yes,NA,Ok
a001544,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jp8ew/,yes,NA,https://osf.io/jp8ew/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001583,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wxc7b/,yes,NA,https://osf.io/wxc7b/,yes,NA,OSF,yes,NA,yes,NA,Ok
a001613,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4m2bq/,yes,NA,https://osf.io/4m2bq/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000049,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/DTFR60,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DTFR60,yes,NA,Dataverse,yes,NA,yes,NA,Ok
a000152,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org//10.17632/948rskffhd.2,yes,NA,https://data.mendeley.com/datasets/948rskffhd/2,yes,NA,Mendeley,yes,NA,yes,NA,"There is a statement at the beginning ""All data can be accessed at http://dx.doi.org/10.17632/948rskﬀhd.1."" but this link did not work. Overall ok as another link given under ""Open Practices"" section"
a000157,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/EWRXPU,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EWRXPU,yes,NA,Dataverse,yes,NA,yes,NA,Ok
a000177,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/r3eca,yes,NA,http://osf.io/r3eca,yes,NA,OSF,yes,NA,yes,NA,Ok
a000183,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
a000303,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/WZV20D,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D,yes,NA,Dataverse,yes,NA,yes,NA,Ok
a000325,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/rt6un,yes,NA,https://osf.io/rt6un,yes,NA,OSF,yes,NA,yes,NA,Study 1
a000325,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/kzmr5/,yes,NA,https://osf.io/kzmr5/,yes,NA,OSF,yes,NA,yes,NA,Study 2
a000332,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5xmb2/,yes,NA,https://osf.io/5xmb2/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
