study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned
a000146,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",osf.io/8x6dw
a000146,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",osf.io/j8wdv
a000147,yes,NA,yes,NA,yes,NA,osf.io/cwenz
a000148,yes,NA,yes,NA,yes,NA,osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6
a000148,yes,NA,yes,NA,yes,NA,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7
a000149,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/7TA47E
a000151,yes,NA,yes,NA,yes,NA,osf.io/ugdcz
a000152,yes,NA,yes,NA,yes,NA,dx.doi.org//10.17632/948rskffhd.2
a000153,yes,NA,yes,NA,yes,NA,osf.io/du9ws
a000154,yes,NA,yes,NA,yes,NA,osf.io/usdq8
a000156,yes,NA,yes,NA,yes,NA,osf.io/3csng
a000157,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/EWRXPU
a000158,yes,NA,yes,NA,yes,NA,doi.org/10.17632/yrpjzfmzpz.3
a000159,yes,NA,yes,NA,yes,NA,osf.io/t6gwf
a000160,yes,NA,yes,NA,yes,NA,childes.talkbank.org
a000160,yes,NA,yes,NA,yes,NA,github.com/smeylan/determiner_learning
a000162,yes,NA,yes,NA,yes,NA,doi.pangaea.de/10.1594/PANGAEA.896587
a000163,yes,NA,yes,NA,yes,NA,osf.io/d8wvt
a000164,yes,NA,yes,NA,yes,NA,osf.io/28gxz
a000165,yes,NA,yes,NA,yes,NA,osf.io/uwzsb
a000167,yes,NA,yes,NA,yes,NA,osf.io/b45vq
a000168,yes,NA,yes,NA,yes,NA,doi.org/10.3886/ICPSR21600.v17
a000169,yes,NA,yes,NA,yes,NA,osf.io/4cg2s
a000170,yes,NA,yes,NA,yes,NA,osf.io/23gc4
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73
a000174,yes,NA,yes,NA,yes,NA,osf.io/msphv
a000174,yes,NA,yes,NA,yes,NA,osf.io/yegrv
a000175,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/BPON3K
a000176,yes,NA,yes,NA,yes,NA,osf.io/5ybhd
a000177,yes,NA,yes,NA,yes,NA,osf.io/r3eca
a000178,yes,NA,yes,NA,yes,NA,osf.io/ydpbf
a000180,yes,NA,yes,NA,yes,NA,osf.io/6krj7
a000181,yes,NA,yes,NA,yes,NA,osf.io/jkbm9
a000182,yes,NA,yes,NA,yes,NA,osf.io/emk5j
a000183,yes,NA,no,NA,yes,NA,osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0
a000185,yes,NA,yes,NA,yes,NA,osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379
a000186,yes,NA,yes,NA,yes,NA,osf.io/92ahy
a000187,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/C4WN8
a000188,yes,NA,yes,NA,yes,NA,osf.io/zg427
a000189,yes,NA,yes,NA,yes,NA,osf.io/xv645
a000191,yes,NA,yes,NA,yes,NA,osf.io/3mftr
a000192,yes,NA,yes,NA,yes,NA,osf.io/B2478
a000192,yes,NA,yes,NA,yes,NA,osf.io/G4C7Z
a000193,yes,NA,yes,NA,yes,NA,osf.io/seqgd
a000194,yes,NA,yes,NA,yes,NA,osf.io/6wxgf
a000195,yes,NA,yes,NA,yes,NA,osf.io/Z5TE6
a000196,yes,NA,yes,NA,yes,NA,osf.io/9v34x
a000197,yes,NA,yes,NA,yes,NA,osf.io/946vb
a000199,yes,NA,yes,NA,yes,NA,osf.io/p2z8a
a000202,yes,NA,yes,NA,yes,NA,osf.io/dv7ab
a000203,yes,NA,yes,NA,yes,NA,osf.io/c5kme
a000205,yes,NA,yes,NA,yes,NA,osf.io/g6tnd
a000206,yes,NA,yes,NA,yes,NA,osf.io/afdkq
a000207,yes,NA,yes,NA,yes,NA,osf.io/bx8zv
a000208,yes,NA,yes,NA,yes,NA,osf.io/3c4ue
a000210,yes,NA,yes,NA,yes,NA,doi.pangaea.de/10.1594/PANGAEA.885886
a000211,yes,NA,yes,NA,yes,NA,osf.io/8gyns
a000212,yes,NA,yes,NA,yes,NA,osf.io/cu8jv
a000213,yes,NA,yes,NA,yes,NA,osf.io/aj98f
a000214,yes,NA,yes,NA,yes,NA,osf.io/8aw9r
a000215,yes,NA,yes,NA,yes,NA,osf.io/kfdca
a000216,yes,NA,no,NA,yes,NA,osf.io/9nq3c
a000217,yes,NA,yes,NA,yes,NA,osf.io/wk3ve
a000219,yes,NA,yes,NA,yes,NA,dx.doi.org/10.1016/j.jesp.2017.07.005
a000221,yes,NA,yes,NA,yes,NA,osf.io/syjhd
a000223,yes,NA,yes,NA,yes,NA,osf.io/ybu6r
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00957
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00958
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00959
a000228,yes,NA,yes,NA,yes,NA,osf.io/7wfxj
a000228,yes,NA,yes,NA,yes,NA,osf.io/8juyc
a000229,yes,NA,yes,NA,yes,NA,osf.io/7c9bw
a000230,yes,NA,yes,NA,yes,NA,osf.io/gq7z2
a000231,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/9SF3TI
a000232,yes,NA,yes,NA,yes,NA,osf.io/bfefu
a000232,yes,NA,yes,NA,yes,NA,osf.io/rfc6r
a000233,yes,NA,no,NA,no,NA,NA
a000235,yes,NA,yes,NA,yes,NA,osf.io/8rbvz
a000236,yes,NA,yes,NA,yes,NA,osf.io/q9kd3
a000238,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/7190MT
a000239,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/I4KVD1
a000240,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/YJUIBI
a000242,yes,NA,yes,NA,yes,NA,osf.io/adrwv
a000243,yes,NA,yes,NA,yes,NA,datadryad.org//resource/doi:10.5061/dryad.q88sm
a000244,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK
a000245,yes,NA,yes,NA,yes,NA,osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990
a000247,yes,NA,yes,NA,yes,NA,osf.io/47tnc
a000247,yes,NA,yes,NA,yes,NA,osf.io/gvm2z
a000250,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/TZRNKD
a000251,yes,NA,yes,NA,yes,NA,osf.io/k5b7a
a000253,yes,NA,yes,NA,yes,NA,osf.io/ev3w5
a000253,yes,NA,yes,NA,yes,NA,osf.io/ewr45
a000256,yes,NA,yes,NA,yes,NA,osf.io/39vsg
a000257,yes,NA,yes,NA,yes,NA,osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1
a000258,yes,NA,yes,NA,yes,NA,osf.io/9q23j
a000259,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SZ9YXZ
a000260,yes,NA,yes,NA,yes,NA,fcon_1000.projects.nitrc.org/indi/enhanced/access.html
a000264,yes,NA,yes,NA,yes,NA,osf.io/kszge
a000266,yes,NA,yes,NA,yes,NA,osf.io/ycren
a000267,yes,NA,yes,NA,yes,NA,doi:10.7910/DVN/W2HZSO
a000269,yes,NA,yes,NA,yes,NA,doi.org/10.24414/j0dx-9n36
a000270,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5284/1031492
a000272,yes,NA,yes,NA,yes,NA,osf.io/p6jfq
a000272,yes,NA,yes,NA,yes,NA,osf.io/vhme2
a000273,yes,NA,yes,NA,yes,NA,osf.io/37u8s
a000273,yes,NA,yes,NA,yes,NA,osf.io/tqmeh
a000275,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/Q8CSU8
a000276,yes,NA,yes,NA,yes,NA,osf.io/x25ea
a000279,yes,NA,yes,NA,yes,NA,osf.io/kszj7
a000280,yes,NA,yes,NA,yes,NA,www.icpsr.umich.edu/icpsrweb/ICPSR/series/203
a000281,yes,NA,yes,NA,yes,NA,osf.io/rf28u
a000282,yes,NA,yes,NA,yes,NA,osf.io/szvxd
a000284,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.2593735
a000285,yes,NA,yes,NA,yes,NA,osf.io/tnjqs
a000287,yes,NA,yes,NA,yes,NA,osf.io/fctr8
a000288,yes,NA,yes,NA,yes,NA,osf.io/3hu8m
a000292,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/detail?id=york:934328
a000293,yes,NA,yes,NA,yes,NA,osf.io/rt6w2
a000294,yes,NA,yes,NA,yes,NA,osf.io/fpsu8
a000295,yes,NA,yes,NA,yes,NA,iris-database.org
a000295,yes,NA,yes,NA,yes,NA,osf.io/57zkv
a000296,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.7271480.v1
a000297,yes,NA,yes,NA,yes,NA,osf.io/gzyth
a000298,yes,NA,yes,NA,yes,NA,osf.io/8zeqp
a000299,yes,NA,other,"Appendix A is explicitly called ""Supplemental data"" but is just a document, not data. Actual shared data is buried in body of article text.",yes,NA,osf.io/zbu3x
a000300,yes,NA,yes,NA,yes,NA,osf.io/4rs5x
a000300,yes,NA,yes,NA,yes,NA,osf.io/9tm36
a000301,yes,NA,yes,NA,yes,NA,osf.io/6n894
a000302,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/9AWUYJ
a000303,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WZV20D
a000305,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/LVHIYG
a000306,yes,NA,yes,NA,yes,NA,osf.io/k8t4b
a000309,yes,NA,yes,NA,yes,NA,doi.org/10.14264/uql.2019.12
a000311,yes,NA,yes,NA,yes,NA,osf.io/du5jc
a000313,yes,NA,yes,NA,yes,NA,osf.io/rhju9
a000314,yes,NA,yes,NA,yes,NA,osf.io/xvmr7
a000315,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/JTV6W6
a000316,yes,NA,yes,NA,yes,NA,osf.io/nft78
a000317,yes,NA,yes,NA,yes,NA,osf.io/fsadm
a000318,yes,NA,yes,NA,yes,NA,github.com/langcog/KTE
a000319,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/P49YA
a000320,yes,NA,yes,NA,yes,NA,osf.io/pr3hf
a000321,yes,NA,yes,NA,yes,NA,osf.io/qtsx2
a000322,yes,NA,yes,NA,yes,NA,osf.io/au4x3
a000323,yes,NA,yes,NA,yes,NA,osf.io/we7aj
a000324,yes,NA,yes,NA,yes,NA,osf.io/bmaf2
a000325,yes,NA,yes,NA,yes,NA,osf.io/kzmr5
a000325,yes,NA,yes,NA,yes,NA,osf.io/rt6un
a000327,yes,NA,yes,NA,yes,NA,osf.io/5whvu
a000328,yes,NA,yes,NA,yes,NA,osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650
a000329,yes,NA,yes,NA,yes,NA,osf.io/gw9jh
a000330,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WD3IUA
a000331,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/ZFLG25
a000332,yes,NA,yes,NA,yes,NA,osf.io/5xmb2
a000333,yes,NA,yes,NA,yes,NA,osf.io/x3prf
a000334,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910
a000335,yes,NA,yes,NA,yes,NA,osf.io/6fgnq
a000336,yes,NA,yes,NA,yes,NA,osf.io/nydsz
a000337,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/RW10GZ
a000338,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/KPJUFL
a000339,yes,NA,yes,NA,yes,NA,osf.io/b7qpu
a000340,yes,NA,yes,NA,yes,NA,osf.io/7a9tt
a000341,yes,NA,yes,NA,yes,NA,osf.io/d6hms
a000342,yes,NA,yes,NA,yes,NA,osf.io/xyh24
a000343,yes,NA,yes,NA,yes,NA,osf.io/8z2an
a000344,yes,NA,yes,NA,yes,NA,osf.io/8dv5z
a000345,yes,NA,yes,NA,yes,NA,osf.io/rf3ys
a000347,yes,NA,yes,NA,yes,NA,osf.io/ha28n
a000348,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/ZRZGTT
a000350,yes,NA,yes,NA,yes,NA,osf.io/5gtyv
a000352,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/RLLL1V
a000353,yes,NA,yes,NA,yes,NA,osf.io/bdvxs
a000354,yes,NA,yes,NA,yes,NA,osf.io/i5knh
a000355,yes,NA,yes,NA,yes,NA,osf.io/7d5b5
a000356,yes,NA,yes,NA,yes,NA,doi.org/10.5283/epub.38033
a000357,yes,NA,yes,NA,yes,NA,osf.io/2jme8
a000358,yes,NA,yes,NA,yes,NA,osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae
a000359,yes,NA,yes,NA,yes,NA,doi.org/10.5284/1011888
a000361,yes,NA,yes,NA,yes,NA,osf.io/ft462
a000362,yes,NA,yes,NA,yes,NA,osf.io/rh9x6/?view_only=65ae8ed424e84dfda8594efa5b3aa714
a000363,yes,NA,yes,NA,yes,NA,osf.io/6akvt/files
a000364,yes,NA,yes,NA,yes,NA,osf.io/pa8jw
a000365,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/IXWZZO
a000366,yes,NA,yes,NA,yes,NA,osf.io/9x6wm
a000367,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/YM4LDG
a000368,yes,NA,yes,NA,yes,NA,osf.io/akp9n
a000369,yes,NA,yes,NA,yes,NA,osf.io/5fbac
a000371,yes,NA,yes,NA,no,NA,NA
a000372,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE
a000373,yes,NA,yes,NA,yes,NA,osf.io/4q3dc
a000376,yes,NA,yes,NA,yes,NA,osf.io/r96hg
a000377,yes,NA,yes,NA,yes,NA,osf.io/da56v
a000377,yes,NA,yes,NA,yes,NA,osf.io/fwt65
a000378,yes,NA,yes,NA,yes,NA,osf.io/b9mnr
a000379,yes,NA,yes,NA,yes,NA,osf.io/d7w8a
a000380,yes,NA,yes,NA,yes,NA,osf.io/w2434
a000381,yes,NA,yes,NA,yes,NA,osf.io/9dm3u
a000381,yes,NA,yes,NA,yes,NA,osf.io/dkrmw
a000382,yes,NA,yes,NA,yes,NA,osf.io/t3csz
a000383,yes,NA,yes,NA,yes,NA,osf.io/uh3in
a000386,yes,NA,yes,NA,yes,NA,osf.io/r483u
a000387,yes,NA,yes,NA,yes,NA,osf.io/wgfnm
a000388,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.4743547.v1
a000389,yes,NA,yes,NA,yes,NA,osf.io/f78gs
a000389,yes,NA,yes,NA,yes,NA,osf.io/kq897
a000389,yes,NA,yes,NA,yes,NA,www.psych.nyu.edu/westlab/lab-resources.html
a000390,yes,NA,yes,NA,yes,NA,DOI 10.7910/DVN/SURSEO
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,European Bioinformations Institute Accession No. PRJEB11414
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,European Bioinformations Institute Accession No. PRJEB30873
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,github.com/knights-lab/douc_gut_sites
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,iris-database.org/iris/app/home/detail?id=york:934328
a000392,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/RJAUNW
a000393,yes,NA,yes,NA,yes,NA,osf.io/9ge7n
a000394,yes,NA,yes,NA,yes,NA,osf.io/sr9f4
a000395,yes,NA,yes,NA,yes,NA,doi.org/10.17863/CAM.31530
a000398,yes,NA,yes,NA,yes,NA,doi.org/10.1594/PANGAEA.885879
a000399,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5061/dryad.5t0b8
a000400,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,doi.org/10.1002/jnr.24441
a000401,yes,NA,yes,NA,yes,NA,osf.io/c5ju9
a000402,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/I0VEMG
a000403,yes,NA,yes,NA,yes,NA,osf.io/92xqk
a000404,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2FVWZZLO&version=DRAFT
a000406,yes,NA,yes,NA,yes,NA,osf.io/b9tse
a000407,yes,NA,yes,NA,yes,NA,hdl.handle.net/10871/24754
a000408,yes,NA,no,NA,yes,NA,osf.io/nrf72
a000409,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.4742935.v2
a000410,yes,NA,yes,NA,yes,NA,osf.io/xf7rn
a000411,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/8R3LTP
a000412,yes,NA,yes,NA,yes,NA,osf.io/fzmsa
a000413,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/LD6NL8
a000414,yes,NA,yes,NA,yes,NA,osf.io/eujyn
a000416,yes,NA,yes,NA,yes,NA,osf.io/g3sca/wiki/home
a000417,yes,NA,yes,NA,yes,NA,doi.org/10.1016/j.jrp.2018.02.003
a000418,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5284/1019856
a000419,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5281/zenodo.18545
a000420,yes,NA,yes,NA,yes,NA,catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e
a000421,yes,NA,yes,NA,yes,NA,osf.io/b8c7z
a000422,yes,NA,yes,NA,yes,NA,osf.io/sgwv6
a000423,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/D5DEHM
a000425,yes,NA,yes,NA,yes,NA,www.dx.doi.org/10.7910/DVN/DIDBMQ
a000426,yes,NA,yes,NA,yes,NA,catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb
a000427,yes,NA,yes,NA,yes,NA,osf.io/wcrd2
