study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned,link_work,link_work_noother,resolved_url_cleaned
a000025,yes,NA,yes,NA,yes,NA,osf.io/kz53g,yes,NA,osf.io/kz53g
a000029,yes,NA,yes,NA,yes,NA,osf.io/k67ba,yes,NA,osf.io/k67ba
a000030,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/ZSYWHO,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO
a000031,yes,NA,yes,NA,yes,NA,doi.org/10.25540/3wd8-dffw,yes,NA,scholarbank.nus.edu.sg/handle/10635/150104
a000031,yes,NA,yes,NA,yes,NA,five.dartmouth.edu/datasets,other,The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset,five.dartmouth.edu/view/7?
a000032,yes,NA,yes,NA,yes,NA,doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,mistrals.sedoo.fr/HyMeX/?editDatsId=1406
a000033,yes,NA,yes,NA,yes,NA,osf.io/h67mx,yes,NA,osf.io/h67mx
a000035,yes,NA,yes,NA,yes,NA,osf.io/9tu5r,yes,NA,osf.io/9tu5r
a000036,yes,NA,yes,NA,yes,NA,osf.io/g9yrc,yes,NA,osf.io/g9yrc
a000037,yes,NA,yes,NA,yes,NA,hdl.handle.net/11633/aabxbkd7,yes,NA,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234
a000038,yes,NA,yes,NA,yes,NA,osf.io/6ayhs,yes,NA,osf.io/6ayhs
a000039,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/7EWDRF,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF
a000040,yes,NA,yes,NA,yes,NA,osf.io/fkmbh,yes,NA,osf.io/fkmbh
a000041,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/GDTPM,yes,NA,osf.io/gdtpm
a000042,yes,NA,yes,NA,yes,NA,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,NA,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8
a000043,yes,NA,yes,NA,yes,NA,osf.io/tmdvn,yes,NA,osf.io/tmdvn
a000044,yes,NA,yes,NA,yes,NA,osf.io/2pgtj,yes,NA,osf.io/2pgtj
a000045,yes,NA,yes,NA,yes,NA,osf.io/u2xct,yes,NA,osf.io/u2xct
a000046,yes,NA,yes,NA,yes,NA,osf.io/dkqfn,yes,NA,osf.io/dkqfn
a000047,yes,NA,yes,NA,yes,NA,osf.io/g3rnt,yes,NA,osf.io/g3rnt
a000048,yes,NA,yes,NA,yes,NA,osf.io/cpmfk,yes,NA,osf.io/cpmfk
a000049,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/DTFR60,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DTFR60
a000050,yes,NA,yes,NA,yes,NA,osf.io/2wjgn,yes,NA,osf.io/2wjgn
a000051,yes,NA,yes,NA,yes,NA,ckan-rdm.up.pt/dataset/i3s-2019-001,yes,NA,ckan-rdm.up.pt/dataset/i3s-2019-001
a000054,yes,NA,yes,NA,yes,NA,osf.io/hgcet,yes,NA,osf.io/hgcet
a000056,yes,NA,yes,NA,yes,NA,osf.io/2b9hn,yes,NA,osf.io/2b9hn
a000057,yes,NA,yes,NA,yes,NA,osf.io/pqf9r,yes,NA,osf.io/pqf9r
a000061,yes,NA,yes,NA,yes,NA,osf.io/w2xsr,yes,NA,osf.io/w2xsr
a000062,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/PainData,yes,NA,dataverse.harvard.edu/dataverse/PainData
a000064,yes,NA,yes,NA,yes,NA,osf.io/jpxat/quickfiles,yes,NA,osf.io/jpxat/quickfiles
a000066,yes,NA,yes,NA,yes,NA,osf.io/dtgaa,yes,NA,osf.io/dtgaa
a000067,yes,NA,yes,NA,yes,NA,osf.io/nm8vf,yes,NA,osf.io/nm8vf
a000071,yes,NA,yes,NA,yes,NA,osf.io/856cs,yes,NA,osf.io/856cs
a000071,yes,NA,yes,NA,yes,NA,re3data.org,yes,NA,www.re3data.org
a000072,yes,NA,yes,NA,yes,NA,osf.io/56yz7,yes,NA,osf.io/56yz7
a000073,yes,NA,yes,NA,yes,NA,osf.io/6zdnh,yes,NA,osf.io/6zdnh
a000074,yes,NA,yes,NA,yes,NA,osf.io/t9c52,yes,NA,osf.io/t9c52
a000075,yes,NA,yes,NA,yes,NA,osf.io/p8f7w,yes,NA,osf.io/p8f7w
a000077,yes,NA,yes,NA,yes,NA,bit.ly/2mLcXyu,yes,NA,osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b
a000080,yes,NA,yes,NA,yes,NA,osf.io/4x8tn,yes,NA,osf.io/4x8tn
a000081,yes,NA,yes,NA,yes,NA,osf.io/cdev3,yes,NA,osf.io/cdev3
a000081,yes,NA,yes,NA,yes,NA,osf.io/q9jy3,yes,NA,osf.io/q9jy3
a000081,yes,NA,yes,NA,yes,NA,osf.io/uj2dr,yes,NA,osf.io/uj2dr
a000081,yes,NA,yes,NA,yes,NA,osf.io/x7pgq,yes,NA,osf.io/x7pgq
a000082,yes,NA,no,NA,yes,NA,osf.io/anc5m,yes,NA,osf.io/anc5m
a000083,yes,NA,yes,NA,yes,NA,osf.io/rmjtg,yes,NA,osf.io/rmjtg
a000084,yes,NA,yes,NA,yes,NA,osf.io/54yzr,yes,NA,osf.io/54yzr
a000085,yes,NA,yes,NA,yes,NA,osf.io/zudxp,yes,NA,osf.io/zudxp
a000088,yes,NA,yes,NA,yes,NA,osf.io/6u4wh,yes,NA,osf.io/6u4wh
a000089,yes,NA,yes,NA,yes,NA,osf.io/3htpj,yes,NA,osf.io/3htpj
a000090,yes,NA,yes,NA,yes,NA,osf.io/e9mhc,yes,NA,osf.io/e9mhc
a000093,yes,NA,yes,NA,yes,NA,osf.io/uyadw,yes,NA,osf.io/uyadw
a000096,yes,NA,yes,NA,yes,NA,osf.io/9246v,yes,NA,osf.io/9246v
a000097,yes,NA,yes,NA,yes,NA,osf.io/tqzkd,yes,NA,osf.io/tqzkd
a000098,yes,NA,yes,NA,yes,NA,osf.io/nft5c,yes,NA,osf.io/nft5c
a000099,yes,NA,yes,NA,yes,NA,osf.io/4dau5,yes,NA,osf.io/4dau5
a000100,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/Z6SDM,yes,NA,osf.io/z6sdm
a000101,yes,NA,yes,NA,yes,NA,osf.io/etrcd,yes,NA,osf.io/etrcd
a000103,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/VEPHLS,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VEPHLS
a000104,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/kenswan,other,"link works, but is to a list of the user's data projects on the site. Fortunately there is only one data repo in the list, so it is a two-step url hop",dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095
a000105,yes,NA,yes,NA,yes,NA,osf.io/4zwsd,yes,NA,osf.io/4zwsd
a000106,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/CQXHTH,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CQXHTH
a000107,yes,NA,yes,NA,yes,NA,osf.io/4bsw8,yes,NA,osf.io/4bsw8
a000108,yes,NA,yes,NA,yes,NA,doi.org/10.5061/dryad.cn20jv8,yes,NA,datadryad.org/stash/dataset/doi:10.5061/dryad.cn20jv8
a000109,yes,NA,yes,NA,yes,NA,osf.io/2ckz9,yes,NA,osf.io/2ckz9
a000110,yes,NA,yes,NA,yes,NA,osf.io/4d2ve,yes,NA,osf.io/4d2ve
a000112,yes,NA,no,NA,yes,NA,osf.io/wcuhx,yes,NA,osf.io/wcuhx
a000115,yes,NA,yes,NA,yes,NA,osf.io/m35b8,yes,NA,osf.io/m35b8
a000116,yes,NA,yes,NA,yes,NA,osf.io/gzytb,yes,NA,osf.io/gzytb
a000117,yes,NA,yes,NA,yes,NA,archaeologydataservice.ac.uk/archives/view/greylit,yes,NA,archaeologydataservice.ac.uk/archives/view/greylit
a000118,yes,NA,yes,NA,yes,NA,osf.io/b5sar,yes,NA,osf.io/b5sar
a000119,yes,NA,yes,NA,yes,NA,osf.io/3ymbu,yes,NA,osf.io/3ymbu
a000121,yes,NA,yes,NA,yes,NA,osf.io/cgydx,yes,NA,osf.io/cgydx
a000122,yes,NA,yes,NA,yes,NA,osf.io/j5zyf,yes,NA,osf.io/j5zyf
a000123,yes,NA,yes,NA,yes,NA,osf.io/x6wcb,yes,NA,osf.io/x6wcb
a000127,yes,NA,yes,NA,yes,NA,osf.io/ezqft,other,the encoding of the hyperlink in the pdf is garbled but it is still unambiguous what the url to data is,osf.io/ezqft
a000128,yes,NA,yes,NA,yes,NA,osf.io/dbuh4,yes,NA,osf.io/dbuh4
a000130,yes,NA,yes,NA,yes,NA,osf.io/pr39h,yes,NA,osf.io/pr39h
a000131,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910
a000131,yes,NA,yes,NA,yes,NA,osf.io/p97fk,yes,NA,osf.io/p97fk
a000132,yes,NA,yes,NA,yes,NA,osf.io/z6ryh,yes,NA,osf.io/z6ryh
a000132,yes,NA,yes,NA,yes,NA,www.pairfam.de/en/data/data-access,other,the url as given automatically redirects to the home page (due to lack of https). Links need to be followed from the main page in order to get to the intended page,www.pairfam.de/en/data/data-access
a000133,yes,NA,yes,NA,yes,NA,osf.io/453ds,yes,NA,osf.io/453ds
a000134,yes,NA,yes,NA,yes,NA,osf.io/b8zft,yes,NA,osf.io/b8zft
a000136,yes,NA,yes,NA,yes,NA,osf.io/9d6t4,other,the encoding of the hyperlink in the pdf is garbled (line break) but it is still unambiguous what the url to data is,osf.io/9d6t4
a000138,yes,NA,yes,NA,yes,NA,doi.org/10.21985/N2VR0V,yes,NA,arch.library.northwestern.edu/concern/generic_works/8336h212d
a000139,yes,NA,yes,NA,yes,NA,osf.io/vsnj3,yes,NA,osf.io/vsnj3
a000140,yes,NA,yes,NA,yes,NA,osf.io/4fpkn,yes,NA,osf.io/4fpkn
a000141,yes,NA,yes,NA,yes,NA,osf.io/7tssz,yes,NA,osf.io/7tssz
a000142,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WD3IUA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA
a000143,yes,NA,yes,NA,yes,NA,osf.io/8cq5f,yes,NA,osf.io/8cq5f
a000144,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/EZSJ1S,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EZSJ1S
a000145,yes,NA,yes,NA,yes,NA,osf.io/cwq75,yes,NA,osf.io/cwq75
a000146,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",osf.io/8x6dw,yes,NA,osf.io/8x6dw
a000146,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",osf.io/j8wdv,yes,NA,osf.io/j8wdv
a000147,yes,NA,yes,NA,yes,NA,osf.io/cwenz,yes,NA,osf.io/cwenz
a000148,yes,NA,yes,NA,yes,NA,osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6
a000148,yes,NA,yes,NA,yes,NA,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7
a000149,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/7TA47E,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7TA47E
a000151,yes,NA,yes,NA,yes,NA,osf.io/ugdcz,yes,NA,osf.io/ugdcz
a000152,yes,NA,yes,NA,yes,NA,dx.doi.org//10.17632/948rskffhd.2,yes,NA,data.mendeley.com/datasets/948rskffhd/2
a000153,yes,NA,yes,NA,yes,NA,osf.io/du9ws,yes,NA,osf.io/du9ws
a000154,yes,NA,yes,NA,yes,NA,osf.io/usdq8,yes,NA,osf.io/usdq8
a000156,yes,NA,yes,NA,yes,NA,osf.io/3csng,yes,NA,osf.io/3csng
a000157,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/EWRXPU,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EWRXPU
a000158,yes,NA,yes,NA,yes,NA,doi.org/10.17632/yrpjzfmzpz.3,yes,NA,data.mendeley.com/datasets/yrpjzfmzpz/3
a000159,yes,NA,yes,NA,yes,NA,osf.io/t6gwf,yes,NA,osf.io/t6gwf
a000160,yes,NA,yes,NA,yes,NA,childes.talkbank.org,other,"the link is to the repo home page; further searching required to find the datasets actually used (US: 'Brown','Providence','Bloom70','Kuczaj', 'Suppes', 'Sachs', UK: 'Manchester', 'Thomas')",childes.talkbank.org/access/Eng-UK/Manchester.html; https://childes.talkbank.org/access/Eng-UK/Thomas.html; https://childes.talkbank.org/access/Eng-NA/Brown.html; https://childes.talkbank.org/access/Eng-NA/Bloom.html; https://childes.talkbank.org/access/Eng-NA/Suppes.html; https://childes.talkbank.org/access/Eng-NA/Sachs.html; https://childes.talkbank.org/access/Eng-NA/Kuczaj.html; https://phonbank.talkbank.org/access/Eng-NA/Providence.html
a000160,yes,NA,yes,NA,yes,NA,github.com/smeylan/determiner_learning,yes,NA,github.com/smeylan/determiner_learning
a000162,yes,NA,yes,NA,yes,NA,doi.pangaea.de/10.1594/PANGAEA.896587,yes,NA,doi.pangaea.de/10.1594/PANGAEA.896587
a000163,yes,NA,yes,NA,yes,NA,osf.io/d8wvt,yes,NA,osf.io/d8wvt
a000164,yes,NA,yes,NA,yes,NA,osf.io/28gxz,yes,NA,osf.io/28gxz
a000165,yes,NA,yes,NA,yes,NA,osf.io/uwzsb,yes,NA,osf.io/uwzsb
a000167,yes,NA,yes,NA,yes,NA,osf.io/b45vq,yes,NA,osf.io/b45vq
a000168,yes,NA,yes,NA,yes,NA,doi.org/10.3886/ICPSR21600.v17,yes,NA,www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17
a000169,yes,NA,yes,NA,yes,NA,osf.io/4cg2s,yes,NA,osf.io/4cg2s
a000170,yes,NA,yes,NA,yes,NA,osf.io/23gc4,yes,NA,osf.io/23gc4
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.b2f9e5768dcc2aa0922f24967920d9ab
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.cbbba251c17b55c737836768c8737589
a000171,yes,NA,yes,NA,yes,NA,doi.org/10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73,yes,NA,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73
a000174,yes,NA,yes,NA,yes,NA,osf.io/msphv,yes,NA,osf.io/msphv
a000174,yes,NA,yes,NA,yes,NA,osf.io/yegrv,yes,NA,osf.io/yegrv
a000175,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/BPON3K,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K
a000176,yes,NA,yes,NA,yes,NA,osf.io/5ybhd,yes,NA,osf.io/5ybhd
a000177,yes,NA,yes,NA,yes,NA,osf.io/r3eca,yes,NA,osf.io/r3eca
a000178,yes,NA,yes,NA,yes,NA,osf.io/ydpbf,yes,NA,osf.io/ydpbf
a000180,yes,NA,yes,NA,yes,NA,osf.io/6krj7,yes,NA,osf.io/6krj7
a000181,yes,NA,yes,NA,yes,NA,osf.io/jkbm9,yes,NA,osf.io/jkbm9
a000182,yes,NA,yes,NA,yes,NA,osf.io/emk5j,yes,NA,osf.io/emk5j
a000183,yes,NA,no,NA,yes,NA,osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0
a000185,yes,NA,yes,NA,yes,NA,osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379,yes,NA,osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379
a000186,yes,NA,yes,NA,yes,NA,osf.io/92ahy,yes,NA,osf.io/92ahy
a000187,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/C4WN8,yes,NA,osf.io/c4wn8
a000188,yes,NA,yes,NA,yes,NA,osf.io/zg427,yes,NA,osf.io/zg427
a000189,yes,NA,yes,NA,yes,NA,osf.io/xv645,yes,NA,osf.io/xv645
a000191,yes,NA,yes,NA,yes,NA,osf.io/3mftr,yes,NA,osf.io/3mftr
a000192,yes,NA,yes,NA,yes,NA,osf.io/B2478,yes,NA,osf.io/B2478
a000192,yes,NA,yes,NA,yes,NA,osf.io/G4C7Z,yes,NA,osf.io/G4C7Z
a000193,yes,NA,yes,NA,yes,NA,osf.io/seqgd,yes,NA,osf.io/seqgd
a000194,yes,NA,yes,NA,yes,NA,osf.io/6wxgf,yes,NA,osf.io/6wxgf
a000195,yes,NA,yes,NA,yes,NA,osf.io/Z5TE6,yes,NA,osf.io/Z5TE6
a000196,yes,NA,yes,NA,yes,NA,osf.io/9v34x,yes,NA,osf.io/9v34x
a000197,yes,NA,yes,NA,yes,NA,osf.io/946vb,yes,NA,osf.io/946vb
a000199,yes,NA,yes,NA,yes,NA,osf.io/p2z8a,yes,NA,osf.io/p2z8a
a000202,yes,NA,yes,NA,yes,NA,osf.io/dv7ab,yes,NA,osf.io/dv7ab
a000203,yes,NA,yes,NA,yes,NA,osf.io/c5kme,yes,NA,osf.io/c5kme
a000205,yes,NA,yes,NA,yes,NA,osf.io/g6tnd,yes,NA,osf.io/g6tnd
a000206,yes,NA,yes,NA,yes,NA,osf.io/afdkq,yes,NA,osf.io/afdkq
a000207,yes,NA,yes,NA,yes,NA,osf.io/bx8zv,yes,NA,osf.io/bx8zv
a000208,yes,NA,yes,NA,yes,NA,osf.io/3c4ue,yes,NA,osf.io/3c4ue
a000210,yes,NA,yes,NA,yes,NA,doi.pangaea.de/10.1594/PANGAEA.885886,yes,NA,doi.pangaea.de/10.1594/PANGAEA.885886
a000211,yes,NA,yes,NA,yes,NA,osf.io/8gyns,yes,NA,osf.io/8gyns
a000212,yes,NA,yes,NA,yes,NA,osf.io/cu8jv,yes,NA,osf.io/cu8jv
a000213,yes,NA,yes,NA,yes,NA,osf.io/aj98f,yes,NA,osf.io/aj98f
a000214,yes,NA,yes,NA,yes,NA,osf.io/8aw9r,yes,NA,osf.io/8aw9r
a000215,yes,NA,yes,NA,yes,NA,osf.io/kfdca,yes,NA,osf.io/kfdca
a000216,yes,NA,no,NA,yes,NA,osf.io/9nq3c,yes,NA,osf.io/9nq3c
a000217,yes,NA,yes,NA,yes,NA,osf.io/wk3ve,yes,NA,osf.io/wk3ve
a000219,yes,NA,yes,NA,yes,NA,dx.doi.org/10.1016/j.jesp.2017.07.005,yes,NA,www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub
a000221,yes,NA,yes,NA,yes,NA,osf.io/syjhd,yes,NA,osf.io/syjhd
a000223,yes,NA,yes,NA,yes,NA,osf.io/ybu6r,yes,NA,osf.io/ybu6r
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00957,yes,NA,open.canada.ca/data/en/dataset/e7484a20-99fa-4989-945b-3031d670d285
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00958,yes,NA,open.canada.ca/data/en/dataset/150566dc-7f3b-4ba7-b65a-16f35b947a57
a000227,yes,NA,yes,NA,yes,NA,doi.org/10.23684/odi-2017-00959,yes,NA,open.canada.ca/data/en/dataset/c1a63ce9-6b76-414b-937e-135fae08cea2
a000228,yes,NA,yes,NA,yes,NA,osf.io/7wfxj,yes,NA,osf.io/7wfxj
a000228,yes,NA,yes,NA,yes,NA,osf.io/8juyc,yes,NA,osf.io/8juyc
a000229,yes,NA,yes,NA,yes,NA,osf.io/7c9bw,yes,NA,osf.io/7c9bw
a000230,yes,NA,yes,NA,yes,NA,osf.io/gq7z2,yes,NA,osf.io/gq7z2
a000231,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/9SF3TI,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI
a000232,yes,NA,yes,NA,yes,NA,osf.io/bfefu,yes,NA,osf.io/bfefu
a000232,yes,NA,yes,NA,yes,NA,osf.io/rfc6r,yes,NA,osf.io/rfc6r
a000233,yes,NA,no,NA,no,NA,NA,NA,NA,NA
a000235,yes,NA,yes,NA,yes,NA,osf.io/8rbvz,yes,NA,osf.io/8rbvz
a000236,yes,NA,yes,NA,yes,NA,osf.io/q9kd3,yes,NA,osf.io/q9kd3
a000238,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/7190MT,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7190MT
a000239,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/I4KVD1,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/I4KVD1
a000240,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/YJUIBI,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUIBI
a000242,yes,NA,yes,NA,yes,NA,osf.io/adrwv,yes,NA,osf.io/adrwv
a000243,yes,NA,yes,NA,yes,NA,datadryad.org//resource/doi:10.5061/dryad.q88sm,yes,NA,datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm
a000244,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK
a000245,yes,NA,yes,NA,yes,NA,osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990,yes,NA,osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990
a000247,yes,NA,yes,NA,yes,NA,osf.io/47tnc,yes,NA,osf.io/47tnc
a000247,yes,NA,yes,NA,yes,NA,osf.io/gvm2z,yes,NA,osf.io/gvm2z
a000250,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/TZRNKD,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TZRNKD
a000251,yes,NA,yes,NA,yes,NA,osf.io/k5b7a,yes,NA,osf.io/k5b7a
a000253,yes,NA,yes,NA,yes,NA,osf.io/ev3w5,yes,NA,osf.io/ev3w5
a000253,yes,NA,yes,NA,yes,NA,osf.io/ewr45,yes,NA,osf.io/ewr45
a000256,yes,NA,yes,NA,yes,NA,osf.io/39vsg,yes,NA,osf.io/39vsg
